rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
elektronik:elektronik-vitrini,61,61,5,30.8,13.7,235559464,110546,235559464:110546,Fibaks iPhone 13/13 Pro/14/16E/17E Full HD Tam Kaplayan Şeffaf Tamperli Ekran Koruyucu Kırılmaz Cam,Fibaks,Fibaks,73.99,,-43.1,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.428571428571429,2163,2,407,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/fibaks/iphone-13-13-pro-14-16e-17e-full-hd-tam-kaplayan-seffaf-tamperli-ekran-koruyucu-kirilmaz-cam-p-235559464?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,67,67,6,71.7,15.2,305053072,110546,305053072:110546,Fibaks iPhone 11 150c Antistatic Tam Kapatan Temperli Cam Ekran Koruyucu Kırılmaz Cam Koruma,Fibaks,Fibaks,74.99,130,-42.3,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.275413711583924,1418,8,147,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/fibaks/iphone-11-150c-antistatic-tam-kapatan-temperli-cam-ekran-koruyucu-kirilmaz-cam-koruma-p-305053072?boutiqueId=61&merchantId=110546
elektronik:elektronik-vitrini,14,14,4,88,41.1,44589552,109324,44589552:109324,Kiwi Ksı 650 1200w Portatif Buharlı Kırışık Giderici Dikey Ütü,Kiwi,Fırsat Dünyası,1033.45,,-20.4,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4347011429642125,2890,465,852,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kiwi/ksi-650-1200w-portatif-buharli-kirisik-giderici-dikey-utu-p-44589552?boutiqueId=61&merchantId=109324
elektronik:elektronik-vitrini,94,94,3,28.7,15.8,879039193,200472,879039193:200472,JETLİNE Dalgalandırıcı Vigo Başlık Difüzör Saç Kurutma Fön Makinesi Başlığı Profesyonel,JETLİNE,Wunderbar,144.49,,-19.7,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.9876331157677773,1178,8,1596,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/jetline/dalgalandirici-vigo-baslik-difuzor-sac-kurutma-fon-makinesi-basligi-profesyonel-p-879039193?boutiqueId=61&merchantId=200472
elektronik:elektronik-vitrini,119,119,1,28.3,1.7,150723070,750835,150723070:750835,"BSTBRANDSHOPPİNGTR Bluetooth KUMANDALI 10""inç Ring Light Youtuber Tiktok Çekim Işıklı Telefon Tutucu Influencer Makyaj Işığı 2.10 m Tripod",BSTBRANDSHOPPİNGTR,BRANDSHOPPİNGTR,462.27,,-18.8,InStock,,,,,3.838753618253022,3455,,1680,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bstbrandshoppingtr/bluetooth-kumandali-10-inc-ring-light-youtuber-tiktok-cekim-isikli-telefon-tutucu-influencer-makyaj-isigi-2-10-m-tripod-p-150723070?boutiqueId=61&merchantId=750835
elektronik:elektronik-vitrini,15,15,0,96.8,38.3,723791701,747892,723791701:747892,RİOMİ Ipl Buz Lazer Epilasyon 999.999 Atım Otomatik/manuel Dokunmatik Ekran Ağrısız Vücut Yüz Cihazı,RİOMİ,RİOMİ TÜRKİYE,2382.63,,-17.8,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.39347248387459,64183,,10000,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/riomi/ipl-buz-lazer-epilasyon-999-999-atim-otomatik-manuel-dokunmatik-ekran-agrisiz-vucut-yuz-cihazi-p-723791701?boutiqueId=61&merchantId=747892
elektronik:elektronik-vitrini,118,118,7,21.3,8.7,930473063,109324,930473063:109324,Kiwi Khs-2038 Seramik Kaplamalı Saç Düzleştirici Fırça,Kiwi,Fırsat Dünyası,857.33,,-17.1,InStock,,,,,4.031344792719919,457,11,149,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kiwi/khs-2038-seramik-kaplamali-sac-duzlestirici-firca-p-930473063?boutiqueId=61&merchantId=109324
elektronik:elektronik-vitrini,225,225,-63,31,10.1,888113122,409520,888113122:409520,SONEX Kablosuz Bluetooth Mouse Rgb Ledli Şarj Edilebilir Sessiz Kullanım,SONEX,Electrima,168.54,189.48,-11.1,InStock,,,,,4.366929133858267,309,3,246,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/sonex/kablosuz-bluetooth-mouse-rgb-ledli-sarj-edilebilir-sessiz-kullanim-p-888113122?boutiqueId=61&merchantId=409520
elektronik:elektronik-vitrini,296,296,-105,22,8,971379670,136965,971379670:136965,Omaze Mikrofonlu Karaoke Bluetooth Hoparlör Rgb Led Işıklı 5 Efektli Ses Bombası,Omaze,TeknoDrone,469,,-9.6,InStock,,,,,4.226211849192101,560,,353,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/omaze/mikrofonlu-karaoke-bluetooth-hoparlor-rgb-led-isikli-5-efektli-ses-bombasi-p-971379670?boutiqueId=61&merchantId=136965
elektronik:elektronik-vitrini,68,68,-6,30.4,14.1,840127874,108498,840127874:108498,Memo Cx07 Telefon Soğutucu Fan 15w Power Radyatörlü Magsafe Ve Aparatlı Telefon Ve Tablet Soğutucu,Memo,Akıllıphone,439.18,,-8,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.290275336848272,1923,,5216,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/memo/cx07-telefon-sogutucu-fan-15w-power-radyatorlu-magsafe-ve-aparatli-telefon-ve-tablet-sogutucu-p-840127874?boutiqueId=61&merchantId=108498
