rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
elektronik:elektronik-vitrini,29,29,-19,56.3,29.1,1146148704,150479,1146148704:150479,"KUMTEL KTF-355 Siyah 16 inç Ayaklı Vantilatör 50 W, 5 Pervaneli, 3 Kademeli, 121 cm Yükseklik",KUMTEL,BSTBilişim,999,1089,-8.3,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.813027744270205,528,5,8,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",11 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/kumtel/ktf-355-siyah-16-inc-ayakli-vantilator-50-w-5-pervaneli-3-kademeli-121-cm-yukseklik-p-1146148704?boutiqueId=61&merchantId=150479
elektronik:elektronik-vitrini,31,31,13,31.3,40.7,1192709847,1236758,1192709847:1236758,PintiGames Windows11 Pro Dijital Lisans - Aktivasyon Keyi 32&64 Bit - Online Teslim - Kalıcı,PintiGames,NovaDigital,18,,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.071428571428571,13,1,0,"[""Sepette %10 İndirim"",""15 TL Kupon"",""30 TL Kupon"",""125 TL Kupon"",""Trendyol Plus'a Özel""]",Tahmini Teslimat: 1 saat içinde SMS & Email olarak gönderilecektir.,refreshed,0,https://www.trendyol.com/pintigames/windows11-pro-dijital-lisans-aktivasyon-keyi-32-64-bit-online-teslim-kalici-p-1192709847?boutiqueId=61&merchantId=1236758
elektronik:elektronik-vitrini,52,52,4,25.5,19.1,938058356,108440,938058356:108440,"Philips 2000 Serisi BRE237/05 Vücut ve Hassas Bölge Epilatör Seti, Kablolu, Tıraş Başlığı",Philips,bakucuzaal,1399,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.329625884732053,460,4,597,"[""25 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı""]",2 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/philips/2000-serisi-bre237-05-vucut-ve-hassas-bolge-epilator-seti-kablolu-tiras-basligi-p-938058356?boutiqueId=61&merchantId=108440
elektronik:elektronik-vitrini,53,53,19,31.7,12.9,699645115,200893,699645115:200893,Philips Qp2824/10 Oneblade Yüz Ve Vücut Şekilendirici,Philips,ALDIMGİTTİ,1985,,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.511771211881814,2767,-1,2354,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",2 saat 27 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/philips/qp2824-10-oneblade-yuz-ve-vucut-sekilendirici-p-699645115?boutiqueId=61&merchantId=200893
elektronik:elektronik-vitrini,175,175,,23.4,6.6,304954038,115591,304954038:115591,"Philips STH7060/80 Taşınabilir Buharlı Düzleştirici 7000 Serisi, 1500W, 28 g/dk'ya kadar, Ütü Masasız Kullanım, Optimal TEMP",Philips,Evonline,6198,,,InStock,,,,,4.534860050890585,841,,296,"[""Kargo Bedava"",""Peşin Fiyatına 6 Taksit""]",11 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/philips/sth7060-80-tasinabilir-buharli-duzlestirici-7000-serisi-1500w-28-g-dk-ya-kadar-utu-masasiz-kullanim-optimal-temp-p-304954038?boutiqueId=61&merchantId=115591
elektronik:elektronik-vitrini,187,187,-4,20.1,9.9,938058355,392537,938058355:392537,"Philips 4000 Serisi BRE247/05 Epilasyon Aleti, Kablolu, Yıkanabilir, Tıraş Başlığı",Philips,ONNO TEK,1530,,,InStock,,,,,4.447129909365559,322,0,,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/philips/4000-serisi-bre247-05-epilasyon-aleti-kablolu-yikanabilir-tiras-basligi-p-938058355?boutiqueId=61&merchantId=392537
elektronik:elektronik-vitrini,189,189,23,19.6,10.4,859283186,457605,859283186:457605,Apple 60 Watt (USB-C) Şarj Kablosu (1M) MW493ZM/A,Apple,TecnoWorld,909,,,InStock,,,,,4.586160108548168,283,2,243,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",11 saat 23 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/apple/60-watt-usb-c-sarj-kablosu-1m-mw493zm-a-p-859283186?boutiqueId=61&merchantId=457605
elektronik:elektronik-vitrini,201,201,-21,27.7,6.3,891404396,968,891404396:968,Huawei Freebuds SE 3 Bluetooth Kablosuz Kulak İçi Kulaklık - Seramik Bej,Huawei,Trendyol,1749,1822.43,0,InStock,,,,,4.561268620855358,925,1,,"[""7 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/huawei/freebuds-se-3-bluetooth-kablosuz-kulak-ici-kulaklik-seramik-bej-p-891404396?boutiqueId=689770&merchantId=968
elektronik:elektronik-vitrini,254,254,-76,18.9,11.1,922158266,895782,922158266:895782,"Philips Lumea 9900 Serisi BRI953/01 IPL Tüy Alma, SkinAI Uygulama,Vücut,Yüz ve Bikini,3 Başlık,Çanta",Philips,UygunMağazam,15999,,,InStock,,,,,4.321131447587354,232,5,1156,"[""Kargo Bedava"",""Peşin Fiyatına 9 Taksit""]",11 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/philips/lumea-9900-serisi-bri953-01-ipl-tuy-alma-skinai-uygulama-vucut-yuz-ve-bikini-3-baslik-canta-p-922158266?boutiqueId=61&merchantId=895782
elektronik:elektronik-vitrini,268,268,-98,21.3,8.7,877002459,338423,877002459:338423,Xiaomi Power Bank USB ve USB-C Portu ve USB-C Entegre Kablo 20000mAh 33W BHR8851GL - Tan,Xiaomi,ÖZGÜR İLETİŞİM ANKARA,3999,,,InStock,,,,,4.5900857959961865,457,4,217,"[""Kargo Bedava""]",1 saat 21 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/xiaomi/power-bank-usb-ve-usb-c-portu-ve-usb-c-entegre-kablo-20000mah-33w-bhr8851gl-tan-p-877002459?boutiqueId=61&merchantId=338423
