rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
ev-yasam:banyo,29,29,-15,83.9,18.5,1098986144,124160,1098986144:124160,eco concept Mitos Serisi Dijital Baskı Halı Etnik Retro Desen Mutfak Halı Yıkanabilir Kaymaz Taban Salon Halısı,eco concept,Eco Concept,2.5,4.16,-65.3,InStock,,,,,4.5,,0,168,"[""Sepette %40 İndirim"",""Süper Fırsat Ürünü"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/eco-concept/mitos-serisi-dijital-baski-hali-etnik-retro-desen-mutfak-hali-yikanabilir-kaymaz-taban-salon-halisi-p-1098986144?boutiqueId=61&merchantId=124160
ev-yasam:mobilya,31,67,,49,37.7,972553979,1078587,972553979:1078587,"Gardino Gardino40 Adet Elbise Askısı ,Etek Askısı, Pantolon Askısı, Bluz Askısı 40 Adet.",Gardino,Gardino,179.98,,-33.3,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,676,1,51,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/gardino/gardino40-adet-elbise-askisi-etek-askisi-pantolon-askisi-bluz-askisi-40-adet-p-972553979?boutiqueId=61&merchantId=1078587
ev-yasam:mobilya,62,98,,15.6,29,1185680463,281539,1185680463:281539,"AHİR TİCARET Aksesuar Standı, Takı Organizeri, Kolye, Yüzük, Küpe Organizeri Beyaz",AHİR TİCARET,AHİR TİCARET,199.99,,-28.3,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,,0,3,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ahir-ticaret/aksesuar-standi-taki-organizeri-kolye-yuzuk-kupe-organizeri-beyaz-p-1185680463?boutiqueId=61&merchantId=281539
ev-yasam:banyo,6,6,23,131.1,32.4,699199772,152772,699199772:152772,ESTİ 6 Adet - Buzdolabı / Dolap Içi Düzenleyici Organizer,ESTİ,ESTİ,199,271.5,-25.2,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.2,10562,-20,782,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/esti/6-adet-buzdolabi-dolap-ici-duzenleyici-organizer-p-699199772?boutiqueId=61&merchantId=152772
ev-yasam:mobilya,27,63,,48.2,48.5,856281696,678447,856281696:678447,varje think outside the box Dekoratif Duvar Paneli ( 54 X 100 Cm ) Boyanabilir Ahşap 6 Mm Ham Mdf Duvar Paneli,varje think outside the box,TOOALL STYLE,104.39,,-24.9,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,53,0,309,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/varje-think-outside-the-box/dekoratif-duvar-paneli-54-x-100-cm-boyanabilir-ahsap-6-mm-ham-mdf-duvar-paneli-p-856281696?boutiqueId=61&merchantId=678447
ev-yasam:mobilya,24,60,-4,62.3,41.9,1087200143,958798,1087200143:958798,EJMEL A Kalite Elma sandalye kılıfı bohem sandalye kılıfı esnek kumaş lastikli model alt-üst 2 parça,EJMEL,Arzu Home,70.93,,-22.1,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,,0,295,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ejmel/a-kalite-elma-sandalye-kilifi-bohem-sandalye-kilifi-esnek-kumas-lastikli-model-alt-ust-2-parca-p-1087200143?boutiqueId=61&merchantId=958798
ev-yasam:mobilya,47,83,9,47.4,14.6,837760205,152772,837760205:152772,"ESTİ 12 Adet - Ahşap Görünümlü Çocuk Ve Bebek Elbise ,kıyafet Askısı",ESTİ,ESTİ,163,193.9,-18.5,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,,0,83,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/esti/12-adet-ahsap-gorunumlu-cocuk-ve-bebek-elbise-kiyafet-askisi-p-837760205?boutiqueId=61&merchantId=152772
ev-yasam:kategori-1354,17,125,,80.6,16.5,330080473,555137,330080473:555137,"Glamis Selen Concept El Yapımı Büyük Boy Cam Salata Kasesi WA.INL.001, one size",Glamis,SELEN CONCEPT,315.07,,-17.3,InStock,,,,,4.6,21154,-32,532,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/glamis/selen-concept-el-yapimi-buyuk-boy-cam-salata-kasesi-wa-inl-001-one-size-p-330080473?boutiqueId=61&merchantId=555137
ev-yasam:banyo,13,13,0,78.3,24.2,824456926,225344,824456926:225344,West Home Makinede Yıkanabilir Kaymaz Taban Leke Tutmaz Bej Çizgili Salon Halısı Mutfak Halısı ve Yolluk,West Home,West Home,15.78,,-15.7,InStock,,,,,4.4,1096,1,576,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/west-home/makinede-yikanabilir-kaymaz-taban-leke-tutmaz-bej-cizgili-salon-halisi-mutfak-halisi-ve-yolluk-p-824456926?boutiqueId=61&merchantId=225344
ev-yasam:mobilya,21,57,,55.7,55.9,1165635772,123350,1165635772:123350,Orvila Silikon Yağlık Altlığı Kaymaz Koruyucu Mutfak Tezgah Koruyucu Altlık,Orvila,Orvila,116.55,,-15.1,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,14,1,8,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/orvila/silikon-yaglik-altligi-kaymaz-koruyucu-mutfak-tezgah-koruyucu-altlik-p-1165635772?boutiqueId=61&merchantId=123350
