rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
ev-yasam:poster,106,536,,87.6,18,776608618,199696,776608618:199696,"postifull Estetik Duvar Posteri - Botanik Çizim Çerçevesiz Poster - Yatak Odası, Salon, Mutfak Duvar Dekoru",postifull,,29,119.07,,InStock,,,,,4.6,,,,[],,listing_only,,https://www.trendyol.com/postifull/estetik-duvar-posteri-botanik-cizim-cercevesiz-poster-yatak-odasi-salon-mutfak-duvar-dekoru-p-776608618?boutiqueId=61&merchantId=199696
ev-yasam:poster,51,481,,90.7,13.5,667389499,199696,667389499:199696,postifull Estetik Duvar Tablosu - Duvar Posteri - Yazı Sanatı Duvar Dekoru - Çerçevesiz - Kalın Kuşe Kağıt,postifull,,29,112.33,,InStock,,,,,4.7,,,,[],,listing_only,,https://www.trendyol.com/postifull/estetik-duvar-tablosu-duvar-posteri-yazi-sanati-duvar-dekoru-cercevesiz-kalin-kuse-kagit-p-667389499?boutiqueId=61&merchantId=199696
ev-yasam:poster,113,543,,86.7,15.8,707751168,199696,707751168:199696,"postifull Estetik Duvar Posteri - Çerçevesiz Poster - Oda Dekoru - Mutfak, Salon, Yatak Odası Duvar Dekoru",postifull,,29,105.42,,InStock,,,,,4.4,,,,[],,listing_only,,https://www.trendyol.com/postifull/estetik-duvar-posteri-cercevesiz-poster-oda-dekoru-mutfak-salon-yatak-odasi-duvar-dekoru-p-707751168?boutiqueId=61&merchantId=199696
ev-yasam:poster,74,504,,90.9,11.2,667389536,199696,667389536:199696,postifull Estetik Duvar Tablosu - Duvar Posteri - Yazı Sanatı Duvar Dekoru - Çerçevesiz - Kalın Kuşe Kağıt,postifull,,29,103.78,,InStock,,,,,4.6,,,,[],,listing_only,,https://www.trendyol.com/postifull/estetik-duvar-tablosu-duvar-posteri-yazi-sanati-duvar-dekoru-cercevesiz-kalin-kuse-kagit-p-667389536?boutiqueId=61&merchantId=199696
ev-yasam:poster,24,454,,122,25,821792781,199696,821792781:199696,"postifull Çerçevesiz Poster Tablo, Duvar Posteri, Sanatsal Hd Baskı, Pembe Disko Akşamı , Maximalist No:94",postifull,,29,103.48,,InStock,,,,,4.4,,,,[],,listing_only,,https://www.trendyol.com/postifull/cercevesiz-poster-tablo-duvar-posteri-sanatsal-hd-baski-pembe-disko-aksami-maximalist-no-94-p-821792781?boutiqueId=61&merchantId=199696
ev-yasam:poster,94,524,,80.6,17.5,707749276,199696,707749276:199696,"postifull Estetik Duvar Posteri - Çerçevesiz Poster - Oda Dekoru - Mutfak, Salon, Yatak Odası Duvar Dekoru",postifull,,29,90.91,,InStock,,,,,4.3,,,,[],,listing_only,,https://www.trendyol.com/postifull/estetik-duvar-posteri-cercevesiz-poster-oda-dekoru-mutfak-salon-yatak-odasi-duvar-dekoru-p-707749276?boutiqueId=61&merchantId=199696
ev-yasam:birlesik-ev-yasam,60,60,-8,92.6,27.5,463380012,716966,463380012:716966,Dream Time Sıvı Geçirmez Soft Micro Fitted Alez | Ultra Sessiz Full Kenarlı Antibakteriyel Su Geçirmez Yatak Koruyucu,Dream Time,Dream Time,123.41,315.68,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3773693279724295,835,7,293,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/dream-time/sivi-gecirmez-soft-micro-fitted-alez-ultra-sessiz-full-kenarli-antibakteriyel-su-gecirmez-yatak-koruyucu-p-463380012?boutiqueId=61&merchantId=716966
ev-yasam:birlesik-ev-yasam,43,43,50,95,26.6,834301623,311243,834301623:311243,Vienev 12'li Hava Geçirmez Saklama Kabı Seti Antrasit 3x(250-500-750-1200 ML),Vienev,Vienev,184.9,449.9,0,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.3453100708239765,2966,2,188,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/vienev/12-li-hava-gecirmez-saklama-kabi-seti-antrasit-3x-250-500-750-1200-ml-p-834301623?boutiqueId=61&merchantId=311243
ev-yasam:mutfak-onluk-eldiven,65,189,,59.1,27.6,1173556666,4591,1173556666:4591,Porsima 33006-1 Silikon Fırın Eldiveni Isı Yalıtımlı Mikrodalga Fırın Tencere Tepsi Tutacağı Krem,Porsima,Turuncu Elma,64.95,149.9,,InStock,,,,,5,1,,1,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",23 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/porsima/33006-1-silikon-firin-eldiveni-isi-yalitimli-mikrodalga-firin-tencere-tepsi-tutacagi-krem-p-1173556666?boutiqueId=61&merchantId=4591
ev-yasam:magnet,117,421,,60.7,23.2,1144003343,451694,1144003343:451694,nextprintX Buzdolabı Magneti - Buzdolabı Süsü - Kalpli Magnet - Tekli,nextprintX,,22.61,49,,InStock,,,,,4.7,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,listing_only,,https://www.trendyol.com/nextprintx/buzdolabi-magneti-buzdolabi-susu-kalpli-magnet-tekli-p-1144003343?boutiqueId=61&merchantId=451694
ev-yasam:poster,86,516,,55.8,19.3,979583907,1147571,979583907:1147571,"Home İskandinav, Çocuk Odası Dekoru, Tekli Sevimli Ördekler Serisi, Bebek Odası Çerçevesiz Poster",Home,,96,175,,InStock,,,,,4.5,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,listing_only,,https://www.trendyol.com/home/iskandinav-cocuk-odasi-dekoru-tekli-sevimli-ordekler-serisi-bebek-odasi-cercevesiz-poster-p-979583907?boutiqueId=61&merchantId=1147571
ev-yasam:mutfak-onluk-eldiven,23,147,,81,41.1,1175730921,1250112,1175730921:1250112,"DUFF CLEAN 1 Adet Yüksek Isıya Dayanıklı Yanmaz Silikon Eldiven 35,5 Cm Fırın Eldiveni PEMBE",DUFF CLEAN,DUFF CLEAN,193.23,349,,InStock,,,,,5,1,,0,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",23 saat 10 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/duff-clean/1-adet-yuksek-isiya-dayanikli-yanmaz-silikon-eldiven-35-5-cm-firin-eldiveni-pembe-p-1175730921?boutiqueId=61&merchantId=1250112
ev-yasam:birlesik-ev-yasam,53,53,-13,73.4,24.9,810991911,119640,810991911:119640,Meleni Home 4'lü Buzdolabı Organizer Mikrodalga ve Difrize Uygun Düzenleyici Buzluk Saklama Kabı Antrasit 3100ml,Meleni Home,MeleniHome,199.9,328.8,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.680207697006719,1722,0,,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/meleni-home/4-lu-buzdolabi-organizer-mikrodalga-ve-difrize-uygun-duzenleyici-buzluk-saklama-kabi-antrasit-3100ml-p-810991911?boutiqueId=61&merchantId=119640
ev-yasam:birlesik-ev-yasam,52,52,-10,68.1,28.6,994085835,638780,994085835:638780,AKDAG HOME Tekli Paslanmaz Bulaşık Süngeri Tutucu Yapışkanlı Askılık Çift Taraflı Yapışkanlı Gri,AKDAG HOME,BEYZANA,74.99,119.99,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.046736502820306,607,1,60,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",23 saat 12 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/akdag-home/tekli-paslanmaz-bulasik-sungeri-tutucu-yapiskanli-askilik-cift-tarafli-yapiskanli-gri-p-994085835?boutiqueId=61&merchantId=638780
ev-yasam:mutfak-onluk-eldiven,41,165,,55.2,16.8,861554032,739242,861554032:739242,MİMOZA PARK Isı Yalıtımlı Tutacak Tencere Tava Çaydanlık Tutacağı Sapı | Kolay Kurulum - 1 adet,MİMOZA PARK,MİMOZA PARK,74.99,119.9,,InStock,,,,,4.461224489795918,161,,48,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",13 saat 10 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/mimoza-park/isi-yalitimli-tutacak-tencere-tava-caydanlik-tutacagi-sapi-kolay-kurulum-1-adet-p-861554032?boutiqueId=61&merchantId=739242
ev-yasam:poster,4,434,,125,33.6,816131475,1147571,816131475:1147571,"Genel Markalar 3'lü Poster Seti, Estetik Duvar Posteri Seti, Çerçevesiz Poster",Genel Markalar,,99,149,,InStock,,,,,4.2,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,listing_only,,https://www.trendyol.com/genel-markalar/3-lu-poster-seti-estetik-duvar-posteri-seti-cercevesiz-poster-p-816131475?boutiqueId=61&merchantId=1147571
