rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
ev-yasam:birlesik-ev-yasam,33,33,89,41.6,10.9,946801622,675777,946801622:675777,FİENS KIRIK BEYAZ SATEN GÜNEŞLİK (TÜL PERDE VE FON ALTINA) HER KOMBİNE YAKIŞIR ! TÜM ODALARA ŞIKLIK KATAR! En Çok Satılan,FİENS,İLKBİRLANT FİENS,0.02,,0,InStock,,,,,4.677114641477028,2799,3,272,"[""Sepette %74 İndirim"",""Kargo Bedava""]",1 saat 56 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/fiens/kirik-beyaz-saten-guneslik-tul-perde-ve-fon-altina-her-kombine-yakisir-tum-odalara-siklik-katar-en-cok-satilan-p-946801622?boutiqueId=61&merchantId=675777
ev-yasam:birlesik-ev-yasam,38,38,67,30.7,9.3,364833417,675777,364833417:675777,FİENS LÜKS İPEK BAMBU Şantuklu Ağır Gramajlı 1/3 Sık Pileli Tül Perde Ütü İstemeyen En Çok Satılan,FİENS,İLKBİRLANT FİENS,0.02,,0,InStock,,,,,4.628149435273675,2184,16,449,"[""Sepette %74 İndirim"",""Kargo Bedava""]",1 saat 56 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/fiens/luks-ipek-bambu-santuklu-agir-gramajli-1-3-sik-pileli-tul-perde-utu-istemeyen-en-cok-satilan-p-364833417?boutiqueId=61&merchantId=675777
ev-yasam:bebek-cocuk-battaniyesi,6,88,,74.2,45.8,1180629138,315047,1180629138:315047,yukobaby bebeğiniz için en doğalı Minik Palamutlar %100 Pamuklu Naturel Pamuklu 80x90 cm Tek Kat Bebek Battaniye,yukobaby bebeğiniz için en doğalı,YUKOBABY,199.9,,,OutOfStock,,,,,4.631578947368421,5,,1,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/yukobaby-bebeginiz-icin-en-dogali/minik-palamutlar-100-pamuklu-naturel-pamuklu-80x90-cm-tek-kat-bebek-battaniye-p-1180629138?boutiqueId=61&merchantId=315047
ev-yasam:bebek-cocuk-battaniyesi,36,118,,29.1,20.9,849060210,239276,849060210:239276,"COOLMINIES Çok Amaçlı Müslin Örtü , Müslin Yenidoğan Bebek Battaniyesi, %100 Pamuk, Müslin Bez 80*90 cm",COOLMINIES,COOLMINIES,161.5,169.99,,InStock,,,,,4.668508287292818,103,,22,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/coolminies/cok-amacli-muslin-ortu-muslin-yenidogan-bebek-battaniyesi-100-pamuk-muslin-bez-80-90-cm-p-849060210?boutiqueId=61&merchantId=239276
ev-yasam:bebek-cocuk-battaniyesi,70,152,,14,16,1032060866,315047,1032060866:315047,yukobaby bebeğiniz için en doğalı Minik Kır Çiçeği Naturel Pamuklu 80x90 cm Tek Kat Bebek Battaniye yk78495,yukobaby bebeğiniz için en doğalı,YUKOBABY,199.9,,,InStock,,,,,4.61344537815126,56,,3,[],,refreshed,0,https://www.trendyol.com/yukobaby-bebeginiz-icin-en-dogali/minik-kir-cicegi-naturel-pamuklu-80x90-cm-tek-kat-bebek-battaniye-yk78495-p-1032060866?boutiqueId=61&merchantId=315047
ev-yasam:bebek-cocuk-battaniyesi,109,191,,0,30,1197081884,343193,1197081884:343193,Cigit Dört Kat Müslin Püsküllü Battaniye 80X120 Cm Vizon Çizgili,Cigit,CİGİT CONCEPT,450,,,InStock,,,,,0,0,,0,"[""Kargo Bedava"",""Sepette %3 İndirim"",""30 TL Kupon"",""534,99 TL Kupon"",""60 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/cigit/dort-kat-muslin-puskullu-battaniye-80x120-cm-vizon-cizgili-p-1197081884?boutiqueId=61&merchantId=343193
ev-yasam:bebek-cocuk-battaniyesi,111,193,,13.9,16.1,795608447,306407,795608447:306407,HAMUR Fluffy Bebek Battaniyesi 80x100 Solid Bej Düz Kundak Puset Çift Taraflı Koyun Tüyü Battaniye 100x80,HAMUR,HAMUR,331.55,,,InStock,,,,,4.68,54,,,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/hamur/fluffy-bebek-battaniyesi-80x100-solid-bej-duz-kundak-puset-cift-tarafli-koyun-tuyu-battaniye-100x80-p-795608447?boutiqueId=61&merchantId=306407
ev-yasam:mutfak-onluk-eldiven,30,226,,31.3,28.7,759465178,146291,759465178:146291,Monki Haus Kişiye Özel İsim Nakışlı Leke Tutmaz Çocuk Önlük - Mutfak Boyama Hobi Okul Aktivite Unisex,Monki Haus,MONKİ HAUS,599.99,,,InStock,,,,,5,25,,133,"[""Sepette %1 İndirim"",""Kargo Bedava"",""364,23 TL Kupon"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/monki-haus/kisiye-ozel-isim-nakisli-leke-tutmaz-cocuk-onluk-mutfak-boyama-hobi-okul-aktivite-unisex-p-759465178?boutiqueId=61&merchantId=146291
ev-yasam:mutfak-onluk-eldiven,88,284,,4.8,25.2,364536277,225056,364536277:225056,AYSHOME Ays Home Pudra Kedi Anaokulu Çocuk Etkinlik Önlüğü,AYSHOME,AYSHOME TEKSTİL TASARIM,279.9,,,InStock,,,,,4.777777777777778,3,,,"[""Sepette %5 İndirim"",""Sepette %15 İndirim"",""40 TL Kupon"",""319,99 TL Kupon"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/ayshome/ays-home-pudra-kedi-anaokulu-cocuk-etkinlik-onlugu-p-364536277?boutiqueId=61&merchantId=225056
ev-yasam:mutfak-onluk-eldiven,101,297,,14.7,15.6,79711702,119640,79711702:119640,Meleni Home Aynaya Sabitlenebilir Saç Sakal Kesme Örtüsü Traş Önlüğü,Meleni Home,MeleniHome,176.4,176.9,,InStock,,,,,3.9925925925925925,62,,11,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/meleni-home/aynaya-sabitlenebilir-sac-sakal-kesme-ortusu-tras-onlugu-p-79711702?boutiqueId=61&merchantId=119640
