rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
genel-cok-satanlar:bahce-yapi-market,17,157,-10,75.8,45.9,235810422,241358,235810422:241358,Renkli Duvarlar Shiny 30x60 cm Beden Seçenekli Parlak Beyaz Mermer Desenli Yapışkanlı Duvar Paneli Kağıdı Kaplama,Renkli Duvarlar,Renkli Duvarlar,28.04,,0,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.194833153928956,483,3,1495,"[""Kargo Bedava""]",12 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/renkli-duvarlar/shiny-30x60-cm-beden-secenekli-parlak-beyaz-mermer-desenli-yapiskanli-duvar-paneli-kagidi-kaplama-p-235810422
genel-cok-satanlar:aksesuar,12,32,-9,72.1,47.5,1188246917,426475,1188246917:426475,"D'VERS Kalemlikli, Suya Dayanıklı, 4 Bölmeli, Siyah, Geniş Hacimli Okul Sırt Çantası Seti","D'VERS Kalemlikli,",D'VERS,1099.9,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.617647058823529,30,3,59,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/d-vers/kalemlikli-suya-dayanikli-4-bolmeli-siyah-genis-hacimli-okul-sirt-cantasi-seti-p-1188246917
genel-cok-satanlar:spor-outdoor,16,236,-9,76.5,33,2852286,129922,2852286:129922,Cosfer Csf-5582 Kapı Barfiksi 62-100 Cm.,Cosfer,BeratSport,554,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.267976588628763,1113,3,819,"[""Kargo Bedava""]",12 saat 51 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/cosfer/csf-5582-kapi-barfiksi-62-100-cm-p-2852286
genel-cok-satanlar:kitap,20,100,-8,70.3,29.2,120342335,126620,120342335:126620,yükselen zeka Konuşturan Kitap Serisi (2-4 Yaş) Yaz-Sil Kitaplar,yükselen zeka,YÜKSELEN ZEKA,309.72,,19.6,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.759966311061201,1863,-2,61,"[""Sepette %16 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yukselen-zeka/konusturan-kitap-serisi-2-4-yas-yaz-sil-kitaplar-p-120342335
genel-cok-satanlar:aksesuar,8,28,-7,93.1,36.5,800176720,426475,800176720:426475,D'VERS Unisex Siyah Su Geçirmez Günlük Cepli Sırt Çantası,D'VERS,D'VERS,569.9,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.541084634346755,1298,4,379,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/d-vers/unisex-siyah-su-gecirmez-gunluk-cepli-sirt-cantasi-p-800176720
genel-cok-satanlar:aksesuar,13,33,-7,82.6,34.5,267364045,496056,267364045:496056,Monalisa 500 Adet Siyah Perma Saç Örgü Lastiği,Monalisa,Monalisa Toka,74.9,,,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.523096663815227,1127,,34,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",12 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/monalisa/500-adet-siyah-perma-sac-orgu-lastigi-p-267364045
genel-cok-satanlar:hobi,20,120,-7,65.7,33.9,364902364,134783,364902364:134783,"ZEYMERADE Bordo Sağdıç Kol Kurdele Bileklik Bant, Kına Gecesi Düğün Bride Bekarlığa Veda Söz, 1 Adet",ZEYMERADE,ZEYMERADE,16.64,,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.692864529472596,484,-3,76,"[""Kargo Bedava""]",12 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/zeymerade/bordo-sagdic-kol-kurdele-bileklik-bant-kina-gecesi-dugun-bride-bekarliga-veda-soz-1-adet-p-364902364
genel-cok-satanlar:giyim,12,52,-6,96.9,39.8,36506729,2880,36506729:2880,Siyah İnci Kadın Siyah-beyaz Kısa Kollu Pamuklu Düğmeli Biyeli Pijama Takım,Siyah İnci,SİYAHİNCİ,1208.56,,0,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,4.2140034404202895,11917,-30,2473,"[""Trendyol Plus'a Özel"",""Sepette %70 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/siyah-inci/kadin-siyah-beyaz-kisa-kollu-pamuklu-dugmeli-biyeli-pijama-takim-p-36506729
genel-cok-satanlar:giyim,19,59,-6,81.1,36.3,357929632,438561,357929632:438561,BARUCCA Lohusa Bel Korse Sıkılaştırma Korsesi Bel Eğitmeni Şekillendirme Kemeri,BARUCCA,BARUCCA,319.99,,-0.5,InStock,3 günde 500+ ürün satıldı!,3,500,166.7,3.877339346110485,6946,-7,650,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",12 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/barucca/lohusa-bel-korse-sikilastirma-korsesi-bel-egitmeni-sekillendirme-kemeri-p-357929632
genel-cok-satanlar:ayakkabi,18,138,-6,68.2,27.7,827647301,968,827647301:968,adidas Crazychaos 2000 Kadın Sneaker IH0308,adidas,Trendyol,2671.06,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.648034934497817,649,0,41,"[""200 TL Kupon"",""Peşin Fiyatına 3 Taksit""]",12 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/adidas/crazychaos-2000-kadin-sneaker-ih0308-p-827647301
