rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hamile:hamile-cok-satanlar,70,70,-26,23.6,6.4,813433152,,813433152:unknown,Miss Dünya Lissa Sabahlıklı Şerit Detaylı Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,1259.31,,-16.6,InStock,,,,,4.4,,0,255,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/sabahlikli-serit-detayli-hamile-ve-lohusa-pijama-takimi-p-813433152
hamile:hamile-elbise,22,122,21,41.6,38.4,1182302553,157030,1182302553:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,679,,0,InStock,,,,,4.5,,0,4,"[""Kargo Bedava""]",9 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1182302553?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,29,129,6,44.4,38.1,1134092895,367,1134092895:367,Suwen Chloe Uzun Günlük Elbise,Suwen,SUWEN,839.2,1049,0,InStock,,,,,5,,0,1,"[""Sepette %20 İndirim"",""789,80 TL Kupon"",""75 TL Kupon"",""995 TL Kupon"",""749 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/suwen/chloe-uzun-gunluk-elbise-p-1134092895?boutiqueId=61&merchantId=367
hamile:hamile-elbise,39,139,6,2,,1141573716,904421,1141573716:904421,"KATLİN MATERNİTY WEAR Hamile Puantiyeli Desen %100 Viskon Elbise , Kısa Kol Model , Bel Kemerli Yaka Uzun Fermuar ve Düğme Detaylı",KATLİN MATERNİTY WEAR,KATLİN MATERNİTY WEAR,1298,,8.3,InStock,,,,,,,0,,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/katlin-maternity-wear/hamile-puantiyeli-desen-100-viskon-elbise-kisa-kol-model-bel-kemerli-yaka-uzun-fermuar-ve-dugme-detayli-p-1141573716?boutiqueId=61&merchantId=904421
hamile:hamile-elbise,40,140,24,2.4,32.6,1182302164,157030,1182302164:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,679,,0,InStock,,,,,5,,0,7,"[""Kargo Bedava""]",9 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1182302164?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,56,156,24,13,17,349340731,108216,349340731:108216,Artış Kadın Esnek Viskoz Hamile Sabahlık Gecelik Takım 13406,Artış,Artış Collection,2799,,24.7,InStock,,,,,4.3,,0,3,"[""100 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/artis/kadin-esnek-viskoz-hamile-sabahlik-gecelik-takim-13406-p-349340731?boutiqueId=61&merchantId=108216
hamile:hamile-elbise,57,157,22,12.5,17.5,819073793,331678,819073793:331678,Lyn Mama Johana Hamile Kot Jile Elbise - Mavi,Lyn Mama,LYN MAMA,1299.9,,0,InStock,,,,,4.7,,0,66,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lyn-mama/johana-hamile-kot-jile-elbise-mavi-p-819073793?boutiqueId=61&merchantId=331678
hamile:hamile-elbise,80,180,26,15.2,14.8,332452287,119818,332452287:119818,Catherines 871 Lohusa Elbise,Catherines,Dorelux,831.6,,-1,InStock,,,,,4.5,79,-1,29,"[""Sepette %1 İndirim"",""50 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/catherines/871-lohusa-elbise-p-332452287?boutiqueId=61&merchantId=119818
hamile:hamile-elbise,82,182,45,11.2,18.8,924540018,108216,924540018:108216,Artış Askılı Esnek Viskoz Hamile Sabahlık Gecelik Takım,Artış,Artış Collection,2799,,39.5,InStock,,,,,4.2,,0,4,"[""100 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/artis/askili-esnek-viskoz-hamile-sabahlik-gecelik-takim-p-924540018?boutiqueId=61&merchantId=108216
hamile:hamile-elbise,84,184,,5.6,24.4,1141560335,904421,1141560335:904421,KATLİN MATERNİTY WEAR Hamile Mürdüm Keten Elbise Yanlardan Bağcık Detaylı Önden Açılan Düğme (EMZİRME),KATLİN MATERNİTY WEAR,KATLİN MATERNİTY WEAR,1487,,,InStock,,,,,4.8,,,3,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/katlin-maternity-wear/hamile-murdum-keten-elbise-yanlardan-bagcik-detayli-onden-acilan-dugme-emzirme-p-1141560335?boutiqueId=61&merchantId=904421
hamile:hamile-elbise,93,193,-6,9.6,20.4,1128329704,153578,1128329704:153578,benguen Kolsuz İçlik Elbise N8102 Lacivert,benguen,benguen,799.99,,0,InStock,,,,,4.7,,0,16,"[""39 TL Kupon"",""Kargo Bedava""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/benguen/kolsuz-iclik-elbise-n8102-lacivert-p-1128329704?boutiqueId=61&merchantId=153578
