rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hamile:hamile-elbise,119,139,73,13.5,16.5,100345704,346762,100345704:346762,ADASTYLE Kadın Beyaz Elbise,ADASTYLE,ADA STYLE,1349.9,,0,InStock,,,,,4.5280898876404505,48,0,102,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/adastyle/kadin-beyaz-elbise-p-100345704?boutiqueId=61&merchantId=346762
hamile:hamile-elbise,116,136,72,12.5,17.5,750333570,4575,750333570:4575,Luvmabelly MYRA6301 Kot Hamile Jile Elbise -Mavi,Luvmabelly,LuvmaBelly,1292.45,,-0.6,InStock,,,,,3.913793103448276,35,0,42,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",9 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/luvmabelly/myra6301-kot-hamile-jile-elbise-mavi-p-750333570?boutiqueId=61&merchantId=4575
hamile:hamile-elbise,90,110,68,39.1,16,468237556,719046,468237556:719046,ByLohusa Effortt Ekru Sabahlıklı Hamile Lohusa Gecelik Takım,ByLohusa,ByLohusa,1983.5,2647.99,-26.5,InStock,,,,,4.368932038834952,56,0,57,"[""Sepette %1 İndirim"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/bylohusa/effortt-ekru-sabahlikli-hamile-lohusa-gecelik-takim-p-468237556?boutiqueId=61&merchantId=719046
hamile:hamile-elbise,18,38,66,52.3,37.7,1128329786,153578,1128329786:153578,benguen Kolsuz İçlik Elbise N8102 Siyah,benguen,benguen,641.6,,-19.8,InStock,,,,,4.733333333333333,10,0,25,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",9 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/benguen/kolsuz-iclik-elbise-n8102-siyah-p-1128329786?boutiqueId=61&merchantId=153578
hamile:hamile-elbise,112,132,62,6.8,23.2,1148184828,4575,1148184828:4575,Luvmabelly MYRA5861 – Doğal Yumuşacık Müslin kumaş - yazlık Gömlek Hamile Elbise - Lacivert,Luvmabelly,LuvmaBelly,1281.13,,5.9,InStock,,,,,4.375,6,0,16,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/luvmabelly/myra5861-dogal-yumusacik-muslin-kumas-yazlik-gomlek-hamile-elbise-lacivert-p-1148184828?boutiqueId=61&merchantId=4575
hamile:hamile-elbise,114,134,61,13.3,16.7,681002970,175525,681002970:175525,Miss Dünya Lissa Dantel Detaylı Hamile Ve Lohusa Gecelik Takımı,Miss Dünya Lissa,Miss Dünya Lissa,999.99,,0,InStock,,,,,4.563829787234042,45,0,14,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/dantel-detayli-hamile-ve-lohusa-gecelik-takimi-p-681002970?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,106,126,53,12.4,17.6,112072035,346762,112072035:346762,"ADASTYLE Yaka, Şifon Elbise",ADASTYLE,ADA STYLE,1349.9,,0,InStock,,,,,4.514285714285714,34,0,59,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/adastyle/yaka-sifon-elbise-p-112072035?boutiqueId=61&merchantId=346762
hamile:hamile-elbise,101,121,51,34.3,24.4,1128331865,153578,1128331865:153578,benguen Kolsuz İçlik Elbise N8102 Kahverengi,benguen,benguen,570.75,799.99,-28.7,InStock,,,,,5,4,0,8,"[""28 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Trendyol Plus'a Özel""]",9 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/benguen/kolsuz-iclik-elbise-n8102-kahverengi-p-1128331865?boutiqueId=61&merchantId=153578
hamile:hamile-elbise,145,165,51,5.6,24.4,1172725752,203753,1172725752:203753,Hazinedan OTANTİK KADIN TURUNCU ETNİK DESEN ASİMETRİK KISA KOL ANNE ELBİSE,Hazinedan,Hazinedan,1716.83,,3.3,InStock,,,,,4,4,0,5,"[""80 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/hazinedan/otantik-kadin-turuncu-etnik-desen-asimetrik-kisa-kol-anne-elbise-p-1172725752?boutiqueId=61&merchantId=203753
hamile:hamile-elbise,146,166,45,17.9,12.1,168068796,4575,168068796:4575,Luvmabelly Myra6300 Kışlık Kazayağı Desen Hamile Jile Elbise -siyah,Luvmabelly,LuvmaBelly,855,,-0.3,InStock,,,,,4.606060606060606,172,0,134,"[""Kargo Bedava""]",9 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/luvmabelly/myra6300-kislik-kazayagi-desen-hamile-jile-elbise-siyah-p-168068796?boutiqueId=61&merchantId=4575
hamile:hamile-elbise,141,161,42,12.1,17.9,324430910,346762,324430910:346762,"ADASTYLE Çekim, Uzun, Hemile, Abiye Şifon Elbise",ADASTYLE,ADA STYLE,1649.9,,0,InStock,,,,,4.603174603174603,32,0,51,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/adastyle/cekim-uzun-hemile-abiye-sifon-elbise-p-324430910?boutiqueId=61&merchantId=346762
hamile:hamile-elbise,66,86,39,2.4,27.6,1182302164,157030,1182302164:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,679,,0,InStock,,,,,5,1,0,8,"[""Kargo Bedava""]",9 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1182302164?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,19,39,36,56.8,30.7,744331479,126861,744331479:126861,Catherines Lux Mood Hamile Elbisesi,Catherines,Penyemood,995,,0,InStock,,,,,4.536764705882353,69,0,12,"[""Trendyol Plus'a Özel"",""75 TL Kupon"",""Kargo Bedava""]",9 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/catherines/lux-mood-hamile-elbisesi-p-744331479?boutiqueId=61&merchantId=126861
hamile:hamile-elbise,143,163,36,11.8,18.2,830231373,4575,830231373:4575,Luvmabelly Myra6310 Kot Hamile Jile Elbise,Luvmabelly,LuvmaBelly,1061.35,,0.5,InStock,,,,,4.36,29,0,63,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/luvmabelly/myra6310-kot-hamile-jile-elbise-p-830231373?boutiqueId=61&merchantId=4575
hamile:hamile-elbise,64,84,31,10.9,19.1,819073793,331678,819073793:331678,Lyn Mama Johana Hamile Kot Jile Elbise - Mavi,Lyn Mama,LYN MAMA,1299.9,,0,InStock,,,,,4.675675675675675,22,0,66,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lyn-mama/johana-hamile-kot-jile-elbise-mavi-p-819073793?boutiqueId=61&merchantId=331678
hamile:hamile-elbise,126,146,31,10.2,19.8,809686912,763328,809686912:763328,LC Waikiki Kare Yaka Düz Askılı Hamile Jean Salopet Elbise,LC Waikiki,Epic Store,1799,,12.5,InStock,,,,,4.22,18,0,50,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",53 dakika 4 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lc-waikiki/kare-yaka-duz-askili-hamile-jean-salopet-elbise-p-809686912?boutiqueId=61&merchantId=763328
hamile:hamile-elbise,138,158,30,16,14,42048577,424401,42048577:424401,Genel Markalar Fırfır Yaka Şifon Elbise,Genel Markalar,Bersi butik,1670,,0,InStock,,,,,4.408284023668639,99,0,128,"[""Kargo Bedava""]",9 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/firfir-yaka-sifon-elbise-p-42048577?boutiqueId=61&merchantId=424401
hamile:hamile-elbise,63,83,29,14.8,15.2,774432252,126861,774432252:126861,Catherines Yumuşak Dokulu Hamile Elbisesi,Catherines,Penyemood,1149,,0,InStock,,,,,4.717948717948718,69,0,26,"[""100 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",9 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/catherines/yumusak-dokulu-hamile-elbisesi-p-774432252?boutiqueId=61&merchantId=126861
hamile:hamile-elbise,12,32,27,61.6,43.4,1109239303,108216,1109239303:108216,Artış Askılı Emzirme Bölmeli Esnek Viskoz Hamile Sabahlık Gecelik Takım,Artış,Artış Collection,2391.23,,5.4,InStock,,,,,5,4,0,4,"[""100 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/artis/askili-emzirme-bolmeli-esnek-viskoz-hamile-sabahlik-gecelik-takim-p-1109239303?boutiqueId=61&merchantId=108216
hamile:hamile-elbise,136,156,24,5.6,24.4,1135661164,175525,1135661164:175525,Miss Dünya Lissa Puantiyeli V Yaka Emzirme Kolaylığı Sağlayan Kuşaklı Lohusa Sabahlık Askılı Gecelik Seti,Miss Dünya Lissa,Miss Dünya Lissa,979.99,,0,InStock,,,,,4,4,0,11,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/puantiyeli-v-yaka-emzirme-kolayligi-saglayan-kusakli-lohusa-sabahlik-askili-gecelik-seti-p-1135661164?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,133,153,23,3.8,26.2,1141560371,904421,1141560371:904421,KATLİN MATERNİTY WEAR Hamile Kahve Keten Elbise Yanlardan Bağcık Detaylı Önden Açılan Düğme (EMZİRME),KATLİN MATERNİTY WEAR,KATLİN MATERNİTY WEAR,1487,,14.7,InStock,,,,,5,2,0,5,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/katlin-maternity-wear/hamile-kahve-keten-elbise-yanlardan-bagcik-detayli-onden-acilan-dugme-emzirme-p-1141560371?boutiqueId=61&merchantId=904421
hamile:hamile-elbise,83,103,13,1,30,1185925634,175525,1185925634:175525,Miss Dünya Lissa Alina Sabahlıklı Emzirmeye Uygun Dantel Detaylı Sıfır Kol Hamile ve Lohusa Gecelik Takımı,Miss Dünya Lissa,Miss Dünya Lissa,997.54,1007.62,-23.9,InStock,,,,,0,0,0,0,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/alina-sabahlikli-emzirmeye-uygun-dantel-detayli-sifir-kol-hamile-ve-lohusa-gecelik-takimi-p-1185925634?boutiqueId=61&merchantId=175525
hamile:hamile-cok-satanlar,19,19,12,66.1,21.4,827538355,207439,827538355:207439,MODALADY 3 ADET %100 PAMUKLU HAMİLE KÜLODU,MODALADY,MODALADY,298.9,,0,InStock,,,,,4.458376690946929,1023,0,265,"[""Kargo Bedava""]",9 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/modalady/3-adet-100-pamuklu-hamile-kulodu-p-827538355
hamile:hamile-elbise,102,122,10,13.1,16.9,129689217,108216,129689217:108216,Artış Ekru Dokuma Uzun Sabahlık-11500,Artış,Artış Collection,1629.53,,3.2,InStock,,,,,4.183333333333334,43,0,23,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/artis/ekru-dokuma-uzun-sabahlik-11500-p-129689217?boutiqueId=61&merchantId=108216
hamile:hamile-elbise,113,133,10,6.2,23.8,1141573715,904421,1141573715:904421,"KATLİN MATERNİTY WEAR Hamile Puantiyeli Desen %100 Viskon Elbise , Kısa Kol Model , Bel Kemerli Yaka Uzun Fermuar ve Düğme Detaylı",KATLİN MATERNİTY WEAR,KATLİN MATERNİTY WEAR,1298,,21.7,InStock,,,,,4.285714285714286,5,0,11,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",9 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/katlin-maternity-wear/hamile-puantiyeli-desen-100-viskon-elbise-kisa-kol-model-bel-kemerli-yaka-uzun-fermuar-ve-dugme-detayli-p-1141573715?boutiqueId=61&merchantId=904421
hamile:hamile-elbise,73,93,9,19.4,10.6,839428913,175525,839428913:175525,Miss Dünya Lissa Önden Bağlamalı Dantel Detaylı Kolsuz Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,829.99,,0,InStock,,,,,4.349881796690307,262,0,41,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/onden-baglamali-dantel-detayli-kolsuz-hamile-ve-lohusa-pijama-takimi-p-839428913?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,82,102,8,7.2,22.8,1130646983,331678,1130646983:331678,Lyn Mama Scarlett Hamile Salopet Elbisee- Siyah,Lyn Mama,LYN MAMA,999.9,,0,InStock,,,,,4.071428571428571,7,0,21,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lyn-mama/scarlett-hamile-salopet-elbisee-siyah-p-1130646983?boutiqueId=61&merchantId=331678
hamile:hamile-cok-satanlar,15,15,7,76.2,21.3,816224058,175525,816224058:175525,Miss Dünya Lissa Önden Bağlamalı Geniş Şerit Yakalı Hamile ve Lohusa Pijama Takımı,Miss Dünya Lissa,Miss Dünya Lissa,949.99,,0,InStock,,,,,4.448662103298071,1866,1,539,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/onden-baglamali-genis-serit-yakali-hamile-ve-lohusa-pijama-takimi-p-816224058
hamile:hamile-cok-satanlar,16,16,7,66.5,28.5,865290685,904421,865290685:904421,KATLİN MATERNİTY WEAR Hamile Geniş Paça Beli Ayarlanabilir Kumaş Pantolon Önü Dikiş Detaylı,KATLİN MATERNİTY WEAR,KATLİN MATERNİTY WEAR,838,,12.9,InStock,,,,,4.503836317135551,206,1,137,"[""Kargo Bedava""]",9 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/katlin-maternity-wear/hamile-genis-paca-beli-ayarlanabilir-kumas-pantolon-onu-dikis-detayli-p-865290685
hamile:hamile-elbise,88,108,6,11.3,18.7,868930003,719046,868930003:719046,ByLohusa Effortt Mavi Sabahlıklı Hamile Lohusa Gecelik Takım,ByLohusa,ByLohusa,1984.56,,9.8,InStock,,,,,4.380952380952381,25,0,28,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bylohusa/effortt-mavi-sabahlikli-hamile-lohusa-gecelik-takim-p-868930003?boutiqueId=61&merchantId=719046
hamile:hamile-elbise,91,111,6,11.5,18.5,1032329041,126861,1032329041:126861,Catherines Comfort Mood Hamile Pijama Takımı,Catherines,Penyemood,1560,,0,InStock,,,,,4.82,26,0,8,"[""100 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/catherines/comfort-mood-hamile-pijama-takimi-p-1032329041?boutiqueId=61&merchantId=126861
hamile:hamile-elbise,211,231,5,6.2,23.8,856000127,175525,856000127:175525,Miss Dünya Lissa Hamile ve Lohusa Uzun Kol Saç Örgü Desen Midi Elbise,Miss Dünya Lissa,Miss Dünya Lissa,829.99,,0,InStock,,,,,4.384615384615385,5,0,8,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/hamile-ve-lohusa-uzun-kol-sac-orgu-desen-midi-elbise-p-856000127?boutiqueId=61&merchantId=175525
hamile:hamile-elbise,98,118,4,7.6,22.4,1155144033,157030,1155144033:157030,SENTEX Geniş kısa kollu desenli kadın elbisesi,SENTEX,SUDENAZ TEKSTİL,689,,0,InStock,,,,,4.76,8,0,27,"[""Kargo Bedava""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/sentex/genis-kisa-kollu-desenli-kadin-elbisesi-p-1155144033?boutiqueId=61&merchantId=157030
hamile:hamile-elbise,99,119,4,10.6,19.4,839886722,262565,839886722:262565,Volanlı Jile Elbise,Volanlı,VOLANLI,1340,,0,InStock,,,,,4.7407407407407405,20,0,21,"[""50 TL Kupon"",""Kargo Bedava""]",9 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/volanli/jile-elbise-p-839886722?boutiqueId=61&merchantId=262565
hamile:hamile-elbise,135,155,4,0,30,1190697860,175525,1190697860:175525,Miss Dünya Lissa Mirella Hamile ve Lohusa Dantel Detaylı Emzirmeye Uygun Gecelik,Miss Dünya Lissa,Miss Dünya Lissa,829.99,,0,InStock,,,,,0,0,0,3,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miss-dunya-lissa/mirella-hamile-ve-lohusa-dantel-detayli-emzirmeye-uygun-gecelik-p-1190697860?boutiqueId=61&merchantId=175525
hamile:hamile-cok-satanlar,13,13,3,79.7,22.8,770783412,909277,770783412:909277,par lingerie pl 3 LÜ HAMİLE EMZİRME ATLETİ SİYAH-BEYAZ-TEN,par lingerie pl,MS Hamile iç giyim,568.82,,-6.1,InStock,,,,,4.379542395693137,1618,0,364,"[""Kargo Bedava""]",9 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/par-lingerie-pl/3-lu-hamile-emzirme-atleti-siyah-beyaz-ten-p-770783412
hamile:hamile-elbise,95,115,3,9.6,20.4,1118472616,126861,1118472616:126861,Catherines Emzirme detaylı askılı lohusa gecelik,Catherines,Penyemood,820,,0,InStock,,,,,4.8108108108108105,15,0,6,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/catherines/emzirme-detayli-askili-lohusa-gecelik-p-1118472616?boutiqueId=61&merchantId=126861
hamile:hamile-elbise,54,74,2,12.1,20.2,1035141618,108216,1035141618:108216,Artış Uzun Kollu Desenli Düğmeli Esnek Pamuklu Hamile Pijama Takım,Artış,Artış Collection,1643.05,1681.08,-2.3,InStock,,,,,4.296296296296297,16,0,13,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/artis/uzun-kollu-desenli-dugmeli-esnek-pamuklu-hamile-pijama-takim-p-1035141618?boutiqueId=61&merchantId=108216
hamile:hamile-cok-satanlar,18,18,2,69.2,20.8,1838359,250065,1838359:250065,Dagi Beyaz Emzirme Sütyeni,Dagi,LORİSA,441.74,,-2.1,InStock,,,,,4.626865671641791,1415,-1,534,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Sepette %1 İndirim"",""Trendyol Plus'a Özel""]",9 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/dagi/beyaz-emzirme-sutyeni-p-1838359
hamile:hamile-cok-satanlar,4,4,2,101.6,29.2,706275415,108216,706275415:108216,Artış Ispanyol Paça Yüksek Bel Esnek Toparlayıcı Hamile Tayt,Artış,Artış Collection,829.89,,2.1,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.439033597583994,3132,-14,335,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/artis/ispanyol-paca-yuksek-bel-esnek-toparlayici-hamile-tayt-p-706275415
hamile:hamile-cok-satanlar,6,6,1,92.3,33.6,789662828,257086,789662828:257086,Arma Yıldız 3'lü Paket Kadın Siyah Pamuklu Likralı Yüksek Bel Hamile Lohusa Külot Esnek ve Rahat Kumaş,Arma Yıldız,ARMA YILDIZ,319.9,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.448333333333333,668,3,177,"[""Kargo Bedava""]",9 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/arma-yildiz/3-lu-paket-kadin-siyah-pamuklu-likrali-yuksek-bel-hamile-lohusa-kulot-esnek-ve-rahat-kumas-p-789662828
