rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
hobi:hobi-malzemeleri,191,291,-91,10.9,19.1,1063924445,134783,1063924445:134783,ZEYMERADE Vanilya Krem Süsleme Tülü Bohça Çeyiz Gelin Damat Söz Nişan Nikah Kapı Konvoy Valiz Hediye 100x300cm,ZEYMERADE,ZEYMERADE,49.9,,0,InStock,,,,,4.333333333333333,22,,10,"[""399,90 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zeymerade/vanilya-krem-susleme-tulu-bohca-ceyiz-gelin-damat-soz-nisan-nikah-kapi-konvoy-valiz-hediye-100x300cm-p-1063924445?boutiqueId=61&merchantId=134783
hobi:hobi-malzemeleri,150,250,-84,9.4,20.6,996794142,739242,996794142:739242,"MİMOZA PARK 2 Adet Paslanmaz Çelik Pipet Temizleme Fırçası, 40/30/20 oz Uyumlu,Pipet Temizleme Aracı",MİMOZA PARK,MİMOZA PARK,34.99,,45.2,InStock,,,,,4.771428571428571,14,0,16,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/mimoza-park/2-adet-paslanmaz-celik-pipet-temizleme-fircasi-40-30-20-oz-uyumlu-pipet-temizleme-araci-p-996794142?boutiqueId=61&merchantId=739242
hobi:hobi-malzemeleri,193,293,-82,8.3,21.7,1148363843,1030774,1148363843:1030774,"L'Opaline Tek Kullanımlık Kağıt (1 ADET) Masa Örtüsü 100x150 cm Beyaz, Doğum Günü, Nişan, Söz, Baby Shower, Piknik, Parti, Bahçe, Balkon, Organizasyon Sofra Örtüsü",L'Opaline,L’Opaline,33.25,,-5,InStock,,,,,4.4375,10,1,14,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/l-opaline/tek-kullanimlik-kagit-1-adet-masa-ortusu-100x150-cm-beyaz-dogum-gunu-nisan-soz-baby-shower-piknik-parti-bahce-balkon-organizasyon-sofra-ortusu-p-1148363843?boutiqueId=61&merchantId=1030774
hobi:hobi-malzemeleri,194,294,-61,24.4,5.6,299216603,134783,299216603:134783,ZEYMERADE Dağıtmalık Hediyelik Kına 100 Adet Kutulu,ZEYMERADE,ZEYMERADE,159.9,,0,InStock,,,,,4.227565691621219,1130,0,122,"[""169,90 TL Kupon"",""125 TL Kupon"",""379,90 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zeymerade/dagitmalik-hediyelik-kina-100-adet-kutulu-p-299216603?boutiqueId=61&merchantId=134783
hobi:hobi-cok-satanlar,93,93,-51,14.7,21.1,894078685,1020897,894078685:1020897,Kullanatsepetim Plastik Pet Bardak Otomat Bardağı 180 cc 100 Adet,Kullanatsepetim,Apex Ambalaj,45,,9.1,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.371794871794871,42,1,9,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kullanatsepetim/plastik-pet-bardak-otomat-bardagi-180-cc-100-adet-p-894078685
hobi:hobi-malzemeleri,77,177,-46,21.6,8.4,1074206868,677198,1074206868:677198,Amentes 1lü Kalın Cam Eğimli Pipet,Amentes,Amentes,8.67,,0,InStock,,,,,4.330836454431959,499,0,80,"[""Sepette %1 İndirim"",""15 TL Kupon"",""23,68 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",23 dakika 10 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/amentes/1lu-kalin-cam-egimli-pipet-p-1074206868?boutiqueId=61&merchantId=677198
hobi:hobi-malzemeleri,197,297,-46,16,14,93760125,229852,93760125:229852,Huzur Party Store Pembe Renk Kullan At 120x180 Cm Doğum Günü Partisi Için Düz Tek Kullanımlık Plastik Masa Örtüsü,Huzur Party Store,Huzur Party Store,74.99,,0,InStock,,,,,4.351851851851852,99,0,20,"[""99,99 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/huzur-party-store/pembe-renk-kullan-at-120x180-cm-dogum-gunu-partisi-icin-duz-tek-kullanimlik-plastik-masa-ortusu-p-93760125?boutiqueId=61&merchantId=229852
hobi:hobi-cok-satanlar,92,92,-41,25.7,10.1,846886748,997037,846886748:997037,İFC TASARIM Hediyelik Magnet Gold Varaklı şeffaf etiketli 20 Adet Nişan Söz Nikah Dügün Organizasyon Hediyelik,İFC TASARIM,İFC TASARIM,279,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.440366972477064,1005,0,5172,"[""Sepette %5 İndirim"",""40 TL Kupon"",""20 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ifc-tasarim/hediyelik-magnet-gold-varakli-seffaf-etiketli-20-adet-nisan-soz-nikah-dugun-organizasyon-hediyelik-p-846886748
hobi:hobi-cok-satanlar,96,96,-35,23.3,12.5,1055240435,375322,1055240435:375322,"Genel Markalar İstiridye Anahtarlık 10 Adet Nişan,Kına ,Nikah, Söz Hediyelik",Genel Markalar,HEN GSM,87.44,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.278382581648523,502,0,2657,"[""20 TL Kupon"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/istiridye-anahtarlik-10-adet-nisan-kina-nikah-soz-hediyelik-p-1055240435
hobi:hobi-cok-satanlar,99,99,-35,15.3,20.5,1041558244,279745,1041558244:279745,TİLİA DESİGN İncili İstiridye Anahtarlık Kına Nişan Söz Nikah Hatırası 10 Adet Özel Tasarım,TİLİA DESİGN,Tilia Design,89.99,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,3.8636363636363638,50,1,418,"[""Sepette %5 İndirim"",""20 TL Kupon"",""40 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/tilia-design/incili-istiridye-anahtarlik-kina-nisan-soz-nikah-hatirasi-10-adet-ozel-tasarim-p-1041558244
hobi:hobi-cok-satanlar,86,86,-34,11.7,24.1,1149431698,1196656,1149431698:1196656,"WORDAKS Yapay Beyaz Kumaş Gül Yaprağı, Romantik Dekor Hediye Süs Düğün Kına Söz Nişan Parti Süsleme 100 Adet",WORDAKS,ÖZ BURAK AKSESUAR,34.99,,-29.9,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.533333333333333,17,1,20,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wordaks/yapay-beyaz-kumas-gul-yapragi-romantik-dekor-hediye-sus-dugun-kina-soz-nisan-parti-susleme-100-adet-p-1149431698
hobi:hobi-malzemeleri,160,260,-33,11.2,18.8,1116865162,987453,1116865162:987453,Miona Doğum Gününe Özel Hediye Paketleme Ambalaj Kağıdı 35x50 cm(1 ADET),Miona,MİONA,20.9,,0,InStock,,,,,4.803921568627451,24,1,8,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/miona/dogum-gunune-ozel-hediye-paketleme-ambalaj-kagidi-35x50-cm-1-adet-p-1116865162?boutiqueId=61&merchantId=987453
hobi:hobi-cok-satanlar,65,65,-29,26.7,9.1,952235026,1117104,952235026:1117104,Ezupack 20'li 200Cc Kübik Prizma Mika Magnolya Kase Plastik Tatlı Sunum Kabı Dondurma Puding Meze Salata Cup,Ezupack,Ezupack,179.9,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.3683764306909705,1342,0,137,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ezupack/20-li-200cc-kubik-prizma-mika-magnolya-kase-plastik-tatli-sunum-kabi-dondurma-puding-meze-salata-cup-p-952235026
hobi:hobi-cok-satanlar,98,98,-28,16.1,19.8,799882457,134783,799882457:134783,"ZEYMERADE Kırmızı Gül Kurusu Yaprağı, Romantik Dekor Hediye Süs Düğün Kına Söz Nişan Parti Süsleme Gülü 100 Gr",ZEYMERADE,ZEYMERADE,49.99,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.372413793103449,62,0,12,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/zeymerade/kirmizi-gul-kurusu-yapragi-romantik-dekor-hediye-sus-dugun-kina-soz-nisan-parti-susleme-gulu-100-gr-p-799882457
hobi:hobi-malzemeleri,113,213,-27,9.6,20.4,1165106438,208750,1165106438:208750,ouzhanya hediyelik Ortancalı Kartlı Pleksi Magnet Nikah Hediyeliği Düğün Nişan Söz Hatıralığı 10 Adet,ouzhanya hediyelik,OMGTASARIM,279,,0,InStock,,,,,4.3,15,6,164,"[""Sepette %5 İndirim"",""620 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ouzhanya-hediyelik/ortancali-kartli-pleksi-magnet-nikah-hediyeligi-dugun-nisan-soz-hatiraligi-10-adet-p-1165106438?boutiqueId=61&merchantId=208750
hobi:hobi-cok-satanlar,89,89,-26,17.1,18.8,972928100,501457,972928100:501457,"BALON DİYARI 10 Adet Rose Gold, Beyaz ve Şeffaf Konfeti Balon Seti – Parti & Süsleme Balonları",BALON DİYARI,Balon Diyarı,49.99,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.056603773584905,83,0,37,"[""Kargo Bedava""]",1 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/balon-diyari/10-adet-rose-gold-beyaz-ve-seffaf-konfeti-balon-seti-parti-susleme-balonlari-p-972928100
hobi:hobi-cok-satanlar,49,49,-25,26.6,9.8,894853471,126620,894853471:126620,yükselen zeka İlk Pofidik Magnet Puzzle - Orman Hayvanları,yükselen zeka,YÜKSELEN ZEKA,316.24,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.632547169811321,1294,2,76,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yukselen-zeka/ilk-pofidik-magnet-puzzle-orman-hayvanlari-p-894853471
hobi:hobi-malzemeleri,47,147,-25,14.4,17.1,970115369,652222,970115369:652222,Emtory Home 10 Adet İnci Bileklik - Kına Hediyesi - Nişan Hediyesi - Bride Hediyesi - Lastiklidir.,Emtory Home,Emtory Gift,109.9,,0,InStock,,,,,4.54320987654321,63,0,229,"[""Sepette %5 İndirim"",""20 TL Kupon"",""89,99 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/emtory-home/10-adet-inci-bileklik-kina-hediyesi-nisan-hediyesi-bride-hediyesi-lastiklidir-p-970115369?boutiqueId=61&merchantId=652222
hobi:hobi-cok-satanlar,97,97,-24,30.1,5.7,803186802,781567,803186802:781567,SULED 10 Metre Bluetooth Telefon Kontrollü Smart Şerit Led Sese Duyarlı Kumandalı Led Işık,SULED,SULED TÜRKİYE,429,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.154044229021508,3580,1,4306,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/suled/10-metre-bluetooth-telefon-kontrollu-smart-serit-led-sese-duyarli-kumandali-led-isik-p-803186802
hobi:hobi-malzemeleri,68,168,-22,17,13,137892903,691816,137892903:691816,Genel Markalar Plastik Sızdırmaz Kap 1000 Gr Cc Kullan At Tek Kullanımlık Plastik Kapaklı Kase 10 Adet,Genel Markalar,UCR HOME,53,,0,InStock,,,,,4.233606557377049,131,0,26,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/plastik-sizdirmaz-kap-1000-gr-cc-kullan-at-tek-kullanimlik-plastik-kapakli-kase-10-adet-p-137892903?boutiqueId=61&merchantId=691816
hobi:hobi-cok-satanlar,94,94,-20,28.6,7.3,36683420,108049,36683420:108049,Parti Dolabı 2 Adet Balon Süsleme Standı 7li Çubuklu Ikili Set Ayaklı Stand,Parti Dolabı,Parti Dolabı,159,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.410391393911651,2311,-5,371,"[""Kargo Bedava""]",25 dakika 27 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/parti-dolabi/2-adet-balon-susleme-standi-7li-cubuklu-ikili-set-ayakli-stand-p-36683420
hobi:hobi-cok-satanlar,76,76,-17,21.7,14.1,313947774,118249,313947774:118249,Genel Markalar Küçük Ahşap Mini Mandal Fotoğraf Not Tutucu Mandal 10 Adet -,Genel Markalar,AHİ MAĞAZA,50.16,,102.3,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.005217391304348,317,0,36,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/kucuk-ahsap-mini-mandal-fotograf-not-tutucu-mandal-10-adet-p-313947774
hobi:hobi-cok-satanlar,84,84,-16,22.7,13.2,936618040,416102,936618040:416102,mihi hediyelik Kişiye Özel Davetiyeli İstiridye Anahtarlık - Söz Nişan Nikah Hediyelik - Özel Gün Hediyelik 10 Adet,mihi hediyelik,Emtory Home,73.6,,-26.4,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.1922365988909425,421,0,1675,"[""Sepette %5 İndirim"",""20 TL Kupon"",""40 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mihi-hediyelik/kisiye-ozel-davetiyeli-istiridye-anahtarlik-soz-nisan-nikah-hediyelik-ozel-gun-hediyelik-10-adet-p-936618040
hobi:hobi-cok-satanlar,75,75,-15,21.5,14.3,37317085,670140,37317085:670140,Südor Puzzle Yapıştırıcı 70ml,Südor,Pozitif E-Ticaret,35,,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.55614973262032,303,0,59,"[""10 TL Kupon"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/sudor/puzzle-yapistirici-70ml-p-37317085
hobi:hobi-cok-satanlar,90,90,-15,31.5,16.5,1155413088,346955,1155413088:346955,Dijital Nostal Kişiye Özel Cupcake Pasta Dekor Süslemesi 12 Adet Doğum Günü I Bride I Bekarlığa Veda I Etkinlik Süs,Dijital Nostal,Dijital Nostal,237,270,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4.492753623188406,161,1,169,"[""Trendyol Plus'a Özel"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/dijital-nostal/kisiye-ozel-cupcake-pasta-dekor-suslemesi-12-adet-dogum-gunu-i-bride-i-bekarliga-veda-i-etkinlik-sus-p-1155413088
hobi:hobi-cok-satanlar,95,95,-15,26.6,9.2,775206492,246399,775206492:246399,Demirhan 1 Adet Karışık Renk Yelpaze Taşınabilir Serinletici - Nostaljik,Demirhan,Koza Gift,32,,,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,3.907552620718118,1306,8,1253,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/demirhan/1-adet-karisik-renk-yelpaze-tasinabilir-serinletici-nostaljik-p-775206492
