rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kadin:genel-kadin,59,59,,81.5,37.7,473666425,2727,473666425:2727,DoReMi Desenli Daily Fit 7'li Günlük Rahat Kalıp Kadın Külot,DoReMi,Miorre,182.8,457,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,43,,13,"[""Sepette %60 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/doremi/desenli-daily-fit-7-li-gunluk-rahat-kalip-kadin-kulot-p-473666425?boutiqueId=61&merchantId=2727
kadin:kadin-bakim,45,165,0,75.2,17.3,3593648,2727,3593648:2727,Pierre Cardin Intimate Gel 255 ML - Genital Bölge Temizleme Jeli,Pierre Cardin,,98.4,246,0,InStock,,,,,4.6,78,0,,"[""Sepette %60 İndirim"",""Sepette %55 İndirim"",""Sepette %1 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/pierre-cardin/intimate-gel-255-ml-genital-bolge-temizleme-jeli-p-3593648?boutiqueId=61&merchantId=2727
kadin:genel-kadin,27,27,4,105.3,41.3,355160801,674296,355160801:674296,Mad Parfüm Mad A120 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,299.99,599.99,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4,421,6,244,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-a120-selective-50-ml-kadin-parfum-p-355160801?boutiqueId=61&merchantId=674296
kadin:kadin-bakim,32,152,4,81.4,15,48227667,156433,48227667:156433,KOLPED Koltuk Altı Pedi Ter Emici Yapraklar 42 Adet ( 3 Kutu),KOLPED,dryandsoft,159.39,272.16,-46.7,InStock,,,,,4.2,998,-1,140,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",13 saat 19 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/kolped/koltuk-alti-pedi-ter-emici-yapraklar-42-adet-3-kutu-p-48227667?boutiqueId=61&merchantId=156433
kadin:genel-kadin,5,5,0,169.1,72.5,354112846,674296,354112846:674296,Mad Parfüm Mad H105 Selective 100 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,549.99,899.99,0,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.4,5996,5,2191,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-h105-selective-100-ml-kadin-parfum-p-354112846?boutiqueId=61&merchantId=674296
kadin:genel-kadin,24,24,3,104.6,37.9,640129982,138065,640129982:138065,Bargello 171 KADIN PARFÜM EDP FLORAL 50 ml,Bargello,Bargello,370,600,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,1755,8,1020,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bargello/171-kadin-parfum-edp-floral-50-ml-p-640129982?boutiqueId=61&merchantId=138065
kadin:genel-kadin,12,12,0,151.5,69,354100348,674296,354100348:674296,Mad Parfüm Mad H105 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,379.99,599.99,0,InStock,"Son 3 günde 1,5B+ ürün satıldı!",3,1500,500,4.3,16751,1,10213,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-h105-selective-50-ml-kadin-parfum-p-354100348?boutiqueId=61&merchantId=674296
kadin:genel-kadin,17,17,1,97.7,,192288850,263314,192288850:263314,MİSTİRİK Porfy Model Inceltici Etkili Lazer Kesim Paçalı Iz Yapmaz Şort Korse Ten Renk,MİSTİRİK,Mistirik,389.99,599.99,0,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,,,0,,"[""Sepette %35 İndirim"",""Kargo Bedava""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mistirik/porfy-model-inceltici-etkili-lazer-kesim-pacali-iz-yapmaz-sort-korse-ten-renk-p-192288850?boutiqueId=61&merchantId=263314
kadin:genel-kadin,102,102,85,65,0,131157692,263314,131157692:263314,MİSTİRİK Mamey Model Örme Kumaş Toparlayıcı Çıtçıtlı Body Siyah Renk (ZIBIN)4,MİSTİRİK,Mistirik,409.49,629.99,0,InStock,,,,,4,,0,2508,"[""Sepette %35 İndirim"",""Kargo Bedava""]",13 saat 20 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mistirik/mamey-model-orme-kumas-toparlayici-citcitli-body-siyah-renk-zibin-4-p-131157692?boutiqueId=61&merchantId=263314
kadin:genel-kadin,119,119,-33,63,2,901869249,263314,901869249:263314,MİSTİRİK Porfy Model Inceltici Etkili Lazer Kesim Paçalı Iz Yapmaz Şort Korse Kahve Renk,MİSTİRİK,Mistirik,389.99,599.99,0,InStock,,,,,4,,0,724,"[""Sepette %35 İndirim"",""Kargo Bedava""]",13 saat 20 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mistirik/porfy-model-inceltici-etkili-lazer-kesim-pacali-iz-yapmaz-sort-korse-kahve-renk-p-901869249?boutiqueId=61&merchantId=263314
kadin:kadin-bakim,65,185,22,44.8,20.2,1071126940,1168206,1071126940:1168206,Orkid Ultra Normal (Boy 1) 24 Adet Süper Ekonomik Hijyenik Ped x3,Orkid,P&G Türkiye,304.9,469.08,0,InStock,,,,,4.3,16,1,4,"[""Sepette %35 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/orkid/ultra-normal-boy-1-24-adet-super-ekonomik-hijyenik-ped-x3-p-1071126940?boutiqueId=61&merchantId=1168206
kadin:genel-kadin,25,25,1,99.1,33.3,103702,1168206,103702:1168206,Gillette Venus Venüs Comfortglide Breeze Kadın Tıraş Bıçağı 2 Yedek Başlık,Gillette Venus,P&G Türkiye,399,570,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,7082,-18,2021,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/gillette-venus/venus-comfortglide-breeze-kadin-tiras-bicagi-2-yedek-baslik-p-103702?boutiqueId=61&merchantId=1168206
kadin:genel-kadin,36,36,4,66.2,36.8,932346879,352179,932346879:352179,POLOGRAND London Orijinal Unisex Ortopedik Sırt Destekli Geniş Hacimli Çok Gözlü Ayarlanabilir Askılı Laptop Bölmeli Astarlı İlkokul Ortaokul Lise Üniversite İçin Öğrenci Yetişkin Çocuk Genç Büyük Siyah Okul Çantası,POLOGRAND London,POLOGRAND London - SOHO - Tony York Bags,987.2,1387.2,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,427,2,161,"[""50 TL Kupon"",""Kargo Bedava"",""Süper Fırsat Ürünü""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pologrand-london/orijinal-unisex-ortopedik-sirt-destekli-genis-hacimli-cok-gozlu-ayarlanabilir-askili-laptop-bolmeli-astarli-ilkokul-ortaokul-lise-universite-icin-ogrenci-yetiskin-cocuk-genc-buyuk-siyah-okul-cantasi-p-932346879?boutiqueId=61&merchantId=352179
kadin:genel-kadin,10,10,-1,137.4,72.6,1057332988,1080836,1057332988:1080836,gloceans feel the glow Peptide Complex & Keratin Saç Dökülmesine Karşı Sağlıklı Saç Uzatan Onarıcı Besleyici Şampuan,gloceans feel the glow,GLOCEANS,356.92,475.9,0,InStock,"Son 3 günde 1,5B+ ürün satıldı!",3,1500,500,4.2,2654,4,1293,"[""Sepette %25 İndirim"",""Kargo Bedava""]",13 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/gloceans-feel-the-glow/peptide-complex-keratin-sac-dokulmesine-karsi-saglikli-sac-uzatan-onarici-besleyici-sampuan-p-1057332988?boutiqueId=61&merchantId=1080836
kadin:genel-kadin,62,62,9,55.9,28.3,1114873767,1188,1114873767:1188,Defacto Kadın Dikişsiz 7'li Patik Çorap H5641AXNS,Defacto,DeFacto,299.99,399.99,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,,0,6,[],Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/kadin-dikissiz-7-li-patik-corap-h5641axns-p-1114873767?boutiqueId=61&merchantId=1188
kadin:genel-kadin,63,63,-5,60.5,23.6,788955592,165724,788955592:165724,GRIMELANGE Basıl Kadın %100 Pamuk Bisiklet Yaka Oversize Fit Uzun Kollu Beyaz T-shirt,GRIMELANGE,GRIMELANGE,340.57,454.1,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4,,0,295,"[""Sepette %25 İndirim"",""Kargo Bedava""]",13 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/grimelange/basil-kadin-100-pamuk-bisiklet-yaka-oversize-fit-uzun-kollu-beyaz-t-shirt-p-788955592?boutiqueId=61&merchantId=165724
kadin:genel-kadin,105,105,8,45.1,9.9,1138329697,165724,1138329697:165724,GRIMELANGE CAPITANA Kadın Panço Yumuşak Ve Esnek Kumaşlı Omuz Dekolteli İnce Kumaşlı Siyah Bluz,GRIMELANGE,GRIMELANGE,449.96,599.95,-25,InStock,,,,,4,,0,88,"[""Sepette %25 İndirim"",""Kargo Bedava""]",13 saat 20 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/grimelange/capitana-kadin-panco-yumusak-ve-esnek-kumasli-omuz-dekolteli-ince-kumasli-siyah-bluz-p-1138329697?boutiqueId=61&merchantId=165724
kadin:genel-kadin,51,51,-27,52.9,29.7,903874990,191874,903874990:191874,Los Ojos 3 Adet Görünmez Lazer Kesim Boxer Külot Laser Cut Boyshort,Los Ojos,Los Ojos,669.5,874.5,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,440,2,144,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",13 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/los-ojos/3-adet-gorunmez-lazer-kesim-boxer-kulot-laser-cut-boyshort-p-903874990?boutiqueId=61&merchantId=191874
kadin:kadin-bakim,74,194,53,28.6,21.4,1104570255,1101924,1104570255:1101924,Natural Genital Koku Giderici Nioli Suyu İntim Bakım Toniği,Natural,Trust Natural,199.9,249.9,0,InStock,,,,,4.6,11,0,9,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",13 saat 18 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/natural/genital-koku-giderici-nioli-suyu-intim-bakim-tonigi-p-1104570255?boutiqueId=61&merchantId=1101924
kadin:genel-kadin,45,45,8,45.2,32.4,800173676,426475,800173676:426475,D'VERS Unisex Su Geçirmez Siyah Günlük Cepli Seyahat ve Okul Sırt Çantası,D'VERS,D'VERS,495.95,589.9,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,416,1,219,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/d-vers/unisex-su-gecirmez-siyah-gunluk-cepli-seyahat-ve-okul-sirt-cantasi-p-800173676?boutiqueId=61&merchantId=426475
kadin:genel-kadin,13,13,2,85.7,,750123244,829806,750123244:829806,ETHIQUET Lıllesol Kadın Fitilli Görünümlü Kalın Askılı Basic Beyaz Bluz Atlet,ETHIQUET,ETHIQUET,222.75,262.06,0,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,,,0,,"[""Sepette %15 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ethiquet/lillesol-kadin-fitilli-gorunumlu-kalin-askili-basic-beyaz-bluz-atlet-p-750123244?boutiqueId=61&merchantId=829806
kadin:genel-kadin,18,18,2,101.7,36.8,750123249,829806,750123249:829806,ETHIQUET Lıllesol Kadın Fitilli Görünümlü Kalın Askılı Basic Siyah Bluz Atlet,ETHIQUET,ETHIQUET,215.7,253.76,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,,0,745,"[""Sepette %15 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ethiquet/lillesol-kadin-fitilli-gorunumlu-kalin-askili-basic-siyah-bluz-atlet-p-750123249?boutiqueId=61&merchantId=829806
kadin:genel-kadin,77,77,54,39.9,19.7,31894749,332840,31894749:332840,"Bioblas Onarıcı Bakım Saç Dökülmesine Karşı Phytokeratin Şampuan 1.000 Ml - Keratin Bakım, Yıpranmış Saçlar",Bioblas,İkoncan,267.75,315,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,388,11,175,"[""Sepette %15 İndirim"",""Kargo Bedava""]",13 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/bioblas/onarici-bakim-sac-dokulmesine-karsi-phytokeratin-sampuan-1-000-ml-keratin-bakim-yipranmis-saclar-p-31894749?boutiqueId=61&merchantId=332840
kadin:kadin-bakim,17,137,1,73.3,34.2,1092693681,107812,1092693681:107812,Molped Hijyen Max Karma Paket 114 Adet,Molped,Hayat,382.49,449.99,0,InStock,,,,,4.6,33,0,11,"[""Sepette %15 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/molped/hijyen-max-karma-paket-114-adet-p-1092693681?boutiqueId=61&merchantId=107812
kadin:kadin-bakim,28,148,1,48.8,31.2,1092800015,107812,1092800015:107812,Molped Hijyen Max Normal Avantajlı Fırsat Paketi 100 Adet,Molped,Hayat,294.1,346,0,InStock,,,,,4.7,16,0,16,"[""Sepette %15 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/molped/hijyen-max-normal-avantajli-firsat-paketi-100-adet-p-1092800015?boutiqueId=61&merchantId=107812
kadin:kadin-bakim,29,149,-7,62.1,15.4,62298785,107812,62298785:107812,Molped Pure&Soft Normal Avantajlı Mega Fırsat Paketi 92 Adet,Molped,Hayat,255.85,301,0,InStock,,,,,4.8,1359,-1,126,"[""Sepette %15 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/molped/pure-soft-normal-avantajli-mega-firsat-paketi-92-adet-p-62298785?boutiqueId=61&merchantId=107812
kadin:kadin-bakim,39,159,10,27.6,24.9,1092800203,107812,1092800203:107812,Molped Hijyen Max Gece Avantajlı Fırsat Paketi 70 Adet,Molped,Hayat,304.3,358,0,InStock,,,,,4.6,20,0,21,"[""Sepette %15 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/molped/hijyen-max-gece-avantajli-firsat-paketi-70-adet-p-1092800203?boutiqueId=61&merchantId=107812
kadin:kadin-bakim,49,169,10,24.6,20.9,1092800053,107812,1092800053:107812,Molped Hijyen Max Uzun Avantajlı Fırsat Paketi 80 Adet,Molped,Hayat,289.85,341,0,InStock,,,,,4.3,15,0,5,"[""Sepette %15 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/molped/hijyen-max-uzun-avantajli-firsat-paketi-80-adet-p-1092800053?boutiqueId=61&merchantId=107812
kadin:kadin-bakim,58,178,14,21.2,23.8,1092799885,107812,1092799885:107812,Molped Hijyen Max Günlük Ped Avantajlı Fırsat Paketi 150 Adet,Molped,,333.2,392,0,InStock,,,,,4.5,5,0,,"[""Sepette %15 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/molped/hijyen-max-gunluk-ped-avantajli-firsat-paketi-150-adet-p-1092799885?boutiqueId=61&merchantId=107812
