rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kadin:genel-kadin,39,39,41,16.6,50.1,1176351971,920937,1176351971:920937,Penti Pop Up Lace Sütyen,Penti,MCE MASTER,712.5,,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.384615384615385,5,1,25,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/penti/pop-up-lace-sutyen-p-1176351971?boutiqueId=61&merchantId=920937
kadin:genel-kadin,51,51,35,13.9,45.2,1176338342,920937,1176338342:920937,Penti Ekru Pop Dantel Çiçekli Pedli Push Up Sütyen,Penti,MCE MASTER,712.5,,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.588235294117647,4,1,25,"[""Kargo Bedava"",""Sepette %30 İndirim"",""712,50 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/penti/ekru-pop-dantel-cicekli-pedli-push-up-sutyen-p-1176338342?boutiqueId=61&merchantId=920937
kadin:genel-kadin,85,85,82,30.9,15.5,811110897,1109788,811110897:1109788,Modakaşmir Neo Pamuk Şal Siyah Renk,Modakaşmir,EFSA SCARFF,275,280,7.8,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3625353249899055,1304,8,346,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/modakasmir/neo-pamuk-sal-siyah-renk-p-811110897?boutiqueId=61&merchantId=1109788
kadin:genel-kadin,94,94,69,28.1,16.5,1059190418,1305067,1059190418:1305067,"Imprime Sue EDP Kadın Parfüm 50ml | Çiçeksi & Pudralı | Şakayık, Limon, Gül, Müge, Manolya, Misk",Imprime,Vera Global E-Ticaret,699,,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.8488830486202366,984,4,149,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/imprime/sue-edp-kadin-parfum-50ml-ciceksi-pudrali-sakayik-limon-gul-muge-manolya-misk-p-1059190418?boutiqueId=61&merchantId=1305067
kadin:genel-kadin,104,104,118,19.3,25.3,1149835002,325926,1149835002:325926,BERAT KUTLAY beyaz lacivert spor ayakkabı,BERAT KUTLAY,Ayakkabı Hobim,739,,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.485294117647059,76,3,,"[""10 TL Kupon"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/berat-kutlay/beyaz-lacivert-spor-ayakkabi-p-1149835002?boutiqueId=61&merchantId=325926
kadin:genel-kadin,131,131,112,16,28.6,1150653163,104961,1150653163:104961,Bershka Uzun kollu reglan tişört,Bershka,BERSHKA,1190,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3538461538461535,29,3,,[],,refreshed,0,https://www.trendyol.com/bershka/uzun-kollu-reglan-tisort-p-1150653163?boutiqueId=61&merchantId=104961
kadin:genel-kadin,163,163,110,16.2,13.8,938076329,1289844,938076329:1289844,Getir Ali SB Dunk Low Kaydırmaz Taban Spor Ayakkabı DAR KALIP BİR BEDEN BÜYÜK ALINIZ,Getir Ali,Zenithstep,670.51,,,InStock,,,,,3.6625,104,15,194,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/getir-ali/sb-dunk-low-kaydirmaz-taban-spor-ayakkabi-dar-kalip-bir-beden-buyuk-aliniz-p-938076329?boutiqueId=61&merchantId=1289844
kadin:genel-kadin,169,169,,11.8,18.2,125351751,573623,125351751:573623,Vicco Anka Basic Unisex Bebek Gri Günlük Ayakkabı,Vicco,JoJo Shoes,987.1,,,InStock,,,,,4.548387096774194,29,,32,"[""Kargo Bedava""]",3 saat 18 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/vicco/anka-basic-unisex-bebek-gri-gunluk-ayakkabi-p-125351751?boutiqueId=61&merchantId=573623
kadin:genel-kadin,174,174,,11,19,934445803,1188,934445803:1188,Defacto Kadın 7'li Pamuklu Patik Çorap E2112AXNS,Defacto,DeFacto,399.99,,,InStock,,,,,4.7142857142857135,23,,3,"[""Sepette %50 İndirim"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/kadin-7-li-pamuklu-patik-corap-e2112axns-p-934445803?boutiqueId=61&merchantId=1188
kadin:genel-kadin,182,182,90,23.9,6.1,970041703,766891,970041703:766891,EBROU Kadın Acı Kahve Büyük Boy Omuz ve Tote Çanta - Geniş Hacim,EBROU,MENUSE ÇANTA,194,,0,InStock,,,,,3.59618820726623,976,18,372,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ebrou/kadin-aci-kahve-buyuk-boy-omuz-ve-tote-canta-genis-hacim-p-970041703?boutiqueId=61&merchantId=766891
kadin:genel-kadin,193,193,,7.2,22.8,1089072955,1188,1089072955:1188,Defacto Regular Fıt Bisiklet Yaka Hırka G8026AX26SP,Defacto,DeFacto,1199.99,,,InStock,,,,,4.647058823529412,7,,7,"[""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/defacto/regular-fit-bisiklet-yaka-hirka-g8026ax26sp-p-1089072955?boutiqueId=61&merchantId=1188
kadin:genel-kadin,205,205,-34,28.6,1.4,831432424,1279865,831432424:1279865,Embeauty Kolajen Ve Keratin Saç Dökülmesine Karşı Hızlı Sac Uzatan Dolgunlaştırıcı Besleyici Şampuan 2li Set,Embeauty,Viel Kozmetik,749,,0,InStock,,,,,4.219777375097075,3745,179,1585,"[""Kargo Bedava"",""Sepette %25 İndirim"",""Sepette %3 İndirim"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/embeauty/kolajen-ve-keratin-sac-dokulmesine-karsi-hizli-sac-uzatan-dolgunlastirici-besleyici-sampuan-2li-set-p-831432424?boutiqueId=61&merchantId=1279865
kadin:genel-kadin,211,211,,11.6,18.4,125351833,573623,125351833:573623,Vicco Anka Basic Kız Bebek Pudra Günlük Ayakkabı,Vicco,JoJo Shoes,890,,,InStock,,,,,4.4,27,,23,"[""Kargo Bedava""]",3 saat 17 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/vicco/anka-basic-kiz-bebek-pudra-gunluk-ayakkabi-p-125351833?boutiqueId=61&merchantId=573623
kadin:genel-kadin,218,218,,6.8,23.2,1156876058,1265338,1156876058:1265338,Penti Krema Pembesi Liny Balenli Sütyen,Penti,Ropa Bella,1299.99,,,InStock,,,,,4.555555555555555,6,,14,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/penti/krema-pembesi-liny-balenli-sutyen-p-1156876058?boutiqueId=61&merchantId=1265338
kadin:genel-kadin,234,234,-59,29.5,0.5,691063557,107109,691063557:107109,"Yves Rocher Güçlendirici Prebiyotik Şampuan-Saç Dökülmesine Karşı/Anti-Chute-SLS,SLES içermez,Vegan-300ml",Yves Rocher,Yves Rocher,699.9,,0,InStock,,,,,4.322083381992292,4905,-27,555,"[""Sepette %20 İndirim"",""Kargo Bedava"",""60 TL Kupon"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yves-rocher/guclendirici-prebiyotik-sampuan-sac-dokulmesine-karsi-anti-chute-sls-sles-icermez-vegan-300ml-p-691063557?boutiqueId=61&merchantId=107109
kadin:genel-kadin,243,243,,16.2,13.8,942784371,381713,942784371:381713,Nike Elemental Günlük Kullanıma Uygun Sırt Çantası Okul Çantası ( Kalemkutu Hediyeli ),Nike,Munesso,2010,,,InStock,,,,,4.435087719298245,106,,82,"[""Sepette %1 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/nike/elemental-gunluk-kullanima-uygun-sirt-cantasi-okul-cantasi-kalemkutu-hediyeli-p-942784371?boutiqueId=61&merchantId=381713
kadin:genel-kadin,259,259,-105,25.5,4.5,993932462,1234175,993932462:1234175,Biorgin Collagen+Biotin Anti Hairloss Şampuan 400ML,Biorgin,VESPERENS,656,,0,InStock,,,,,3.8799736928641892,1559,1,535,"[""Kargo Bedava""]",6 saat 15 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/biorgin/collagen-biotin-anti-hairloss-sampuan-400ml-p-993932462?boutiqueId=61&merchantId=1234175
kadin:genel-kadin,270,270,-94,18.1,11.9,1064324886,1108553,1064324886:1108553,DİSNEY Uyku Arkadașınız Mavi ve pembe GÖNDERİM YAPILMAKTADIR,DİSNEY,HOMELIA,675,,,InStock,,,,,3.7046153846153844,183,9,541,"[""Kargo Bedava"",""15 TL Kupon"",""1.687 TL Kupon"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/disney/uyku-arkada-iniz-mavi-ve-pembe-gonderim-yapilmaktadir-p-1064324886?boutiqueId=61&merchantId=1108553
kadin:genel-kadin,273,273,-34,27.4,2.6,669117524,655364,669117524:655364,Elidor Saç Bakım Şampuanı Güçlü ve Parlak 200 ml x4,Elidor,LAMİATOPTAN,799,,,InStock,,,,,4.280200694712466,2646,-1,384,"[""7 TL Kupon"",""Kargo Bedava""]",3 saat 15 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/elidor/sac-bakim-sampuani-guclu-ve-parlak-200-ml-x4-p-669117524?boutiqueId=61&merchantId=655364
