rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kadin:kadin-bakim,505,865,-403,19,11,939113538,143048,939113538:143048,Molped Supernight Hijyenik Ped Gece Avantajlı Mega Fırsat Paketi 60 Adet,Molped,Ambar Express,359.95,,,InStock,,,,,4.7,234,8,5,"[""Kargo Bedava"",""125,27 TL Kupon"",""15 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",42 dakika 54 saniye içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/molped/supernight-hijyenik-ped-gece-avantajli-mega-firsat-paketi-60-adet-p-939113538?boutiqueId=61&merchantId=143048
kadin:kadin-bakim,497,857,-388,21.9,8.1,798134089,150924,798134089:150924,Sleepy Natural Ultra Hassas Hijyenik Ped Mega Fırsat Paketi Normal 144 Adet,Sleepy,Düvenci Toptan,499,,,InStock,,,,,4.73237997957099,547,2,27,"[""Kargo Bedava""]",42 dakika 54 saniye içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/sleepy/natural-ultra-hassas-hijyenik-ped-mega-firsat-paketi-normal-144-adet-p-798134089?boutiqueId=61&merchantId=150924
kadin:kadin-bakim,639,999,-350,14,16,746133541,399971,746133541:399971,Sleepy Bio Natural Premium Plus Günlük Ped Uzun 12x32=384 Adet Ped,Sleepy,KimeNeLazim,999,,0,InStock,,,,,4.636363636363637,56,,15,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/sleepy/bio-natural-premium-plus-gunluk-ped-uzun-12x32-384-adet-ped-p-746133541?boutiqueId=61&merchantId=399971
kadin:kadin-bakim,515,875,-266,20.2,9.8,357483206,1168987,357483206:1168987,Genel Markalar Tıens Aırız Günlük Ped 1 Adet ( 30 Lu ),Genel Markalar,Tionis Doğal Ürünler,315,,,InStock,,,,,4.5781487101669205,332,,163,"[""Sepette %1 İndirim"",""Sepette %3 İndirim"",""Sepette %40 İndirim"",""574,83 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",42 dakika 52 saniye içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/genel-markalar/tiens-airiz-gunluk-ped-1-adet-30-lu-p-357483206?boutiqueId=61&merchantId=1168987
kadin:kadin-bakim,365,725,-265,10.6,19.4,1071121232,1168206,1071121232:1168206,Orkid Ultra Gece Extra (Boy 4) 16 Adet Süper Ekonomik Hijyenik Ped x2,Orkid,P&G Türkiye,366.5,,,InStock,,,,,4.543859649122807,20,0,4,"[""Sepette %40 İndirim"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/orkid/ultra-gece-extra-boy-4-16-adet-super-ekonomik-hijyenik-ped-x2-p-1071121232?boutiqueId=61&merchantId=1168206
kadin:genel-kadin,358,358,-262,23.6,6.4,893086977,1048445,893086977:1048445,CAONNES Kadın Siyah Büyük Beden Oversize Bol Kesim Esnek Rahat Kumaş Eşofman Altı,CAONNES,ŞAH MODA,257.41,,0,InStock,,,,,3.436688311688312,897,7,3455,"[""Sepette %1 İndirim""]",,refreshed,0,https://www.trendyol.com/caonnes/kadin-siyah-buyuk-beden-oversize-bol-kesim-esnek-rahat-kumas-esofman-alti-p-893086977?boutiqueId=61&merchantId=1048445
kadin:kadin-bakim,574,934,-238,51.5,18.5,1071128226,1168206,1071128226:1168206,Orkid Yaprak Günlük Ped Normal Süper Ekonomik Paket 100'lü X2,Orkid,,289.9,483.17,0,InStock,,,,,4.8,,,,"[""Sepette %40 İndirim""]",,listing_only,,https://www.trendyol.com/orkid/yaprak-gunluk-ped-normal-super-ekonomik-paket-100-lu-x2-p-1071128226?boutiqueId=61&merchantId=1168206
kadin:kadin-bakim,617,977,-235,12.3,17.7,49494143,505390,49494143:505390,Kotex Marka: 2 In 1 Regl + Günlük Mesane Pedi 22'li Kategori: Günlük Ped,Kotex,,280,,0,InStock,,,,,4.6,,,,[],,listing_only,,https://www.trendyol.com/kotex/marka-2-in-1-regl-gunluk-mesane-pedi-22-li-kategori-gunluk-ped-p-49494143?boutiqueId=61&merchantId=505390
kadin:kadin-bakim,306,666,-228,12,18,128354057,1055102,128354057:1055102,Lady Fit Ladyfit Pamuk Ped Mega Uzun 40 Ped,Lady Fit,YeniBazaar_,118.99,,,InStock,,,,,4.2,31,0,,"[""Sepette %40 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",42 dakika 56 saniye içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/lady-fit/ladyfit-pamuk-ped-mega-uzun-40-ped-p-128354057?boutiqueId=61&merchantId=1055102
kadin:kadin-bakim,586,946,-228,20.3,17.6,358548571,736295,358548571:736295,Farmasi Dr.c.tuna Intım Temizleme Mendili 20 Adet (3adet ),Farmasi,,174.99,190,-7.9,InStock,,,,,4.8,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/farmasi/dr-c-tuna-intim-temizleme-mendili-20-adet-3adet-p-358548571?boutiqueId=61&merchantId=736295
