rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kozmetik:kozmetik-vitrini,194,194,-151,35,53.3,1165573238,1158462,1165573238:1158462,NIVOSHE 75ML Diş Beyazlatıcı Jel Parlatıcı Jel 75 ML Teeth Whitening Gel 75ML,NIVOSHE,DEVACOS SAĞLIKLI YAŞAM ÜRÜNLERİ,424,,12.8,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.6,194,13,134,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/nivoshe/75ml-dis-beyazlatici-jel-parlatici-jel-75-ml-teeth-whitening-gel-75ml-p-1165573238?boutiqueId=61&merchantId=1158462
kozmetik:kozmetik-vitrini,195,195,-110,7.2,22.8,1147191711,104968,1147191711:104968,JEONJU Göz altı Torbalanma ve Morluk Karşıtı Pirinç Göz Altı Bakım Kremi,JEONJU,Happy Center,299.99,,6.5,InStock,,,,,4.3,7,4,6,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/jeonju/goz-alti-torbalanma-ve-morluk-karsiti-pirinc-goz-alti-bakim-kremi-p-1147191711?boutiqueId=61&merchantId=104968
kozmetik:kozmetik-vitrini,197,197,-105,22.8,7.2,338877323,1267712,338877323:1267712,Skin1004 Madagaskar Centella Hyalu-Cica Su Bazlı Güneş Kremi SPF 50+ PA++++ 50 ml,Skin1004,LumiSkin,749,,,InStock,,,,,4.6,700,3,701,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/skin1004/madagaskar-centella-hyalu-cica-su-bazli-gunes-kremi-spf-50-pa-50-ml-p-338877323?boutiqueId=61&merchantId=1267712
kozmetik:kozmetik-vitrini,192,192,-104,46.6,17.1,1138203586,743162,1138203586:743162,"WIWIFY Su Bazlı Günlük Nemlendirici Jel Krem 100 ML | Hyaluronic Acid, Prebiyotik, Squalene, Niacinamide",WIWIFY,Wiwify,419.9,519.9,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,810,5,54,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wiwify/su-bazli-gunluk-nemlendirici-jel-krem-100-ml-hyaluronic-acid-prebiyotik-squalene-niacinamide-p-1138203586?boutiqueId=61&merchantId=743162
kozmetik:kozmetik-vitrini,183,183,-103,41.5,46.8,797836542,755049,797836542:755049,Ravla Çörek Otu Yağı - 50 ml,Ravla,Ravla,443,,29.2,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.7,1274,2,618,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ravla/corek-otu-yagi-50-ml-p-797836542?boutiqueId=61&merchantId=755049
kozmetik:kozmetik-vitrini,143,143,-99,32.8,0,472903893,716097,472903893:716097,Baga Kırmızı Kil Maskesi,Baga,FORNAX,291.83,,47.4,InStock,,,,,4.1,12578,12578,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/baga/kirmizi-kil-maskesi-p-472903893?boutiqueId=61&merchantId=716097
kozmetik:kozmetik-vitrini,200,200,-97,0,,1184736289,1114398,1184736289:1114398,Lynch Cosmetics Diş Beyazlatıcı Jel - 30 ml,Lynch Cosmetics,Lynch Cosmetics,799,,0,InStock,,,,,,,0,7,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lynch-cosmetics/dis-beyazlatici-jel-30-ml-p-1184736289?boutiqueId=61&merchantId=1114398
kozmetik:kozmetik-vitrini,171,171,-92,21.3,8.7,4596100,237229,4596100:237229,Curaprox CS 5460 Ultra Soft Diş Fırçası,Curaprox,dermodies,537,,0.8,InStock,,,,,4.6,461,-7,360,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/curaprox/cs-5460-ultra-soft-dis-fircasi-p-4596100?boutiqueId=61&merchantId=237229
kozmetik:kozmetik-vitrini,177,177,-92,21.7,8.3,930364095,630280,930364095:630280,Batekso Leopar Desenli Makyaj Çantası - Büyük Boy,Batekso,Batekso,159.9,,0,InStock,,,,,4.8,513,2,26,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/batekso/leopar-desenli-makyaj-cantasi-buyuk-boy-p-930364095?boutiqueId=61&merchantId=630280
kozmetik:kozmetik-vitrini,193,193,-84,36.3,10.4,808535323,301311,808535323:301311,Bargello NO.122 KADIN 210 ml VÜCUT SPREYİ,Bargello,Bargello Parfüm Center,350,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.4,10426,11,1429,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bargello/no-122-kadin-210-ml-vucut-spreyi-p-808535323?boutiqueId=61&merchantId=301311
kozmetik:kozmetik-vitrini,123,123,-80,38.8,20.8,851615150,107302,851615150:107302,Sinoz Pink Touch Anında Ton Eşitleyici Leke Karşıtı SPF50+ Pembe Sıvı Yüz Güneş Kremi PA++++ 50ml,Sinoz,Sinoz Kozmetik,499,,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,6448,7,2433,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/sinoz/pink-touch-aninda-ton-esitleyici-leke-karsiti-spf50-pembe-sivi-yuz-gunes-kremi-pa-50ml-p-851615150?boutiqueId=61&merchantId=107302
kozmetik:kozmetik-vitrini,167,167,-80,63.7,0,249124486,107819,249124486:107819,NYX Professional Makeup Bare With Me Kapatıcı Serum 02 Light Concealer,NYX Professional Makeup,L'Oreal,1049.99,1499.99,0,InStock,,,,,4.6,,0,771,"[""Sepette %30 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/nyx-professional-makeup/bare-with-me-kapatici-serum-02-light-concealer-p-249124486?boutiqueId=61&merchantId=107819
kozmetik:kozmetik-vitrini,106,106,-75,31.7,27.5,954976526,1191663,954976526:1191663,"CALLİEL Görünmeyen, Şeffaf & Doğal Bitişli Nemlendirici Etkili 50 SPF Makyaj Bazı 80 Ml",CALLİEL,das Regular,409,,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,833,0,353,"[""15 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/calliel/gorunmeyen-seffaf-dogal-bitisli-nemlendirici-etkili-50-spf-makyaj-bazi-80-ml-p-954976526?boutiqueId=61&merchantId=1191663
