rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kozmetik:kozmetik-vitrini,86,86,,87.3,5,344400200,716097,344400200:716097,"Baga Boyun, Bel, Kas & Eklem Ağrıları Için Masaj Kremi",Baga,FORNAX,75,199,,InStock,,,,,4.7,1327,,310,"[""50 TL Kupon"",""40 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",2 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/baga/boyun-bel-kas-eklem-agrilari-icin-masaj-kremi-p-344400200?boutiqueId=61&merchantId=716097
kozmetik:kozmetik-vitrini,6,6,4,159.3,50,859148561,170399,859148561:170399,Bath & Body Works Into the Night Seyahat Boy Vücut Spreyi 75 mL,Bath & Body Works,BATH & BODY WORKS,379,949,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,724,0,109,"[""3 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""40 TL Kupon"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bath-body-works/into-the-night-seyahat-boy-vucut-spreyi-75-ml-p-859148561?boutiqueId=61&merchantId=170399
kozmetik:kozmetik-vitrini,55,55,,68.4,21.7,953801744,170399,953801744:170399,Bath & Body Works Warm Vanilla Sugar Seyahat Boy Vücut Spreyi 75 mL,Bath & Body Works,BATH & BODY WORKS,379,949,,InStock,,,,,4.1,10,,5,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""3 TL Kupon"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bath-body-works/warm-vanilla-sugar-seyahat-boy-vucut-spreyi-75-ml-p-953801744?boutiqueId=61&merchantId=170399
kozmetik:kozmetik-vitrini,111,111,2,78.3,26.4,1042376568,170399,1042376568:170399,Bath & Body Works In The Stars Seyahat Boy Vücut Spreyi 75 ml,Bath & Body Works,BATH & BODY WORKS,379,949,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.3,55,0,16,"[""3 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bath-body-works/in-the-stars-seyahat-boy-vucut-spreyi-75-ml-p-1042376568?boutiqueId=61&merchantId=170399
kozmetik:kozmetik-vitrini,67,67,1,97.8,21.4,776223857,856334,776223857:856334,ÖZDEN ÖZDOĞAN Gül Mayası Aydınlatıcı ve Gözenek Sıkılaştırıcı Tonik 200 ml.,ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,280,699.99,-6.7,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,4792,12,1200,"[""Sepette %60 İndirim"",""599,99 TL Kupon"",""699,99 TL Kupon"",""335,90 TL Kupon"",""299,99 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/gul-mayasi-aydinlatici-ve-gozenek-sikilastirici-tonik-200-ml-p-776223857?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,133,133,39,106.7,41.7,1152408015,856334,1152408015:856334,"ÖZDEN ÖZDOĞAN Güçlendirici, Besleyici Ve Onarıcı Saç Bakım Sütü Keratin & Biotin 200 ml",ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,240,599.99,-20,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.5,5758,11,1239,"[""Sepette %60 İndirim"",""Sepette %30 İndirim"",""349 TL Kupon"",""239,90 TL Kupon"",""549 TL Kupon"",""296,89 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/guclendirici-besleyici-ve-onarici-sac-bakim-sutu-keratin-biotin-200-ml-p-1152408015?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,134,134,,95.7,23.5,801441276,856334,801441276:856334,ÖZDEN ÖZDOĞAN Şampuan Zayıf Ve Yıpranmış Saçlar Için Hızlı Uzamaya Yardımcı Keratin&kolajen Içerikli,ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,200,499.99,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,2617,,531,"[""Sepette %60 İndirim"",""Sepette %2 İndirim"",""264,90 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/sampuan-zayif-ve-yipranmis-saclar-icin-hizli-uzamaya-yardimci-keratin-kolajen-icerikli-p-801441276?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,155,155,,80.2,9.8,924632286,856334,924632286:856334,"ÖZDEN ÖZDOĞAN Gül Suyu Ve Niacinamide Içerikli Gözenek Sıkılaştırıcı, Onarıcı Ve Nemlendirici Tonik Ped (40 ADET)",ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,240,599.99,,InStock,,,,,4.6,330,,83,"[""Sepette %60 İndirim"",""Sepette %20 İndirim"",""699,99 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/gul-suyu-ve-niacinamide-icerikli-gozenek-sikilastirici-onarici-ve-nemlendirici-tonik-ped-40-adet-p-924632286?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,156,156,,82.6,36.6,1149232006,856334,1149232006:856334,ÖZDEN ÖZDOĞAN Nemlendirici Besleyici Güçlendirici Propolis Şampuan - 400 ml,ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,240,599.99,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,60,,53,"[""Sepette %60 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/nemlendirici-besleyici-guclendirici-propolis-sampuan-400-ml-p-1149232006?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,165,165,-18,88.6,30.6,1157874477,856334,1157874477:856334,ÖZDEN ÖZDOĞAN Pink Touch Tone-Up SPF 50 PA+++ Ton Eşitleyici Güneş Kremi 50 ml,ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,280,699.99,1.8,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.4,340,20,143,"[""Sepette %60 İndirim"",""Sepette %50 İndirim"",""999 TL Kupon"",""20 TL Kupon"",""100 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/pink-touch-tone-up-spf-50-pa-ton-esitleyici-gunes-kremi-50-ml-p-1157874477?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,200,200,,82.6,21.9,1101010349,856334,1101010349:856334,"ÖZDEN ÖZDOĞAN Yüz Temizleme Jeli- Hassas Temizleme, Aydınlatıcı, Canlandırıcı - 340 ml",ÖZDEN ÖZDOĞAN,ÖZDEN ÖZDOĞAN,240,599.99,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.5,203,,48,"[""Sepette %60 İndirim"",""Sepette %25 İndirim"",""Sepette %20 İndirim"",""499 TL Kupon"",""Kargo Bedava""]",11 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ozden-ozdogan/yuz-temizleme-jeli-hassas-temizleme-aydinlatici-canlandirici-340-ml-p-1101010349?boutiqueId=61&merchantId=856334
kozmetik:kozmetik-vitrini,16,16,65,126.4,23.6,104655415,2727,104655415:2727,Pierre Cardin Porcelain Edition Compact Powder - Pudra -Beige-434,Pierre Cardin,Miorre,136.8,304,12.5,InStock,,,,,4.4,,0,223,"[""Sepette %55 İndirim"",""Sepette %45 İndirim"",""Sepette %1 İndirim"",""Kargo Bedava""]",58 dakika 48 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/pierre-cardin/porcelain-edition-compact-powder-pudra-beige-434-p-104655415?boutiqueId=61&merchantId=2727
