rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kozmetik:kozmetik-vitrini,13,13,-1,80.1,51.6,1174062985,830154,1174062985:830154,"CALLİEL Yoğun Nemlendirici, Yumuşatıcı, Işıltı Verici Tinted Dudak Bakım Maskesi",CALLİEL,Calliel,199.9,,-57.9,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.2,164,76,48,"[""Kargo Bedava""]",11 saat 58 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/calliel/yogun-nemlendirici-yumusatici-isilti-verici-tinted-dudak-bakim-maskesi-p-1174062985?boutiqueId=61&merchantId=830154
kozmetik:kozmetik-vitrini,183,183,-34,88.4,20.8,1116227440,224434,1116227440:224434,TGC Hair Care Cosmetic TGC Bitkisel Saç Bakım Yağı,TGC Hair Care Cosmetic,TGC Hair Care & Cosmetic,400,798,-49.9,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.8,5851,21,1139,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Sepette %25 İndirim"",""498,40 TL Kupon"",""100 TL Kupon"",""248,55 TL Kupon"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/tgc-hair-care-cosmetic/tgc-bitkisel-sac-bakim-yagi-p-1116227440?boutiqueId=61&merchantId=224434
kozmetik:kozmetik-vitrini,196,196,-35,48.8,20.8,847267079,830154,847267079:830154,CALLİEL Leke Karşıtı Gözenek Sıkılaştırıcı Glikolik Asit Tonik 200 Ml,CALLİEL,Calliel,199.9,222.17,-47.4,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.3,6474,9,5064,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",4 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/calliel/leke-karsiti-gozenek-sikilastirici-glikolik-asit-tonik-200-ml-p-847267079?boutiqueId=61&merchantId=830154
kozmetik:kozmetik-vitrini,37,37,26,52.8,48.2,6394920,135081,6394920:135081,Radix Saç Dökülmesine Karşı Serum Sprey (%5 Procapil) - Anti Hair Loss Lotion 60ML,Radix,JUVERA & RADIX - Juveco,279.9,,-33.7,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,3.9,5907,5,2961,"[""Kargo Bedava""]",2 saat 58 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/radix/sac-dokulmesine-karsi-serum-sprey-5-procapil-anti-hair-loss-lotion-60ml-p-6394920?boutiqueId=61&merchantId=135081
kozmetik:kozmetik-vitrini,116,116,65,52.5,23.7,1179507562,224434,1179507562:224434,TGC Hair Care Cosmetic TGC Eşek Sütlü Ballı Kabak Lifli Peeling Sabunu 120 gr,TGC Hair Care Cosmetic,TGC Hair Care & Cosmetic,225,329,-31.6,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.7,122,3,43,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %11 İndirim"",""8 TL Kupon"",""15 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/tgc-hair-care-cosmetic/tgc-esek-sutlu-balli-kabak-lifli-peeling-sabunu-120-gr-p-1179507562?boutiqueId=61&merchantId=224434
kozmetik:kozmetik-vitrini,15,15,2,109.4,68.1,945832144,830154,945832144:830154,"CALLİEL Aydınlatıcı, Leke Ve Siyah Nokta Karşıtı Kojik Asit Tonik 200 ml",CALLİEL,Calliel,276.34,,-30.7,InStock,Son 3 günde 5B+ ürün satıldı!,3,5000,1666.7,4.2,4759,115,5954,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",4 saat 58 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/calliel/aydinlatici-leke-ve-siyah-nokta-karsiti-kojik-asit-tonik-200-ml-p-945832144?boutiqueId=61&merchantId=830154
kozmetik:kozmetik-vitrini,136,136,-103,52.2,35.4,1185666558,224434,1185666558:224434,TGC Hair Care Cosmetic Yüz Maskesi Seti 3'lü Sheet Mask Niasinamid C Vitamini Hyalüronik Asit Aydınlatıcı Kağıt Maske,TGC Hair Care Cosmetic,TGC Hair Care & Cosmetic,250,349,-28.4,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.9,85,15,46,"[""Son 10 Günün En Düşük Fiyatı"",""259,29 TL Kupon"",""276,34 TL Kupon"",""666 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/tgc-hair-care-cosmetic/yuz-maskesi-seti-3-lu-sheet-mask-niasinamid-c-vitamini-hyaluronik-asit-aydinlatici-kagit-maske-p-1185666558?boutiqueId=61&merchantId=224434
kozmetik:kozmetik-vitrini,33,33,-1,71.9,15.6,839836821,357668,839836821:357668,MUJGAN Kararma Karşıtı Cilt Beyazlatıcı Krem,MUJGAN,Ucuz Al,74.99,115.32,-25.7,InStock,,,,,3.5,730,1,692,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %5 İndirim"",""Sepette %26 İndirim"",""20 TL Kupon"",""418,65 TL Kupon"",""199,80 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",1 saat 58 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/mujgan/kararma-karsiti-cilt-beyazlatici-krem-p-839836821?boutiqueId=61&merchantId=357668
kozmetik:kozmetik-vitrini,150,150,14,47.5,0.3,639368080,638780,639368080:638780,BEYZANA Yeşim %100 Doğal Taş Masaj Aleti Ve Kalp Gua Sha Yüz Bakım Taşı,BEYZANA,BEYZANA,113.7,138.37,-25.2,InStock,,,,,4.1,5110,-29,816,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",11 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/beyzana/yesim-100-dogal-tas-masaj-aleti-ve-kalp-gua-sha-yuz-bakim-tasi-p-639368080?boutiqueId=61&merchantId=638780
kozmetik:kozmetik-vitrini,4,4,186,122.6,33.4,249124486,107819,249124486:107819,NYX Professional Makeup Bare With Me Kapatıcı Serum 02 Light Concealer,NYX Professional Makeup,L'Oreal,824.99,945,-21.4,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.6,,0,770,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",11 saat 59 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/nyx-professional-makeup/bare-with-me-kapatici-serum-02-light-concealer-p-249124486?boutiqueId=61&merchantId=107819
