rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
kozmetik:kozmetik-vitrini,39,39,96,61.2,56.3,871006089,1220948,871006089:1220948,Embeauty Besleyici Keratin Kolajen Saç Bakım Sütü 200 ML,Embeauty,MED ECZ,560,,,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.338385618611209,4431,2,807,"[""Kargo Bedava""]",21 saat 53 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/embeauty/besleyici-keratin-kolajen-sac-bakim-sutu-200-ml-p-871006089?boutiqueId=61&merchantId=1220948
kozmetik:kozmetik-vitrini,54,54,-28,25.2,19.3,1039610423,556702,1039610423:556702,Cream Co. Likit Bronzer Glow Sculpt Horizon | Kontür Nötr Açık Kahve | Yüz Şekillendirici Nemlendirici Makyaj,Cream Co.,Cream Co.,199.9,,0,OutOfStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.2542857142857144,430,21,56,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/cream-co/likit-bronzer-glow-sculpt-horizon-kontur-notr-acik-kahve-yuz-sekillendirici-nemlendirici-makyaj-p-1039610423?boutiqueId=61&merchantId=556702
kozmetik:kozmetik-vitrini,82,82,23,22.3,7.7,809360800,294664,809360800:294664,Caudalie Vinoperfect Leke Karşıtı ve Işıltı Verici Serum 30 ml,Caudalie,Sağlık Candır,2365,,,InStock,,,,,4.224509803921569,615,0,800,"[""Kargo Bedava""]",21 saat 52 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/caudalie/vinoperfect-leke-karsiti-ve-isilti-verici-serum-30-ml-p-809360800?boutiqueId=61&merchantId=294664
kozmetik:kozmetik-vitrini,125,125,-58,58.7,47.6,1059190418,789349,1059190418:789349,"Imprime Sue EDP Kadın Parfüm 50ml | Çiçeksi & Pudralı | Şakayık, Limon, Gül, Müge, Manolya, Misk",Imprime,Millstone,574.01,700,-20.3,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,3.8595933926302415,1012,10,151,"[""20 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",21 saat 52 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/imprime/sue-edp-kadin-parfum-50ml-ciceksi-pudrali-sakayik-limon-gul-muge-manolya-misk-p-1059190418?boutiqueId=61&merchantId=789349
kozmetik:kozmetik-vitrini,134,134,-47,40.4,20.8,146981093,568895,146981093:568895,"The Purest Solutions Arındırıcı ve Aydınlatıcı Enzim Toz Peeling 55 gr (%0,6 Azelaic Acid & Malic Acid)",The Purest Solutions,Trendsin Evim,518.17,,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5869295708129165,10101,-38,6436,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/the-purest-solutions/arindirici-ve-aydinlatici-enzim-toz-peeling-55-gr-0-6-azelaic-acid-malic-acid-p-146981093?boutiqueId=61&merchantId=568895
kozmetik:kozmetik-vitrini,151,151,-70,55.6,7,305103,210033,305103:210033,Lancome La Nuit Tresor EDP 30 ml Kadın Parfüm 3605533315163,Lancome,LANCOME,2999,4450,0,InStock,,,,,4.263002944062807,751,2,73,"[""100 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/lancome/la-nuit-tresor-edp-30-ml-kadin-parfum-3605533315163-p-305103?boutiqueId=61&merchantId=210033
kozmetik:kozmetik-vitrini,157,157,6,40.7,20.8,780589053,1096785,780589053:1096785,Flormar Doğal Formüllü Kirpik Uzatıcı Maskara (Siyah) - Longer Than Ever Mascara - 001 Black - 8682536067119,Flormar,TWİN BEAUTY,556,,10.8,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.609328714163779,11021,2,501,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/flormar/dogal-formullu-kirpik-uzatici-maskara-siyah-longer-than-ever-mascara-001-black-8682536067119-p-780589053?boutiqueId=61&merchantId=1096785
kozmetik:kozmetik-vitrini,170,170,38,29.3,0.7,806014667,1173443,806014667:1173443,"KIKO Renkli Dudak Nemlendiricisi-Coloured Balm-08 Almond- Shea Yağı ve Besleyici A,E,C Vitaminleri",KIKO,GLOWO,745,,,InStock,,,,,4.5647073351444805,4633,2,226,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/kiko/renkli-dudak-nemlendiricisi-coloured-balm-08-almond-shea-yagi-ve-besleyici-a-e-c-vitaminleri-p-806014667?boutiqueId=61&merchantId=1173443
kozmetik:kozmetik-vitrini,202,202,,22.9,7.1,780009821,481835,780009821:481835,"ELENSILIA Aydınlatıcı, Sıkılaştırıcı Arbutin Serum Radiance Alpha Arbutin Ampoule 50ml",ELENSILIA,K-LAND,2190,,,InStock,,,,,4.621621621621622,732,,558,"[""Sepette %25 İndirim"",""150 TL Kupon"",""Kargo Bedava"",""Süper Fırsat Ürünü""]",,refreshed,0,https://www.trendyol.com/elensilia/aydinlatici-sikilastirici-arbutin-serum-radiance-alpha-arbutin-ampoule-50ml-p-780009821?boutiqueId=61&merchantId=481835
kozmetik:kozmetik-vitrini,209,209,-100,30.7,13.8,270114277,942892,270114277:942892,ALFAGİFT Elektrikli USB Tırnak Törpü Seti Manikür Pedikür Protez Tırnak Ayak Nasır Ve Tırnak Mantar Makinesi,ALFAGİFT,Saravita,349.99,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.7498713329902214,2103,5,833,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",,refreshed,0,https://www.trendyol.com/alfagift/elektrikli-usb-tirnak-torpu-seti-manikur-pedikur-protez-tirnak-ayak-nasir-ve-tirnak-mantar-makinesi-p-270114277?boutiqueId=61&merchantId=942892
