rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
mobilya:yatak-odasi,139,525,371,52.7,10.5,475803460,116883,475803460:116883,Ömür Avize 15 Cm Globe Cam,Ömür Avize,ömür avize,199,298,-33.2,InStock,,,,,4.7790262172284645,275,,174,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/omur-avize/15-cm-globe-cam-p-475803460?boutiqueId=61&merchantId=116883
mobilya:yatak-odasi,178,564,323,11.7,18.3,1180060629,225344,1180060629:225344,West Home Makinede Yıkanabilir Kaymaz Taban Leke Tutmaz Dijital Salon Mutfak Balkon Halısı ve Yolluk,West Home,West Home,21.1,,-27.5,InStock,,,,,3.9661016949152543,28,,36,"[""Sepette %35 İndirim"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/west-home/makinede-yikanabilir-kaymaz-taban-leke-tutmaz-dijital-salon-mutfak-balkon-halisi-ve-yolluk-p-1180060629?boutiqueId=61&merchantId=225344
mobilya:yatak-odasi,203,589,311,22,9.2,1080004086,247090,1080004086:247090,Dekorluna Venezia Krom Modern Sarkıt 3 Renk Işık Avize Salon Mutfak Oda Hol Ledli Avize,Dekorluna,DEKORLUNA,515.96,522,-48.4,InStock,,,,,4.297650130548303,399,,90,"[""40 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/dekorluna/venezia-krom-modern-sarkit-3-renk-isik-avize-salon-mutfak-oda-hol-ledli-avize-p-1080004086?boutiqueId=61&merchantId=247090
mobilya:yatak-odasi,291,677,276,15.2,14.8,1093652339,122805,1093652339:122805,Livset Home Yumuşak Bukleli Jut Bej Rengi Oeko-Tex Sertifikalı Oturma Odası Salon Mutfak Balkon Çocuk Halısı,Livset Home,Livset Home,444.47,,-19,InStock,,,,,4.643939393939394,78,,83,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/livset-home/yumusak-bukleli-jut-bej-rengi-oeko-tex-sertifikali-oturma-odasi-salon-mutfak-balkon-cocuk-halisi-p-1093652339?boutiqueId=61&merchantId=122805
mobilya:yatak-odasi,222,608,263,14.7,15.3,1142447873,132295,1142447873:132295,Luna Lighting Grate Model Gold Kaplama 3 RENK Salon Mutfak Oturma Odası Led Spor Modern Sarkıt Avize,Luna Lighting,Luna lighting,582.29,,-35.2,InStock,,,,,3.9411764705882355,67,,44,"[""40 TL Kupon"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/luna-lighting/grate-model-gold-kaplama-3-renk-salon-mutfak-oturma-odasi-led-spor-modern-sarkit-avize-p-1142447873?boutiqueId=61&merchantId=132295
mobilya:yatak-odasi,340,726,253,21,9,462240878,227391,462240878:227391,NT Handmade 12 Parça Çerçeve Görünümlü Atatürk Fotoğrafları Duvar Dekoru Salon Oturma Odası Ofis Için Tablo Seti,NT Handmade,MC Home Art,350,,0,InStock,,,,,4.632522407170295,425,,104,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/nt-handmade/12-parca-cerceve-gorunumlu-ataturk-fotograflari-duvar-dekoru-salon-oturma-odasi-ofis-icin-tablo-seti-p-462240878?boutiqueId=61&merchantId=227391
mobilya:yatak-odasi,429,815,246,24.3,5.7,902285564,247090,902285564:247090,Dekorluna Alvaro Gold Kaplama Modern Sarkıt 3 Renk Işık Power Led Avize Salon Mutfak Oda Hol Ledli Avize,Dekorluna,,841.04,,-43.6,InStock,,,,,4.4,,,,"[""40 TL Kupon"",""Kargo Bedava""]",,listing_only,,https://www.trendyol.com/dekorluna/alvaro-gold-kaplama-modern-sarkit-3-renk-isik-power-led-avize-salon-mutfak-oda-hol-ledli-avize-p-902285564?boutiqueId=61&merchantId=247090
mobilya:yatak-odasi,87,473,227,48,18.4,1170876617,132295,1170876617:132295,Luna Lighting Elda Gold Kaplama 3 Renk Kumandalı Metal Salon Mutfak Oturma Yatak Odası Modern Led Sarkıt Avize,Luna Lighting,Luna lighting,559.12,879,-36.4,InStock,,,,,4.04,27,,42,"[""40 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/luna-lighting/elda-gold-kaplama-3-renk-kumandali-metal-salon-mutfak-oturma-yatak-odasi-modern-led-sarkit-avize-p-1170876617?boutiqueId=61&merchantId=132295
mobilya:yatak-odasi,348,734,218,16.6,13.4,1102464456,352907,1102464456:352907,Eliz Home Eskitme Vintage Çiçekli Halı Bambu Polyester Oturma Odası Salon Mutfak Halısı 4,Eliz Home,,1082.74,,-22.7,InStock,,,,,4.8,,,,"[""75 TL Kupon"",""Kargo Bedava""]",,listing_only,,https://www.trendyol.com/eliz-home/eskitme-vintage-cicekli-hali-bambu-polyester-oturma-odasi-salon-mutfak-halisi-4-p-1102464456?boutiqueId=61&merchantId=352907
mobilya:yatak-odasi,386,772,208,22.3,7.7,763581641,167014,763581641:167014,melian Boncuk Kaymaz Taban Oda Salon Koridor Mutfak Halı Yolluk Antrasit,melian,,37,,-65.3,InStock,,,,,4.6,,,,[],,listing_only,,https://www.trendyol.com/melian/boncuk-kaymaz-taban-oda-salon-koridor-mutfak-hali-yolluk-antrasit-p-763581641?boutiqueId=61&merchantId=167014
