rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
otomobil-motosiklet:arac-ici-aksesuar,16,96,-5,120.6,38.7,1168040419,716051,1168040419:716051,Bayırtech YÜKSEK KALİTELİ Araba Bardak Altlığı Silikon Araç İçi Kaymaz Telefon Para Malzeme Tutucu SİYAH Renk 65 mm,Bayırtech,,50,140,0,InStock,,,,,4.4,10,0,15,"[""Sepette %2 İndirim"",""399,90 TL Kupon"",""122 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bayirtech/yuksek-kaliteli-araba-bardak-altligi-silikon-arac-ici-kaymaz-telefon-para-malzeme-tutucu-siyah-renk-65-mm-p-1168040419?boutiqueId=61&merchantId=716051
otomobil-motosiklet:arac-ici-aksesuar,14,94,26,113.2,36.8,1160915665,647224,1160915665:647224,Popidima Oto Araç Içi Bardak Tutucu Çok Fonksiyonlu Içecek Tutacağı/bardaklık Car Cup Holder,Popidima,Popidima,74.99,149.99,0,InStock,,,,,4.2,24,1,,"[""Sepette %50 İndirim"",""20 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",3 saat 26 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/popidima/oto-arac-ici-bardak-tutucu-cok-fonksiyonlu-icecek-tutacagi-bardaklik-car-cup-holder-p-1160915665?boutiqueId=61&merchantId=647224
otomobil-motosiklet:arac-ici-aksesuar,48,128,24,65,16,1075455506,1184264,1075455506:1184264,ozzen Araba Bardak Altlığı Silikon Araç İçi Kaymaz Mat Telefon Para Malzeme Tutucu SİYAH Renk 65 mm 2 ADET,ozzen,ozzen,74.99,149.99,0,InStock,,,,,4.2,73,0,23,"[""Kargo Bedava""]",2 saat 25 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/ozzen/araba-bardak-altligi-silikon-arac-ici-kaymaz-mat-telefon-para-malzeme-tutucu-siyah-renk-65-mm-2-adet-p-1075455506?boutiqueId=61&merchantId=1184264
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,18,18,4,115.4,33.8,793191916,,793191916:unknown,Hologram Kart ARABA ARKA CAM YAZILARI 1 adet HOLOGRAMLI YENİ MODEL,Hologram Kart,Etiket Dünyası,19,34.3,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,4.2,677,0,575,"[""Son 10 Günün En Düşük Fiyatı"",""20 TL Kupon"",""16 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",10 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/hologram-kart/araba-arka-cam-yazilari-1-adet-hologramli-yeni-model-p-793191916
otomobil-motosiklet:arac-ici-aksesuar,93,173,20,60.2,12.1,955185812,1010350,955185812:1010350,COZLEY Araba Bardak Altlığı Silikon Araç İçi Kaymaz Mat Telefon Para Malzeme Tutucu Siyah Renk 65 mm,COZLEY,COZLEY,74.99,129.99,0,InStock,,,,,4.3,171,0,76,"[""Süper Fırsat Ürünü"",""Kargo Bedava""]",10 saat 24 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/cozley/araba-bardak-altligi-silikon-arac-ici-kaymaz-mat-telefon-para-malzeme-tutucu-siyah-renk-65-mm-p-955185812?boutiqueId=61&merchantId=1010350
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,35,35,-11,65.6,36.5,1135506046,,1135506046:unknown,SWOORD Ferrari Logo Sarı (5 x 5 cm) İkili Etiket Sticker,SWOORD,Alapak,17.99,29.98,0,InStock,3 günde 250+ ürün satıldı!,3,250,83.3,3.6,26,0,35,"[""Sepette %40 İndirim"",""25 TL Kupon"",""Kargo Bedava""]",10 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/swoord/ferrari-logo-sari-5-x-5-cm-ikili-etiket-sticker-p-1135506046
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,49,49,12,56.4,13.6,824645766,,824645766:unknown,Protonust Bisiklet Scooter ATV Otomatik Tuşlu Motorsiklet Gidon Bağlantılı Telefon Tutucu,Protonust,AsfalAvm,199,299.98,-33.7,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,4,427,12,453,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",10 saat 27 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/protonust/bisiklet-scooter-atv-otomatik-tuslu-motorsiklet-gidon-baglantili-telefon-tutucu-p-824645766
otomobil-motosiklet:otomobil-motosiklet-cok-satanlar,44,44,1,54,14.8,876683092,,876683092:unknown,UZMANLAR Silikon Vantuzlu Telefon Tutacağı Vantuzlu 1 adet Cep Telefonu Tutucu,UZMANLAR,KOZAOUTLET,21,30,0,InStock,3 günde 100+ ürün satıldı!,3,100,33.3,3.7,619,1,995,"[""Sepette %1 İndirim"",""10 TL Kupon"",""Kargo Bedava""]",10 saat 28 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/uzmanlar/silikon-vantuzlu-telefon-tutacagi-vantuzlu-1-adet-cep-telefonu-tutucu-p-876683092
otomobil-motosiklet:arac-ici-aksesuar,45,125,20,50.6,6.9,310566813,346231,310566813:346231,mimtec Araç Içi Uzayan Ayarlanabilir Cam Ve Torpido Için Vantuzlu Telefon Tutucu,mimtec,Mimtec,299.9,399.9,0,InStock,,,,,4.1,1563,-1,605,"[""399,80 TL Kupon"",""349,90 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",10 saat 25 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/mimtec/arac-ici-uzayan-ayarlanabilir-cam-ve-torpido-icin-vantuzlu-telefon-tutucu-p-310566813?boutiqueId=61&merchantId=346231
otomobil-motosiklet:arac-ici-aksesuar,89,169,27,35.3,17.5,1161153204,108627,1161153204:108627,Dust Araba Bagaj Çantası – 60x30x30cm Oto Bagaj Organizer Kapaklı Cırtlı Düzenleyici,Dust,ByLizard,694,899,0.2,InStock,,,,,4.3,36,1,12,"[""30 TL Kupon"",""Kargo Bedava"",""Süper Fırsat Ürünü""]",24 dakika 43 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/dust/araba-bagaj-cantasi-60x30x30cm-oto-bagaj-organizer-kapakli-cirtli-duzenleyici-p-1161153204?boutiqueId=61&merchantId=108627
