rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
otomobil-motosiklet:arac-ici-aksesuar,654,754,-638,17.8,16.9,166205219,185368,166205219:185368,MeyZone Araç Içi Klima Izgara Hava Çıkış Dekoratif Şeritler Klima Şerit Sedefli Mavi,MeyZone,MeyZone,81.31,85.29,-16.9,InStock,,,,,4.2976190476190474,43,2,12,"[""Sepette %1 İndirim"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/meyzone/arac-ici-klima-izgara-hava-cikis-dekoratif-seritler-klima-serit-sedefli-mavi-p-166205219?boutiqueId=61&merchantId=185368
otomobil-motosiklet:arac-ici-aksesuar,658,758,-493,12.4,17.6,1088385000,867640,1088385000:867640,Modifiyum 4'Lü Oto Araç Arka Koltuk Kafalığı Askılık Koltuk Arkası Askı Siyah,Modifiyum,Modifiyum,125.1,,67,InStock,,,,,4.818181818181818,34,0,3,"[""Sepette %1 İndirim"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/modifiyum/4-lu-oto-arac-arka-koltuk-kafaligi-askilik-koltuk-arkasi-aski-siyah-p-1088385000?boutiqueId=61&merchantId=867640
otomobil-motosiklet:arac-ici-aksesuar,530,630,-383,14.6,15.4,764146017,825484,764146017:825484,nextbuy Araç İçi Şişme Yatak Çift Kişilik Seyahat Kamp Yatağı Universal Uzun Yol Uyku İçin Yastık Pompa Seti,nextbuy,indirimhanem,1499,,0,InStock,,,,,4.245901639344262,66,0,169,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",,refreshed,0,https://www.trendyol.com/nextbuy/arac-ici-sisme-yatak-cift-kisilik-seyahat-kamp-yatagi-universal-uzun-yol-uyku-icin-yastik-pompa-seti-p-764146017?boutiqueId=61&merchantId=825484
otomobil-motosiklet:arac-ici-aksesuar,507,607,-352,16.2,13.8,946917266,867640,946917266:867640,Modifiyum Oto Araç Içi Bardak Tutucu Katlanabilir Çok Fonksiyonlu Içecek Tutacağı/bardaklık Siyah,Modifiyum,Modifiyum,152.1,,12.3,InStock,,,,,3.5733333333333333,105,1,46,"[""Sepette %1 İndirim"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/modifiyum/oto-arac-ici-bardak-tutucu-katlanabilir-cok-fonksiyonlu-icecek-tutacagi-bardaklik-siyah-p-946917266?boutiqueId=61&merchantId=867640
otomobil-motosiklet:arac-ici-aksesuar,548,648,-269,4.8,25.2,1128545363,508301,1128545363:508301,MAC BLOOM OTO KÜLLÜK RENKLİ IŞILTILI RGB ARAÇ İÇİ LED KÜLLÜK 7 IŞIKLI BLACKPİNK HAYRANI BADGİRL KÜLLÜĞÜ,MAC BLOOM,Otosüslen,189.99,,18,InStock,,,,,5,3,,1,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/mac-bloom/oto-kulluk-renkli-isiltili-rgb-arac-ici-led-kulluk-7-isikli-blackpink-hayrani-badgirl-kullugu-p-1128545363?boutiqueId=61&merchantId=508301
otomobil-motosiklet:arac-ici-aksesuar,578,678,-232,22.5,17.9,1048405364,835774,1048405364:835774,Realpro 20.000PA YENİ NESİL ARAÇ İÇİ SÜPÜRGE RP-6697B PLUS YENİ MODEL EKRANLI,Realpro,GERÇEK DİGİTAL,1121.5,1252,0,InStock,,,,,4.508196721311475,32,,51,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/realpro/20-000pa-yeni-nesil-arac-ici-supurge-rp-6697b-plus-yeni-model-ekranli-p-1048405364?boutiqueId=61&merchantId=835774
otomobil-motosiklet:arac-ici-aksesuar,555,655,-228,17.2,12.8,42639313,923709,42639313:923709,Genel Markalar Oto Cep Telefonu Ve Malzeme Filesi Araç Içi Fileli Ceplik Malzeme Filesi,Genel Markalar,EG75,49,,0,InStock,,,,,2.988095238095238,141,1,33,"[""Sepette %1 İndirim"",""140,73 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/genel-markalar/oto-cep-telefonu-ve-malzeme-filesi-arac-ici-fileli-ceplik-malzeme-filesi-p-42639313?boutiqueId=61&merchantId=923709
otomobil-motosiklet:arac-ici-aksesuar,621,721,-209,10.6,19.4,861632453,620946,861632453:620946,Banxtre Araba Arka Camı için Türk Bayrağı Sticker Etiket 15CMx1OCM (1 Adet) 5 Yıl Solmama Garantili,Banxtre,Banxtre,34.9,,0,InStock,,,,,3.9444444444444446,20,,15,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/banxtre/araba-arka-cami-icin-turk-bayragi-sticker-etiket-15cmx1ocm-1-adet-5-yil-solmama-garantili-p-861632453?boutiqueId=61&merchantId=620946
otomobil-motosiklet:arac-ici-aksesuar,588,688,-197,13.7,16.3,831697489,886838,831697489:886838,MyBlack Araç İçi Park Numaratörü Aç Kapa Sistem Telefon Standlı Numaratör Fosforlu,MyBlack,MyBlack-,194.9,,0,InStock,,,,,4.350877192982456,50,,21,"[""Sepette %1 İndirim"",""94,43 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/myblack/arac-ici-park-numaratoru-ac-kapa-sistem-telefon-standli-numarator-fosforlu-p-831697489?boutiqueId=61&merchantId=886838
otomobil-motosiklet:arac-ici-aksesuar,592,692,-197,17.8,12.2,947213753,463891,947213753:463891,"Case collection Slikon Çift Taraflı Vantuz Telefon Tutucu Vakum,Cama Yapışan Çift Taraflı",Case collection,,140.47,,0,InStock,,,,,3.4,,,,"[""Sepette %1 İndirim""]",,listing_only,,https://www.trendyol.com/case-collection/slikon-cift-tarafli-vantuz-telefon-tutucu-vakum-cama-yapisan-cift-tarafli-p-947213753?boutiqueId=61&merchantId=463891
otomobil-motosiklet:arac-ici-aksesuar,676,776,-193,24,6,35010824,296969,35010824:296969,Fox Kadın Sürücülere Özel Pırlanta Model Geçmeli Direksiyon Kılıfı,Fox,Pera Garaj,715,,0,InStock,,,,,4.7,1009,0,2335,"[""Kargo Bedava""]",10 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,carried_forward,13,https://www.trendyol.com/fox/kadin-suruculere-ozel-pirlanta-model-gecmeli-direksiyon-kilifi-p-35010824?boutiqueId=61&merchantId=296969
otomobil-motosiklet:arac-ici-aksesuar,627,727,-185,17.7,12.3,800343960,386081,800343960:386081,Genel Markalar Alüminyum Çevirmeli Araç İçi Park Telefon Numaratörü Parkmatik (Siyah) Tüm Araçlara Uyumlu,Genel Markalar,,74.6,,0,InStock,,,,,4.2,,,,[],,listing_only,,https://www.trendyol.com/genel-markalar/aluminyum-cevirmeli-arac-ici-park-telefon-numaratoru-parkmatik-siyah-tum-araclara-uyumlu-p-800343960?boutiqueId=61&merchantId=386081
otomobil-motosiklet:arac-ici-aksesuar,653,753,-185,14.9,15.1,980984799,214762,980984799:214762,Özasya AVM SİYAH RENK Araç Koltuk Arası Düzenleyici,Özasya AVM,,199.9,,0,InStock,,,,,3.7,,,,[],,listing_only,,https://www.trendyol.com/ozasya-avm/siyah-renk-arac-koltuk-arasi-duzenleyici-p-980984799?boutiqueId=61&merchantId=214762
otomobil-motosiklet:arac-ici-aksesuar,512,612,-178,15.5,14.5,844402466,193500,844402466:193500,"WANNA PROTECT Silikon Vakumlu Telefon Tutucu, Cep Telefonu için Silikon Yapışkanlı, Kaymaz Vantuz Telefon Tutucu",WANNA PROTECT,,74,,0,InStock,,,,,4.1,,,,[],,listing_only,,https://www.trendyol.com/wanna-protect/silikon-vakumlu-telefon-tutucu-cep-telefonu-icin-silikon-yapiskanli-kaymaz-vantuz-telefon-tutucu-p-844402466?boutiqueId=61&merchantId=193500
otomobil-motosiklet:arac-ici-aksesuar,612,712,-178,2.4,27.6,1199640151,648411,1199640151:648411,3dbaydesign Renault Clio 5-5.5 Ekranlı Modeller İçin Magsafe Telefon Tutucu Soldan Çıkışlı,3dbaydesign,,949,,0,InStock,,,,,5,,,,"[""Kargo Bedava""]",,listing_only,,https://www.trendyol.com/3dbaydesign/renault-clio-5-5-5-ekranli-modeller-icin-magsafe-telefon-tutucu-soldan-cikisli-p-1199640151?boutiqueId=61&merchantId=648411
otomobil-motosiklet:arac-ici-aksesuar,540,640,-174,20.5,9.5,863647238,1273648,863647238:1273648,BEVATİR Salıncaklı Tavşan Araba Dikiz Ayna Süsü Hediye,BEVATİR,Sefen,149,,0,InStock,,,,,4.7,367,0,34,[],18 saat 50 dakika içinde sipariş verirsen en geç yarın kargoda!,carried_forward,4,https://www.trendyol.com/bevatir/salincakli-tavsan-araba-dikiz-ayna-susu-hediye-p-863647238?boutiqueId=61&merchantId=1273648
otomobil-motosiklet:arac-ici-aksesuar,582,682,-174,26.8,6.2,222231247,482943,222231247:482943,Kenpool Araba Ön Cam Güneş Şemsiyesi Araç Içi Cam Vantuzlu Katlanır Güneşlik Koruyucu Perde 130 Cm X 60 Cm,Kenpool,SMARTIZI,146.61,151.14,-13.6,InStock,,,,,4.1,942,0,293,"[""Sepette %3 İndirim"",""1 TL Kupon""]",Tahmini Teslim:,carried_forward,5,https://www.trendyol.com/kenpool/araba-on-cam-gunes-semsiyesi-arac-ici-cam-vantuzlu-katlanir-guneslik-koruyucu-perde-130-cm-x-60-cm-p-222231247?boutiqueId=61&merchantId=482943
otomobil-motosiklet:arac-ici-aksesuar,538,638,-173,20.4,9.6,118469362,702839,118469362:702839,Kuran Dünyası Araba Için Mini Kur’an Kadife Karma Renk Gonderılır,Kuran Dünyası,ÖZSELAMHEDİYELİK,44.9,,0,InStock,,,,,4.5,354,0,394,[],18 saat 51 dakika içinde sipariş verirsen yarın kargoda!,carried_forward,3,https://www.trendyol.com/kuran-dunyasi/araba-icin-mini-kur-an-kadife-karma-renk-gonderilir-p-118469362?boutiqueId=61&merchantId=702839
otomobil-motosiklet:arac-ici-aksesuar,531,631,-169,9.8,20.2,870498436,838726,870498436:838726,MAROKEN Araç Numaratörü Araba Park Telefon Numarası Tüm Araçlara Uyumlu Numaratik,MAROKEN,B&M MARKET,65.56,,0,InStock,,,,,4.2,16,0,6,[],22 dakika 51 saniye içinde sipariş verirsen en geç bugün kargoda!,carried_forward,25,https://www.trendyol.com/maroken/arac-numaratoru-araba-park-telefon-numarasi-tum-araclara-uyumlu-numaratik-p-870498436?boutiqueId=61&merchantId=838726
otomobil-motosiklet:arac-ici-aksesuar,626,726,-163,26.8,13.2,881889424,761434,881889424:761434,"Polham Araç İçi Geçici Park için Telefon Numaratörü, Forforlu Açılıp Kapanabilen Numaratör",Polham,,303.98,337.76,0,InStock,,,,,4.6,,,,[],,listing_only,,https://www.trendyol.com/polham/arac-ici-gecici-park-icin-telefon-numaratoru-forforlu-acilip-kapanabilen-numarator-p-881889424?boutiqueId=61&merchantId=761434
