rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
otomobil-motosiklet:oto-bakim-temizlik,47,823,1,52.7,,934781923,340740,934781923:340740,EVİMA (2 ADET) Mikrofiber Peluş Kalın Çift Taraflı Araç Kurulama Havlusu 40×40 Ölçü,EVİMA,,141.82,299.99,-44.2,InStock,,,,,,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/evima/2-adet-mikrofiber-pelus-kalin-cift-tarafli-arac-kurulama-havlusu-40-40-olcu-p-934781923?boutiqueId=61&merchantId=340740
otomobil-motosiklet:arac-ici-aksesuar,330,430,81,53,15,1053767772,1175514,1053767772:1175514,Mavera Stickers The White Edition (RDBLL) (1 Adet) Gri Sticker Motor-Araba-Kask İçin,Mavera Stickers,,117.83,189.99,-41.1,InStock,,,,,4.5,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/mavera-stickers/the-white-edition-rdbll-1-adet-gri-sticker-motor-araba-kask-icin-p-1053767772?boutiqueId=61&merchantId=1175514
otomobil-motosiklet:arac-ici-aksesuar,412,512,236,15,20,1138788860,1175514,1138788860:1175514,Mavera Stickers PCX İçin Tam Far Filmi Mor (2021-2024) Sticker Etiket,Mavera Stickers,,149.72,157.55,-40.1,InStock,,,,,4.3,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/mavera-stickers/pcx-icin-tam-far-filmi-mor-2021-2024-sticker-etiket-p-1138788860?boutiqueId=61&merchantId=1175514
otomobil-motosiklet:arac-ici-aksesuar,570,670,79,21.5,16,1076547265,1175514,1076547265:1175514,Mavera Stickers The Black Edition (RDBLL) (1 Adet) Gri Sticker Motor-Araba-Kask İçin,Mavera Stickers,,116.95,126.39,-38.4,InStock,,,,,4.3,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/mavera-stickers/the-black-edition-rdbll-1-adet-gri-sticker-motor-araba-kask-icin-p-1076547265?boutiqueId=61&merchantId=1175514
otomobil-motosiklet:oto-bakim-temizlik,44,820,5,35.5,,1153486651,209512,1153486651:209512,ROBEVE Bear Force Premium Araç Kurulama Havlusu 50x80 cm 1400 GSM Çift Taraflı Mikrofiber Oto Kurulama Bezi Dikişsiz Kenar Burgulu İlmek Yapılı Yüksek Su Emici Profesyonel Araç Bakım Havlusu,ROBEVE,,645.41,999.9,-35.5,InStock,,,,,,,,,"[""Trendyol Plus'a Özel""]",,listing_only,,https://www.trendyol.com/robeve/bear-force-premium-arac-kurulama-havlusu-50x80-cm-1400-gsm-cift-tarafli-mikrofiber-oto-kurulama-bezi-dikissiz-kenar-burgulu-ilmek-yapili-yuksek-su-emici-profesyonel-arac-bakim-havlusu-p-1153486651?boutiqueId=61&merchantId=209512
otomobil-motosiklet:arac-ici-aksesuar,408,508,102,7.2,22.8,1177477925,1222776,1177477925:1222776,"M.Y. TASO 2 LİSET Araç İçi Detay Temizlik Fırçası Seti 2'li - Yumuşak Tüylü Kokpit, Havalandırma, Panel Temizleme Fırçası",M.Y. TASO 2,,84.91,,-34.6,InStock,,,,,4.9,,,,[],,listing_only,,https://www.trendyol.com/m-y-taso/2-liset-arac-ici-detay-temizlik-fircasi-seti-2-li-yumusak-tuylu-kokpit-havalandirma-panel-temizleme-fircasi-p-1177477925?boutiqueId=61&merchantId=1222776
otomobil-motosiklet:oto-bakim-temizlik,186,962,-22,14,16,1016023510,318158,1016023510:318158,Single Yumuşak Tüylü Mini Detay Fırçası,Single,,49,,-32.6,InStock,,,,,4.3,,,,[],,listing_only,,https://www.trendyol.com/single/yumusak-tuylu-mini-detay-fircasi-p-1016023510?boutiqueId=61&merchantId=318158
otomobil-motosiklet:arac-ici-aksesuar,174,274,53,29.1,17.2,1128864832,673550,1128864832:673550,Bundeba 2 Adet Peluş Pembe Emniyet Kemeri Kılıfı - Emniyet Kemeri Aksesuarı - Kemer Pedi Araba Aksesuarı,Bundeba,Bundeba,196.91,235.31,-31.9,InStock,,,,,4.515789473684211,39,0,4,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/bundeba/2-adet-pelus-pembe-emniyet-kemeri-kilifi-emniyet-kemeri-aksesuari-kemer-pedi-araba-aksesuari-p-1128864832?boutiqueId=61&merchantId=673550
otomobil-motosiklet:arac-ici-aksesuar,357,457,301,5.6,24.4,1090906083,620946,1090906083:620946,Banxtre Motosiklet için Beyaz Renk Komik Yazı Dont Stop Sticker Etiket (15CMX2CM),Banxtre,Banxtre,34.9,,-30.1,InStock,,,,,4.8,4,,12,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/banxtre/motosiklet-icin-beyaz-renk-komik-yazi-dont-stop-sticker-etiket-15cmx2cm-p-1090906083?boutiqueId=61&merchantId=620946
otomobil-motosiklet:arac-ici-aksesuar,284,384,33,16.6,13.4,992577224,445417,992577224:445417,sudora Romantik Çift Araba Aksesuarı – I Love You Yazılı Dekoratif Figür - 5 cm,sudora,,177.22,,-29.1,InStock,,,,,4.8,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/sudora/romantik-cift-araba-aksesuari-i-love-you-yazili-dekoratif-figur-5-cm-p-992577224?boutiqueId=61&merchantId=445417
