rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
supermarket:birlesik-supermarket,149,149,42,35.6,24.6,836055121,301259,836055121:301259,Elvan Tanışma Paketi,Elvan,ELVAN MAĞAZACILIK,233.18,235.54,-61.4,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.1753581661891115,1891,13,306,"[""Sepette %5 İndirim"",""Kargo Bedava""]",22 dakika 59 saniye içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/elvan/tanisma-paketi-p-836055121?boutiqueId=61&merchantId=301259
supermarket:birlesik-supermarket,252,252,-143,26.9,17.6,797591603,380979,797591603:380979,AYGÖREN HOME Çok Amaçlı Multi İnce Temizlik Fırçası Derz Arası Banyo Mutfak Lavabo Detay Temizleme Fırçası 1 ADET,AYGÖREN HOME,Mutlu Pastacılık ve Malzemeleri,19.92,,-59,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.4318181818181825,701,7,18,"[""Kargo Bedava""]",12 saat 20 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/aygoren-home/cok-amacli-multi-ince-temizlik-fircasi-derz-arasi-banyo-mutfak-lavabo-detay-temizleme-fircasi-1-adet-p-797591603?boutiqueId=61&merchantId=380979
supermarket:birlesik-supermarket,164,164,0,29.3,29.9,867108754,781333,867108754:781333,Rivance Dökülme Karşıtı Ve Hızlı Saç Uzamasına Yardımcı Canlandırıcı %100 Doğal Saç Toniği,Rivance,Rivance,176.72,,-55.8,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.095588235294118,411,0,239,"[""Kargo Bedava""]",5 saat 22 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/rivance/dokulme-karsiti-ve-hizli-sac-uzamasina-yardimci-canlandirici-100-dogal-sac-tonigi-p-867108754?boutiqueId=61&merchantId=781333
supermarket:birlesik-supermarket,106,106,-26,33,27.2,843306899,791156,843306899:791156,"Ceelini El ve Ayak Tırnak Bakım Serumu Çay Ağacı , Salisik Asit Özlü Serum 30 ml",Ceelini,The Ceel,239.08,241.49,-52.2,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.37525354969574,896,14,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/ceelini/el-ve-ayak-tirnak-bakim-serumu-cay-agaci-salisik-asit-ozlu-serum-30-ml-p-843306899?boutiqueId=61&merchantId=791156
supermarket:birlesik-supermarket,160,160,-39,38.3,20.9,684477925,106852,684477925:106852,Siveno Sivrisinek ve Kene Kovucu Sprey Losyon Bitkisel Tüm Vücut İçin Seyahat Tatil Boy 50 ml,Siveno,Siveno,199,,-43.1,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.384189850076164,5540,9,2110,"[""Kargo Bedava""]",12 saat 22 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/siveno/sivrisinek-ve-kene-kovucu-sprey-losyon-bitkisel-tum-vucut-icin-seyahat-tatil-boy-50-ml-p-684477925?boutiqueId=61&merchantId=106852
supermarket:birlesik-supermarket,178,178,74,23.5,35.7,1056054829,1168206,1056054829:1168206,Pantene Onarıcı ve Koruyucu Saç Bakım Kremi 3 adet 500 ml,Pantene,P&G Türkiye,410.67,,-42.4,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.751111111111111,77,0,24,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/pantene/onarici-ve-koruyucu-sac-bakim-kremi-3-adet-500-ml-p-1056054829?boutiqueId=61&merchantId=1168206
supermarket:birlesik-supermarket,110,110,-42,45.1,20.8,780240241,276127,780240241:276127,Clinikid Rahatlatıcı Masaj Yağı 60 ml,Clinikid,İnova İnteraktif,319.54,342.45,-40.7,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.017643480024336,5683,6,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/clinikid/rahatlatici-masaj-yagi-60-ml-p-780240241?boutiqueId=61&merchantId=276127
supermarket:birlesik-supermarket,136,136,-59,35.2,24,802755755,128133,802755755:128133,Servet Servet Alâ Türk Kahvesi 100 gr 3'lü Paket,Servet,Servet Fethiye,345.51,,-37.6,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.433715220949264,2258,5,302,"[""Sepette %1 İndirim"",""20 TL Kupon"",""250,89 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/servet/servet-ala-turk-kahvesi-100-gr-3-lu-paket-p-802755755?boutiqueId=61&merchantId=128133
supermarket:birlesik-supermarket,80,80,2,49.2,41.7,645690728,812252,645690728:812252,"Collagen Forte Platinum Omega-3 Balık Yağı 90 X 1000mg Softgel, Hidrolize Kolajen & C Vitamini",Collagen Forte Platinum,Collagen Forte,375.6,379.39,-37.3,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.523741713724527,8625,-5,,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Sepette %20 İndirim"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/collagen-forte-platinum/omega-3-balik-yagi-90-x-1000mg-softgel-hidrolize-kolajen-c-vitamini-p-645690728?boutiqueId=61&merchantId=812252
supermarket:birlesik-supermarket,113,113,-18,39.3,28.7,250833606,419340,250833606:419340,SİLVER HOME Mikrofiber 5'li 40x50cm Klasik Cam Bezi,SİLVER HOME,silverhome,181.27,198.69,-37.3,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.57200647249191,583,3,,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %2 İndirim"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/silver-home/mikrofiber-5-li-40x50cm-klasik-cam-bezi-p-250833606?boutiqueId=61&merchantId=419340
supermarket:birlesik-supermarket,246,246,-66,14.4,30.2,974590513,380979,974590513:380979,AYGÖREN HOME 8 Paket 64 Yaprak Mini Islak Mendil Taşınabilir Çanta Boy Cep Tipi Islak Mendil,AYGÖREN HOME,Mutlu Pastacılık ve Malzemeleri,47.52,,-36.2,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.105263157894737,18,1,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/aygoren-home/8-paket-64-yaprak-mini-islak-mendil-tasinabilir-canta-boy-cep-tipi-islak-mendil-p-974590513?boutiqueId=61&merchantId=380979
