rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
supermarket:birim-100100,22,838,-14,159.7,20.2,1032335201,1126176,1032335201:1126176,"Petiola Tüy Dökülmesini Önleyici ve Tüy Sağlığını Destekleyici Kediler için Balık Yağı Omega 3 ve 6, 200 ml",Petiola,Petiola,1,997,-99.9,InStock,,,,,4.5,951,0,238,"[""Kargo Bedava""]",Tahmini Teslim:,carried_forward,2,https://www.trendyol.com/petiola/tuy-dokulmesini-onleyici-ve-tuy-sagligini-destekleyici-kediler-icin-balik-yagi-omega-3-ve-6-200-ml-p-1032335201?boutiqueId=61&merchantId=1126176
supermarket:birim-100100,144,960,-14,121.6,8.3,1051477821,1126176,1051477821:1126176,"Petiola Sindirim Düzenleyici, Tüy Yumağı Ve Kusma Önleyici Multivitamin Kedi Malt Macun 100 gr",Petiola,,1,897,0,InStock,,,,,4.7,,,,"[""Kargo Bedava""]",,listing_only,,https://www.trendyol.com/petiola/sindirim-duzenleyici-tuy-yumagi-ve-kusma-onleyici-multivitamin-kedi-malt-macun-100-gr-p-1051477821?boutiqueId=61&merchantId=1126176
supermarket:kategori-89,93,557,-51,128.8,1,662862987,568095,662862987:568095,STARTWHITE Büyük Boy Beyazlatıcı Diş Macunu 128 gr,STARTWHITE,,1,519,-99.7,InStock,,,,,4.2,,,,"[""Kargo Bedava""]",,listing_only,,https://www.trendyol.com/startwhite/buyuk-boy-beyazlatici-dis-macunu-128-gr-p-662862987?boutiqueId=61&merchantId=568095
supermarket:birim-100100,168,984,-23,127.7,2.1,778741422,676374,778741422:676374,"patiografya Tüy Dökülme Engelleyici, Tüy Dökümünü Azaltan, Besleyen Tüy Sağlığı Damlası Kedi Tüy Döküm Önleyici 50 ml",patiografya,Patiografya,1,599,-99.8,InStock,,,,,4.5,3059,0,1552,"[""Kargo Bedava""]",Tahmini Teslim:,carried_forward,2,https://www.trendyol.com/patiografya/tuy-dokulme-engelleyici-tuy-dokumunu-azaltan-besleyen-tuy-sagligi-damlasi-kedi-tuy-dokum-onleyici-50-ml-p-778741422?boutiqueId=61&merchantId=676374
supermarket:birlesik-supermarket,316,316,,122.6,36.3,1157740936,473489,1157740936:473489,Sensodyne Promine 0-6 Yaş Çocuk Diş Macunu 50ml - Çilek Aromalı 50ml + Mini Boy Hediye! (15ml),Sensodyne,,1,347.69,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.5,,,,[],,listing_only,,https://www.trendyol.com/sensodyne/promine-0-6-yas-cocuk-dis-macunu-50ml-cilek-aromali-50ml-mini-boy-hediye-15ml-p-1157740936?boutiqueId=61&merchantId=473489
supermarket:birlesik-supermarket,5,5,-1,205.1,72.5,974364895,756368,974364895:756368,MOMORDİCA Coconut Mix - 250 ml,MOMORDİCA,Momordica,199,699,,InStock,Son 3 günde 5B+ ürün satıldı!,3,5000,1666.7,3.7330597699908212,15712,34,8008,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/momordica/coconut-mix-250-ml-p-974364895?boutiqueId=61&merchantId=756368
supermarket:birlesik-supermarket,23,23,-3,156.6,72.4,1174485891,756368,1174485891:756368,MOMORDİCA Karnıyarık Otu Mix - 250ml,MOMORDİCA,Momordica,199,699,-70.1,InStock,Son 3 günde 2B+ ürün satıldı!,3,2000,666.7,4.15,430,8,264,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Sepette %30 İndirim"",""229,90 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",22 saat 53 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/momordica/karniyarik-otu-mix-250ml-p-1174485891?boutiqueId=61&merchantId=756368
supermarket:birlesik-supermarket,48,48,-7,132.6,51,750099572,756368,750099572:756368,MOMORDİCA DetoxMix - 250 ml,MOMORDİCA,Momordica,199,699,,InStock,"Son 3 günde 1,5B+ ürün satıldı!",3,1500,500,4.256601459100007,32458,-17,10000,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/momordica/detoxmix-250-ml-p-750099572?boutiqueId=61&merchantId=756368
supermarket:birlesik-supermarket,331,331,,90.9,24.7,1149859684,679772,1149859684:679772,"Erbatab Sitikolin – L-Tirozin, Fosfatidilserin, Ginkgo Biloba Ekstraktı ve B6 Vitamini İçeren Takviyesi",Erbatab,,434.42,1498,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.4,,,,"[""Sepette %71 İndirim"",""Kargo Bedava""]",,listing_only,,https://www.trendyol.com/erbatab/sitikolin-l-tirozin-fosfatidilserin-ginkgo-biloba-ekstrakti-ve-b6-vitamini-iceren-takviyesi-p-1149859684?boutiqueId=61&merchantId=679772
supermarket:birlesik-supermarket,434,434,,104.3,11.3,752722612,679772,752722612:679772,Erbatab Metilkobalamin B12 Sprey 10 ml,Erbatab,,335.82,1158,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.7,,,,"[""Sepette %71 İndirim""]",,listing_only,,https://www.trendyol.com/erbatab/metilkobalamin-b12-sprey-10-ml-p-752722612?boutiqueId=61&merchantId=679772
supermarket:birlesik-supermarket,1,1,0,203.7,79,1120997705,123388,1120997705:123388,Zühre Ana Kekre Termojenik Mix 250 Ml,Zühre Ana,Zühre Ana,199.9,669.9,0,InStock,Son 3 günde 10B+ ürün satıldı!,3,10000,3333.3,3.9683421271868924,1534,13,1133,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava""]",22 saat 53 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/zuhre-ana/kekre-termojenik-mix-250-ml-p-1120997705?boutiqueId=61&merchantId=123388
supermarket:birlesik-supermarket,87,87,-16,116.7,41.7,796176401,123388,796176401:123388,Zühre Ana Ananas Sirkesi 500 Ml Doğal Fermantasyon Pineapple Vinegar,Zühre Ana,Zühre Ana,199.9,599.9,0,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.32536464124534,14529,0,4688,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/zuhre-ana/ananas-sirkesi-500-ml-dogal-fermantasyon-pineapple-vinegar-p-796176401?boutiqueId=61&merchantId=123388
