rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:genel-cocuk,9,9,-5,78.5,48.6,842124506,1108553,842124506:1108553,"Genel Markalar 1 Adet Mini Taş-kağıt-makas Oyunu Anahtarlık,parmak Oyuncağı,parti Hediye,stres Giderici Hediye",Genel Markalar,HOMELIA,41,,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,3.9166666666666665,34,0,39,"[""Sepette %1 İndirim"",""Sepette %2 İndirim"",""Kargo Bedava""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/1-adet-mini-tas-kagit-makas-oyunu-anahtarlik-parmak-oyuncagi-parti-hediye-stres-giderici-hediye-p-842124506?boutiqueId=61&merchantId=1108553
cocuk:genel-cocuk,15,15,3,78.7,33.4,85637037,916075,85637037:916075,Tutku 6'lı Çocuk Penye Atlet,Tutku,TUTKU ELİT,395,,4.1,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.480715705765408,1166,-1,540,"[""Kargo Bedava""]",2 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/tutku/6-li-cocuk-penye-atlet-p-85637037?boutiqueId=61&merchantId=916075
cocuk:genel-cocuk,27,27,7,56,26.1,127941079,159186,127941079:159186,Tutku Renkli Erkek Çocuk Boxer 6 Lı Paket,Tutku,USLUBEY,403,,3.8,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.53781763826607,1695,-3,534,"[""Kargo Bedava""]",4 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/tutku/renkli-erkek-cocuk-boxer-6-li-paket-p-127941079?boutiqueId=61&merchantId=159186
cocuk:genel-cocuk,28,28,0,37.3,42.2,984762181,982060,984762181:982060,H&M Kulaklı ve Tüylü Bebek Astronot Tulum,H&M,H&M,1099,,0,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,4.4375,13,0,8,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/h-m/kulakli-ve-tuylu-bebek-astronot-tulum-p-984762181?boutiqueId=61&merchantId=982060
cocuk:cocuk-oyuncak,15,51,-11,64.7,32.8,1148437877,752303,1148437877:752303,KİNKU Örümcek Adam Vantuz Fırlatan Eldiven,KİNKU,KİNKU,159.9,,0,InStock,,,,,3.5961538461538463,67,1,41,"[""Sepette %1 İndirim"",""199,90 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kinku/orumcek-adam-vantuz-firlatan-eldiven-p-1148437877?boutiqueId=61&merchantId=752303
cocuk:cocuk-oyuncak,21,57,22,42.8,39.7,1189150785,392,1189150785:392,baby toys Bin Git İlk Arabam,baby toys,ebebek,695.49,,0,InStock,,,,,3.3333333333333335,3,1,9,"[""Sepette %30 İndirim"",""Sepette %1 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/baby-toys/bin-git-ilk-arabam-p-1189150785?boutiqueId=61&merchantId=392
cocuk:cocuk-oyuncak,25,61,0,88.5,17.1,729653950,752303,729653950:752303,Evmak Oyuncak Polis Arabası Pilli Çarptıkça Yön Değiştiren Işıklı Sesli Polis Arabası,Evmak,KİNKU,199.9,299,0,InStock,,,,,4.243683781581092,1489,1,299,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %2 İndirim"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",5 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/evmak/oyuncak-polis-arabasi-pilli-carptikca-yon-degistiren-isikli-sesli-polis-arabasi-p-729653950?boutiqueId=61&merchantId=752303
cocuk:cocuk-oyuncak,30,66,-20,44.4,15.6,977371,1166124,977371:1166124,Hasbro 4 Renk 448gr Oyun Hamuru - 1 Adet,Hasbro,Ege Ofis Kırtasiye,145,,,InStock,,,,,4.672214516874711,1118,-6,298,"[""Sepette %15 İndirim"",""Kargo Bedava""]",14 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/hasbro/4-renk-448gr-oyun-hamuru-1-adet-p-977371?boutiqueId=61&merchantId=1166124
cocuk:cocuk-oyuncak,32,68,-15,29.1,25.9,736025413,432262,736025413:432262,CT-TOYS 10 Tane Islanınca Çatlayıp Büyüyen Dinazor Yumurtası Oyuncak Dinozor Yumurtası,CT-TOYS,MANGO BUTİK,175,,,InStock,,,,,3.8194444444444446,43,0,18,"[""Sepette %1 İndirim"",""199,99 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",14 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ct-toys/10-tane-islaninca-catlayip-buyuyen-dinazor-yumurtasi-oyuncak-dinozor-yumurtasi-p-736025413?boutiqueId=61&merchantId=432262
cocuk:cocuk-oyuncak,66,102,-10,15.3,14.7,1149737010,1230100,1149737010:1230100,PAKİTO Minecraft Manyetik Küp Bloklar 108 Parça | Temalı Yapı Seti 3 Boyutlu Renkli Mıknatıslı | Eğitici Zeka Geliştirici Oyuncak,PAKİTO,LUMO STORE,1350,,0,InStock,,,,,4.352112676056338,80,0,20,"[""Kargo Bedava"",""Sepette %50 İndirim"",""Sepette %15 İndirim"",""Sepette %1 İndirim"",""Peşin Fiyatına 3 Taksit""]",5 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/pakito/minecraft-manyetik-kup-bloklar-108-parca-temali-yapi-seti-3-boyutlu-renkli-miknatisli-egitici-zeka-gelistirici-oyuncak-p-1149737010?boutiqueId=61&merchantId=1230100
cocuk:cocuk-oyuncak,71,107,61,18.7,11.3,1189150718,392,1189150718:392,baby toys Sevimli İlk Arabam Bin Git,baby toys,ebebek,748.99,,0,InStock,,,,,4.348148148148149,219,-1,262,"[""Sepette %30 İndirim"",""Sepette %1 İndirim"",""25 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/baby-toys/sevimli-ilk-arabam-bin-git-p-1189150718?boutiqueId=61&merchantId=392
cocuk:cocuk-oyuncak,73,109,-10,26.8,8,1157438648,1118211,1157438648:1118211,LEGO ® peed Champions Ferrari SF-24 F1 Yarış Arabası 77242 – 10+ Çocuklar için Oyuncak Seti (275 P),LEGO,Mels Shop,1483,1558,,InStock,,,,,4.796905222437137,567,0,132,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/lego/peed-champions-ferrari-sf-24-f1-yaris-arabasi-77242-10-cocuklar-icin-oyuncak-seti-275-p-p-1157438648?boutiqueId=61&merchantId=1118211
cocuk:cocuk-oyuncak,86,122,0,14.2,15.8,1071656852,968,1071656852:968,LEGO ® Botanicals Papatyalar 11508 - 9+ Yaratıcı Oyuncak Yapım Seti (133 Parça),LEGO,Trendyol,812.59,,11.5,InStock,,,,,4.6613756613756605,58,0,2,"[""Kargo Bedava""]",7 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/botanicals-papatyalar-11508-9-yaratici-oyuncak-yapim-seti-133-parca-p-1071656852?boutiqueId=690823&merchantId=968
cocuk:cocuk-oyuncak,108,144,-35,11.2,18.8,1156883214,1157995,1156883214:1157995,EN SİGA Elektrikli Ateş Efektli Uzun Menzilli Şarjlı Su Tabancası Otomatik Sürekli Atışlı Işıklı Büyük Su Hazneli Yaz Oyuncağı,EN SİGA,Kanarya kırtasiye,530,,0,InStock,,,,,4.5,24,0,17,"[""Kargo Bedava"",""15 TL Kupon"",""150 TL Kupon"",""Trendyol Plus'a Özel""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/en-siga/elektrikli-ates-efektli-uzun-menzilli-sarjli-su-tabancasi-otomatik-surekli-atisli-isikli-buyuk-su-hazneli-yaz-oyuncagi-p-1156883214?boutiqueId=61&merchantId=1157995
cocuk:cocuk-oyuncak,116,152,-3,13.9,16.1,1071656941,408958,1071656941:408958,LEGO ® Speed Champions | Şimşek McQueen 77255 – 9+ Yaratıcı Oyuncak Yapım Seti (270 Parça),LEGO,hepeğitim,1400,,,InStock,,,,,4.7515527950310545,53,1,13,"[""Kargo Bedava"",""13 TL Kupon"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı""]",14 saat 53 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/lego/speed-champions-simsek-mcqueen-77255-9-yaratici-oyuncak-yapim-seti-270-parca-p-1071656941?boutiqueId=61&merchantId=408958
cocuk:cocuk-oyuncak,118,154,-43,19.8,10.2,796719157,968,796719157:968,LEGO ® Creator 3'ü 1 Arada Helikopterli Açık Kasa Kamyon 31146 - 7+ Yaratıcı Oyuncak Yapım Seti (270P),LEGO,Trendyol,1099,,15.6,InStock,,,,,4.7932053175775495,301,0,2,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",7 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/creator-3-u-1-arada-helikopterli-acik-kasa-kamyon-31146-7-yaratici-oyuncak-yapim-seti-270p-p-796719157?boutiqueId=690823&merchantId=968
cocuk:cocuk-oyuncak,122,158,-17,25.8,4.2,1231314,1210766,1231314:1210766,Diytoy Bebeğimin İlk Zeka Kartları Flash Kart,Diytoy,The Monarch Co,185.99,,0,InStock,,,,,4.620437956204379,1691,-2,176,"[""Sepette %1 İndirim"",""40 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",4 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/diytoy/bebegimin-ilk-zeka-kartlari-flash-kart-p-1231314?boutiqueId=61&merchantId=1210766
