rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:cocuk-oyuncak,49,157,169,31.5,19,1143845707,752303,1143845707:752303,KİNKU Merdivenli Small Duck Kaydıraklı Sevimli Ördekler Müziklü- Pilli -Işıklı,KİNKU,KİNKU,399,499,0,InStock,,,,,4.317073170731708,26,0,10,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",5 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/kinku/merdivenli-small-duck-kaydirakli-sevimli-ordekler-muziklu-pilli-isikli-p-1143845707?boutiqueId=61&merchantId=752303
cocuk:genel-cocuk,48,48,165,9.4,21.6,881691921,163,881691921:163,U.S. Polo Assn. Erkek Çocuk Lacivert Sweatshirt 50290732-VR033,U.S. Polo Assn. Erkek,U.S. Polo Assn.,2299.95,,0,InStock,,,,,4.764705882352941,14,1,6,"[""Sepette %62 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/u-s-polo-assn/erkek-cocuk-lacivert-sweatshirt-50290732-vr033-p-881691921?boutiqueId=61&merchantId=163
cocuk:genel-cocuk,62,62,154,23.1,6.9,778107234,4227,778107234:4227,Katia & Bony İçi Havlu Çocuk Tayt Krem Melanj,Katia &,Katia and Bony,158.92,,13.6,InStock,,,,,4.615744349181605,779,4,55,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",2 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/katia-bony/ici-havlu-cocuk-tayt-krem-melanj-p-778107234?boutiqueId=61&merchantId=4227
cocuk:genel-cocuk,38,38,151,32.6,7.4,6877587,109486,6877587:109486,Furkan Toys Cool Wheels Led Işıklı 3 Tekerlekli Yükseklik Ayarlı Twist Scooter,Furkan Toys,Oyuncak Paketim,889.18,,0,InStock,,,,,4.559820604141934,3726,4,1729,"[""Kargo Bedava""]",1 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/furkan-toys/cool-wheels-led-isikli-3-tekerlekli-yukseklik-ayarli-twist-scooter-p-6877587?boutiqueId=61&merchantId=109486
cocuk:genel-cocuk,49,49,149,21.4,9.1,862425400,1072118,862425400:1072118,PHİLOPHOBİA 10 Adet RENKLİ Yıldız Cıt Cıt Toka,PHİLOPHOBİA,DGN TAKIKOZMETİK,75,,,InStock,,,,,4.223634053367217,479,7,143,"[""20 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/philophobia/10-adet-renkli-yildiz-cit-cit-toka-p-862425400?boutiqueId=61&merchantId=1072118
cocuk:genel-cocuk,59,59,131,17.3,12.7,199474561,224156,199474561:224156,Genel Markalar Polo Yakalı Lacoste Unisex Çocuk Uzun Kollu Sweatshirt,Genel Markalar,kinderos,244.99,,0,InStock,,,,,4.103092783505154,145,3,80,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",2 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/genel-markalar/polo-yakali-lacoste-unisex-cocuk-uzun-kollu-sweatshirt-p-199474561?boutiqueId=61&merchantId=224156
cocuk:genel-cocuk,55,55,121,21.7,14.5,1108810016,1230100,1108810016:1230100,PAKİTO Blok Boru 72 Parça | Puzzle Renkli Eğitici Birleştirme Oyuncak Seti,PAKİTO,LUMO STORE,187.57,199.95,0,InStock,,,,,4.70625,85,0,,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %30 İndirim"",""349 TL Kupon"",""315,83 TL Kupon"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/pakito/blok-boru-72-parca-puzzle-renkli-egitici-birlestirme-oyuncak-seti-p-1108810016?boutiqueId=61&merchantId=1230100
cocuk:genel-cocuk,68,68,114,28.1,1.9,800440450,203783,800440450:203783,BGK 5 Çift Zürafa Desenli Çocuk Çorap,BGK,BGK,189.99,,25,InStock,,,,,4.1146345094536265,3279,108,199,"[""Kargo Bedava""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/bgk/5-cift-zurafa-desenli-cocuk-corap-p-800440450?boutiqueId=61&merchantId=203783
cocuk:genel-cocuk,73,73,103,17.6,17,978588971,107400,978588971:107400,Wia Kids Kalp Desenli Kız Çocuk Beslenme Çantası,Wia,CambridgePoloClub,332.86,349.04,0,InStock,,,,,4.760869565217392,41,2,6,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %25 İndirim"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wia/kids-kalp-desenli-kiz-cocuk-beslenme-cantasi-p-978588971?boutiqueId=61&merchantId=107400
cocuk:genel-cocuk,82,82,100,41.5,13.3,140586907,757975,140586907:757975,Genel Markalar Kırmızı Polo Yaka Uzun Kol Çocuk Genç Okul Tişört,Genel Markalar,Öz klas Store,300,399,0,InStock,,,,,4.251082251082251,120,1,50,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/kirmizi-polo-yaka-uzun-kol-cocuk-genc-okul-tisort-p-140586907?boutiqueId=61&merchantId=757975
cocuk:cocuk-oyuncak,129,237,93,16.9,13.1,336832122,568779,336832122:568779,TOMBİ-X 300 Parça Eğlenceli Bambu Çubuklar Kutusuz,TOMBİ-X,MİLLENA STORE,178.73,,0,InStock,,,,,4.5,127,0,24,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/tombi-x/300-parca-eglenceli-bambu-cubuklar-kutusuz-p-336832122?boutiqueId=61&merchantId=568779
cocuk:genel-cocuk,100,100,92,10.4,20.8,1158508437,146274,1158508437:146274,FOCUX -1396 3'lü Set Çocuk İlkokul Ortaokul çantası Kalemlikli Beslenme Çantalı Sırt Çantası GRİ,FOCUX,byHAKAN,1148.29,1162.27,0,InStock,,,,,4.666666666666667,13,5,14,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",4 saat 54 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/focux/1396-3-lu-set-cocuk-ilkokul-ortaokul-cantasi-kalemlikli-beslenme-cantali-sirt-cantasi-gri-p-1158508437?boutiqueId=61&merchantId=146274
cocuk:genel-cocuk,107,107,90,20.1,16.2,926925903,635989,926925903:635989,Genel Markalar 5 Çift Aksesuar Fiyonklu Kız Bebek Çorabı Kutusu 0-6 Ay,Genel Markalar,Baby Socks & Aksesuar,156.51,166.99,-8.8,InStock,,,,,4.333333333333333,52,2,,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/5-cift-aksesuar-fiyonklu-kiz-bebek-corabi-kutusu-0-6-ay-p-926925903?boutiqueId=61&merchantId=635989
cocuk:genel-cocuk,77,77,83,14.3,15.7,849636234,107400,849636234:107400,Wia Kids Kalp Desenli 4 Bölmeli Okul Çanta Seti,Wia,CambridgePoloClub,1249.7,,15.9,InStock,,,,,4.475409836065574,60,6,6,"[""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wia/kids-kalp-desenli-4-bolmeli-okul-canta-seti-p-849636234?boutiqueId=61&merchantId=107400
cocuk:cocuk-oyuncak,102,210,83,21,9,970546554,1097234,970546554:1097234,DİSNEY PELUŞ STİTCH YENİ SERİKOALA OYUNCAK STİTCH SÜRPRİZ PAKET PELUŞ STİTCH LABUBU ASKILI 15 cm,DİSNEY,İSPİRİZ HOME,226.1,,,InStock,,,,,3.9463007159904535,423,0,199,"[""Sepette %5 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/disney/pelus-stitch-yeni-serikoala-oyuncak-stitch-surpriz-paket-pelus-stitch-labubu-askili-15-cm-p-970546554?boutiqueId=61&merchantId=1097234
cocuk:cocuk-oyuncak,94,202,76,15.9,14.1,973794505,744768,973794505:744768,Nandy Home Sarı Çiçek Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,Nandy Kids,138.88,,5.3,InStock,,,,,4.55982905982906,97,1,18,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",5 saat 51 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/nandy-home/sari-cicek-model-karakter-figuru-3d-yapi-oyuncaklari-p-973794505?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,91,199,74,16.4,13.6,455535737,866190,455535737:866190,u-toys Ördek Oyuncak,u-toys,Kidora Toys,395,,0,InStock,,,,,3.744186046511628,111,0,73,"[""Kargo Bedava"",""Sepette %20 İndirim"",""399 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/u-toys/ordek-oyuncak-p-455535737?boutiqueId=61&merchantId=866190
cocuk:cocuk-oyuncak,128,236,72,12,18,1124623976,590132,1124623976:590132,babysch Eğitici Doğal Ahşap Geometrik şekiller,babysch,Babysch,172.79,,-56.7,InStock,,,,,4.166666666666667,31,2,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/babysch/egitici-dogal-ahsap-geometrik-sekiller-p-1124623976?boutiqueId=61&merchantId=590132
cocuk:genel-cocuk,99,99,72,21.1,8.9,711778349,985476,711778349:985476,devtoptan Ahşap Mızıka Nefes Egzersizi Çocuk Müzik Aleti,devtoptan,babynow,44.5,,0,InStock,,,,,4.143867924528302,429,1,444,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/devtoptan/ahsap-mizika-nefes-egzersizi-cocuk-muzik-aleti-p-711778349?boutiqueId=61&merchantId=985476
cocuk:genel-cocuk,64,64,71,24.8,14.8,1112597590,1230100,1112597590:1230100,PAKİTO Potalı Top Yuvarlama Kulesi | Renkli Eğitici Dikkat Geliştirici Top Kaydırma Oyuncağı,PAKİTO,LUMO STORE,180.81,199.95,0,InStock,,,,,3.9518072289156625,78,3,14,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",5 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/pakito/potali-top-yuvarlama-kulesi-renkli-egitici-dikkat-gelistirici-top-kaydirma-oyuncagi-p-1112597590?boutiqueId=61&merchantId=1230100
cocuk:genel-cocuk,106,106,71,15.3,14.7,1102055290,104936,1102055290:104936,Dark Seer Kids DS 2051 Bej Mor Çocuk Sneaker Günlük Spor Ayakkabı,Dark Seer,Dark Seer,964.75,,0,InStock,,,,,4.6625000000000005,80,1,,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/dark-seer/kids-ds-2051-bej-mor-cocuk-sneaker-gunluk-spor-ayakkabi-p-1102055290?boutiqueId=61&merchantId=104936
cocuk:cocuk-oyuncak,113,221,71,10.2,19.8,1176212344,1230100,1176212344:1230100,PAKİTO Led Işıklı Bas Döndür Stres Topu Stres Giderici Mekanizmalı Renkli Fidget Spinner Spinball Top Oyuncak,PAKİTO,LUMO STORE,392.85,,0,InStock,,,,,4.037037037037037,18,1,12,"[""Sepette %30 İndirim"",""Sepette %2 İndirim"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/pakito/led-isikli-bas-dondur-stres-topu-stres-giderici-mekanizmali-renkli-fidget-spinner-spinball-top-oyuncak-p-1176212344?boutiqueId=61&merchantId=1230100
cocuk:genel-cocuk,67,67,70,15.4,14.6,233975869,170491,233975869:170491,Cloise Beyaz Çocuk T-shirt Unisex | %100 Pamuk |,Cloise,Cloise,198,,0,InStock,,,,,4.596938775510204,82,4,11,"[""Kargo Bedava""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/cloise/beyaz-cocuk-t-shirt-unisex-100-pamuk-p-233975869?boutiqueId=61&merchantId=170491
cocuk:cocuk-oyuncak,75,183,68,25.3,4.7,2018923,514600,2018923:514600,LEGO ® Classic Orta Boy Yaratıcı Parçalar Yapım Kutusu 10696 - 4+ Yaratıcı Oyuncak Yapım Seti (484 Parça),LEGO,SATÜRN,1278,,-3.8,InStock,,,,,4.786197564276049,1452,-2,228,"[""12 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",1 saat 52 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/lego/classic-orta-boy-yaratici-parcalar-yapim-kutusu-10696-4-yaratici-oyuncak-yapim-seti-484-parca-p-2018923?boutiqueId=61&merchantId=514600
