rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:cocuk-oyuncak,18,90,-9,64.9,25.1,971161885,1127325,971161885:1127325,Circle Toys Eğitici Ahşap Ksilofon – 8 Tonlu Renkli Müzik Oyuncağı,Circle Toys,Circle Toys,190.66,,-49.1,InStock,,,,,4.370414201183432,407,0,31,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",1 saat 55 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/circle-toys/egitici-ahsap-ksilofon-8-tonlu-renkli-muzik-oyuncagi-p-971161885?boutiqueId=61&merchantId=1127325
cocuk:genel-cocuk,61,61,,60.1,15.5,881786508,357670,881786508:357670,YAHO OYUNCAĞIN DOĞAL HALİ Ahşap 10 mm Renkli Boncuk (50 adet),YAHO OYUNCAĞIN DOĞAL HALİ,Yüce Oyuncak,21.72,39.9,-45.6,InStock,,,,,4.37984496124031,64,0,23,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",2 saat 56 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/yaho-oyuncagin-dogal-hali/ahsap-10-mm-renkli-boncuk-50-adet-p-881786508?boutiqueId=61&merchantId=357670
cocuk:genel-cocuk,3,3,-1,143.6,46.4,118658789,611562,118658789:611562,Dragora Ribana Bel Canvas Okul Pantolonu (BİR BÜYÜK BEDEN ALINMASI TAVSİYE EDİLİR),Dragora,FERRY BUTİK,300,450,-43.3,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.218594355285004,3087,12,,"[""Sepette %5 İndirim""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/dragora/ribana-bel-canvas-okul-pantolonu-bir-buyuk-beden-alinmasi-tavsiye-edilir-p-118658789?boutiqueId=61&merchantId=611562
cocuk:cocuk-oyuncak,11,83,-1,87.4,21.1,790178927,126620,790178927:126620,yükselen zeka İlk Magnet Puzzle Bebek (12-36 Ay),yükselen zeka,YÜKSELEN ZEKA,216,218.18,-39.8,InStock,,,,,4.665503568596352,3591,0,242,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yukselen-zeka/ilk-magnet-puzzle-bebek-12-36-ay-p-790178927?boutiqueId=61&merchantId=126620
cocuk:genel-cocuk,52,52,92,37.5,17.1,1173041569,1098495,1173041569:1098495,Pudaier Çin mantısı simli XL boy,Pudaier,Berione,187,248,-37.5,InStock,,,,,2.9482758620689653,40,0,47,"[""Son 10 Günün En Düşük Fiyatı"",""Sepette %2 İndirim"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı"",""Trendyol Plus'a Özel""]",14 saat 56 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/pudaier/cin-mantisi-simli-xl-boy-p-1173041569?boutiqueId=61&merchantId=1098495
cocuk:cocuk-oyuncak,203,275,-94,24,6,732122758,108805,732122758:108805,Hyd 52 Parça Bahçe Çiçek Yapım Seti Yapı Blokları Yapboz Bul Tak Puzzle Eğitici Oyuncak Çiçek Bahçesi,Hyd,Hyd,161.65,,-36.4,InStock,,,,,4.671328671328672,987,-17,79,"[""Kargo Bedava""]",1 saat 50 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/hyd/52-parca-bahce-cicek-yapim-seti-yapi-bloklari-yapboz-bul-tak-puzzle-egitici-oyuncak-cicek-bahcesi-p-732122758?boutiqueId=61&merchantId=108805
cocuk:cocuk-oyuncak,72,144,-34,18.2,11.8,972632523,1127325,972632523:1127325,Circle Toys UFO Eğitici Duyusal Aktivite Oyuncağı - 1-3 Yaş Yürümeye Başlayan Çocuklar Için Montessori Seti,Circle Toys,Circle Toys,527.86,,-29.6,InStock,,,,,4.556650246305419,190,0,24,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",1 saat 53 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/circle-toys/ufo-egitici-duyusal-aktivite-oyuncagi-1-3-yas-yurumeye-baslayan-cocuklar-icin-montessori-seti-p-972632523?boutiqueId=61&merchantId=1127325
cocuk:cocuk-oyuncak,128,200,-52,15.4,14.6,1110294736,1108553,1110294736:1108553,Genel Markalar Nefes alan Stitch uyku arkadaşı peluş sevimli stitch,Genel Markalar,HOMELIA,659.99,,-22.4,InStock,,,,,4.020833333333333,82,1,132,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/genel-markalar/nefes-alan-stitch-uyku-arkadasi-pelus-sevimli-stitch-p-1110294736?boutiqueId=61&merchantId=1108553
cocuk:cocuk-oyuncak,177,249,15,13.9,16.1,1163197283,713520,1163197283:713520,Tosbiş [ İSİM YAZDIR ] Ayıcık Pembe -Kişiye Özel -Uyku Arkadaşım Papyonlu Ayıcık Çocuklara Özel Hediye ( 50 cm),Tosbiş,PENGİ,399,,-20,InStock,,,,,4.684210526315789,54,0,23,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/tosbis/isim-yazdir-ayicik-pembe-kisiye-ozel-uyku-arkadasim-papyonlu-ayicik-cocuklara-ozel-hediye-50-cm-p-1163197283?boutiqueId=61&merchantId=713520
cocuk:genel-cocuk,66,66,30,39.7,9.2,982881458,152772,982881458:152772,Serstil 6 Parça Anne Bebek Doğum ve Hastane Çıkış Çantası Seti - Pembe Puantiyeli,Serstil,ESTİ,160.6,197.95,-19.7,InStock,,,,,4.662239089184061,397,2,35,"[""Sepette %1 İndirim"",""Kargo Bedava""]",14 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/serstil/6-parca-anne-bebek-dogum-ve-hastane-cikis-cantasi-seti-pembe-puantiyeli-p-982881458?boutiqueId=61&merchantId=152772
