rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:cocuk-kitap,1,814,,133.7,66.2,937160613,113171,937160613:113171,Çocuk Akademi 7'den 70'e Türkiye Atlası,Çocuk Akademi,,349,383.93,,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.8,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/cocuk-akademi/7-den-70-e-turkiye-atlasi-p-937160613?boutiqueId=61&merchantId=113171
cocuk:genel-cocuk,1,1,0,132.7,74.8,959516754,357212,959516754:357212,Go Toys Go Magnetic Series 72 Parça Manyetik Yapı Blokları Original - Mıknatıslı Manyetik Bloklar,Go Toys,Shopist,2140,,0,InStock,"Son 3 günde 1,5B+ ürün satıldı!",3,1500,500,4.257742626949517,5230,16,683,"[""Sepette %30 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",,refreshed,0,https://www.trendyol.com/go-toys/go-magnetic-series-72-parca-manyetik-yapi-bloklari-original-miknatisli-manyetik-bloklar-p-959516754?boutiqueId=61&merchantId=357212
cocuk:cocuk-oyuncak,6,42,5,127.6,27.1,37738604,190370,37738604:190370,UNO Kartlar W2087,UNO,BROTHERTOYS,65.2,99.9,0,InStock,,,,,3.3044415696420875,1308,0,236,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",3 saat 54 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/uno/kartlar-w2087-p-37738604?boutiqueId=61&merchantId=190370
cocuk:cocuk-kitap,3,816,,121.6,44.3,797022237,113171,797022237:113171,Çocuk Akademi Şimdi Cırt Cırt ile Konuşma Vakti Kitabı,Çocuk Akademi,,140.32,147.43,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.8,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/cocuk-akademi/simdi-cirt-cirt-ile-konusma-vakti-kitabi-p-797022237?boutiqueId=61&merchantId=113171
cocuk:cocuk-oyuncak,12,48,-10,116.1,34.5,881786508,357670,881786508:357670,YAHO OYUNCAĞIN DOĞAL HALİ Ahşap 10 mm Renkli Boncuk (50 adet),YAHO OYUNCAĞIN DOĞAL HALİ,Yüce Oyuncak,21.72,39.9,-45.6,InStock,,,,,4.37984496124031,64,0,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/yaho-oyuncagin-dogal-hali/ahsap-10-mm-renkli-boncuk-50-adet-p-881786508?boutiqueId=61&merchantId=357670
cocuk:genel-cocuk,5,5,-1,114.5,45.2,955779223,947235,955779223:947235,ankahometoys Puzzle City 3D Yapı Blokları - 128 Parça Eğitici Şehir Kurma ve Tasarım Seti,ankahometoys,Kangamom,125.99,137.01,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.391821788220934,3292,5,286,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",3 saat 55 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/ankahometoys/puzzle-city-3d-yapi-bloklari-128-parca-egitici-sehir-kurma-ve-tasarim-seti-p-955779223?boutiqueId=61&merchantId=947235
cocuk:genel-cocuk,2,2,7,113.5,74.9,37997190,62,37997190:62,Puma Phase II Sırt Çantası,Puma,Puma,1899,,0,InStock,Son 3 günde 1B+ ürün satıldı!,3,1000,333.3,4.585459183673469,398,1,181,"[""Kargo Bedava""]",,refreshed,0,https://www.trendyol.com/puma/phase-ii-sirt-cantasi-p-37997190?boutiqueId=61&merchantId=62
cocuk:cocuk-kitap,2,815,,111.3,52.9,1152242632,113171,1152242632:113171,Çocuk Akademi Ülkeler Ve Kültürler,Çocuk Akademi,,321.71,338.64,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.6,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/cocuk-akademi/ulkeler-ve-kulturler-p-1152242632?boutiqueId=61&merchantId=113171
cocuk:cocuk-kitap,4,817,,110.9,44.3,983965502,126620,983965502:126620,yükselen zeka PanoBig - Dünyanın En Büyük Etkinlik Kitabı,yükselen zeka,,325.83,329.12,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.7,,,,"[""Son 10 Günün En Düşük Fiyatı""]",,listing_only,,https://www.trendyol.com/yukselen-zeka/panobig-dunyanin-en-buyuk-etkinlik-kitabi-p-983965502?boutiqueId=61&merchantId=126620
cocuk:genel-cocuk,3,3,-1,110.3,46.4,118658789,611562,118658789:611562,Dragora Ribana Bel Canvas Okul Pantolonu (BİR BÜYÜK BEDEN ALINMASI TAVSİYE EDİLİR),Dragora,FERRY BUTİK,320,,-39.5,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.212773789803056,3095,20,1352,"[""Sepette %5 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/dragora/ribana-bel-canvas-okul-pantolonu-bir-buyuk-beden-alinmasi-tavsiye-edilir-p-118658789?boutiqueId=61&merchantId=611562
cocuk:cocuk-kitap,5,818,,109.5,43.3,893267279,113171,893267279:113171,Çocuk Akademi Mıknatıslı Yapboz Çiftlik Hayvanları,Çocuk Akademi,,158.52,,,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.7,,,,[],,listing_only,,https://www.trendyol.com/cocuk-akademi/miknatisli-yapboz-ciftlik-hayvanlari-p-893267279?boutiqueId=61&merchantId=113171
