rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:cocuk-oyuncak,722,794,-604,53.9,16.1,973555864,744768,973555864:744768,Nandy Home Panda 2 Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,Nandy Kids,149.83,249.9,7,InStock,,,,,4.538461538461538,53,7,11,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/nandy-home/panda-2-model-karakter-figuru-3d-yapi-oyuncaklari-p-973555864?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,715,787,-564,20.2,16.5,1089464520,744768,1089464520:744768,Nandy Home Kamelya Çiçek Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,Nandy Kids,132.48,142,-4.1,InStock,,,,,4.45,48,5,10,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/nandy-home/kamelya-cicek-model-karakter-figuru-3d-yapi-oyuncaklari-p-1089464520?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,664,736,-545,8.3,21.7,315047835,769726,315047835:769726,DMS DEKOR Suda Büyük Dinazor Yumurtası Dinozor Yumurtası 10 Adet,DMS DEKOR,OYUNKAFASI,194,,,InStock,,,,,2.6470588235294117,10,0,15,"[""Sepette %1 İndirim"",""10 TL Kupon"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/dms-dekor/suda-buyuk-dinazor-yumurtasi-dinozor-yumurtasi-10-adet-p-315047835?boutiqueId=61&merchantId=769726
cocuk:cocuk-oyuncak,623,695,-519,21.1,8.9,970546554,1097234,970546554:1097234,DİSNEY PELUŞ STİTCH YENİ SERİKOALA OYUNCAK STİTCH SÜRPRİZ PAKET PELUŞ STİTCH LABUBU ASKILI 15 cm,DİSNEY,İSPİRİZ HOME,335,,48.2,InStock,,,,,3.9443127962085307,427,4,199,"[""Kargo Bedava""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/disney/pelus-stitch-yeni-serikoala-oyuncak-stitch-surpriz-paket-pelus-stitch-labubu-askili-15-cm-p-970546554?boutiqueId=61&merchantId=1097234
cocuk:cocuk-oyuncak,632,704,-488,20.8,14.3,1040052647,534486,1040052647:534486,Genel Markalar NARUTO BEAST PARTY series,Genel Markalar,SalyangozBijuteri,370,390,0,InStock,,,,,3.9096385542168677,92,1,442,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""185,56 TL Kupon"",""Son 10 günün en düşük fiyatı""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/genel-markalar/naruto-beast-party-series-p-1040052647?boutiqueId=61&merchantId=534486
cocuk:cocuk-oyuncak,683,755,-483,18.6,11.4,2413279,104968,2413279:104968,Dolu Traktör Pedallı 8050,Dolu,Happy Center,1999,,0.6,InStock,,,,,4.233995584988962,211,,217,"[""75 TL Kupon"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/dolu/traktor-pedalli-8050-p-2413279?boutiqueId=61&merchantId=104968
cocuk:cocuk-oyuncak,457,529,-450,4.8,25.2,1185681169,1047741,1185681169:1047741,Magly Ball Pack Top Seti – Ball Run ile Uyumlu Top Eklentisi - Çocuklar için 12 Adet Renkli Ahşap Top,Magly,Magly,500,,25,InStock,,,,,4.888888888888889,3,,4,"[""Sepette %35 İndirim"",""Kargo Bedava""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/magly/ball-pack-top-seti-ball-run-ile-uyumlu-top-eklentisi-cocuklar-icin-12-adet-renkli-ahsap-top-p-1185681169?boutiqueId=61&merchantId=1047741
cocuk:cocuk-oyuncak,698,770,-296,3.8,26.2,1189062107,190370,1189062107:190370,Brother Toys 1. Kalite Işıklı İthal Spin Ball Hızlı Ve Uzun Süre Dönen Stres Topu,Brother Toys,BROTHERTOYS,211.84,,-29.4,InStock,,,,,1.5,2,,2,"[""Kargo Bedava""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/brother-toys/1-kalite-isikli-ithal-spin-ball-hizli-ve-uzun-sure-donen-stres-topu-p-1189062107?boutiqueId=61&merchantId=190370
cocuk:cocuk-oyuncak,707,779,-284,0,30,1189149280,392,1189149280:392,baby toys Baskılı Katlanır Top Havuzu,baby toys,ebebek,695.49,,0,InStock,,,,,4,0,,3,"[""Sepette %30 İndirim"",""Sepette %20 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",,refreshed,0,https://www.trendyol.com/baby-toys/baskili-katlanir-top-havuzu-p-1189149280?boutiqueId=61&merchantId=392
cocuk:cocuk-oyuncak,523,595,-279,14.5,15.5,1156357632,112062,1156357632:112062,HOT WHEELS 2026 Premium Fast and Furious 2010 BMW M5 Siyah JHW62,HOT WHEELS,iqcocuk,795,,,InStock,,,,,4.265625,64,2,32,"[""23 TL Kupon"",""Kargo Bedava""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/hot-wheels/2026-premium-fast-and-furious-2010-bmw-m5-siyah-jhw62-p-1156357632?boutiqueId=61&merchantId=112062
