rank_scope,rank_scope_position,bestseller_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
cocuk:genel-cocuk,20,20,23,139.2,44.2,887625564,496056,887625564:496056,Monalisa Çocuk Renkli Ponpon Toka 10’Lu,Monalisa,Monalisa Toka,23.05,74.9,0,InStock,Son 3 günde 500+ ürün satıldı!,3,500,166.7,3.37527352297593,512,1,48,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",3 saat 53 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/monalisa/cocuk-renkli-ponpon-toka-10-lu-p-887625564?boutiqueId=61&merchantId=496056
cocuk:cocuk-oyuncak,709,781,,64.2,19.1,991935227,928650,991935227:928650,OGTWO Bebeğimin İlk Sözcükleri Türkçe - İngilizce İlk Adım Flash Cards İlk Kelimelerim Kelime Kartları 1-3 Yaş Çift Dilli Erken Öğrenme Zeka Eğitim Kartları Dil Gelişimi Hayvan Renk Eşya Meyve Taşıt Seti,OGTWO,,135.02,289.2,,InStock,,,,,4.6,,,,[],,listing_only,,https://www.trendyol.com/ogtwo/bebegimin-ilk-sozcukleri-turkce-ingilizce-ilk-adim-flash-cards-ilk-kelimelerim-kelime-kartlari-1-3-yas-cift-dilli-erken-ogrenme-zeka-egitim-kartlari-dil-gelisimi-hayvan-renk-esya-meyve-tasit-seti-p-991935227?boutiqueId=61&merchantId=928650
cocuk:genel-cocuk,46,46,,58.6,37.6,1178238078,982060,1178238078:982060,H&M Motif Detaylı Sırt Çantası,H&M,H&M,779.99,1549,,InStock,Son 3 günde 250+ ürün satıldı!,3,250,83.3,5,3,,6,"[""77 TL Kupon"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",,refreshed,0,https://www.trendyol.com/h-m/motif-detayli-sirt-cantasi-p-1178238078?boutiqueId=61&merchantId=982060
cocuk:cocuk-oyuncak,371,443,146,64.1,13.8,1088727387,744768,1088727387:744768,Nandy Home Ren Geyik Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,,130.2,249.9,0,InStock,,,,,4.7,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,listing_only,,https://www.trendyol.com/nandy-home/ren-geyik-model-karakter-figuru-3d-yapi-oyuncaklari-p-1088727387?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,729,801,,58.5,17.5,1154926770,744768,1154926770:744768,Nandy Home Böcek Perisi Bal Arısı Model Karakter Figürü 3D Yapı Oyuncakları - 147 Parça,Nandy Home,,134.9,249.9,,InStock,,,,,4.8,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,listing_only,,https://www.trendyol.com/nandy-home/bocek-perisi-bal-arisi-model-karakter-figuru-3d-yapi-oyuncaklari-147-parca-p-1154926770?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,660,732,,63.1,11.9,973607320,744768,973607320:744768,Nandy Home Kedi Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,,137.42,249.9,,InStock,,,,,4.7,,,,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",,listing_only,,https://www.trendyol.com/nandy-home/kedi-model-karakter-figuru-3d-yapi-oyuncaklari-p-973607320?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,532,604,190,58.7,16.1,973555864,744768,973555864:744768,Nandy Home Panda 2 Model Karakter Figürü 3D Yapı Oyuncakları,Nandy Home,Nandy Kids,137.82,249.9,-8,InStock,,,,,4.5,53,0,11,"[""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü""]",3 saat 45 dakika içinde sipariş verirsen Yarın kargoda,carried_forward,1,https://www.trendyol.com/nandy-home/panda-2-model-karakter-figuru-3d-yapi-oyuncaklari-p-973555864?boutiqueId=61&merchantId=744768
cocuk:cocuk-oyuncak,677,749,-219,56.4,16.6,1048504028,778246,1048504028:778246,Ayshpek Çocuk Makyaj Seti Çantalı 20 Parça -Sürülebilir Su Bazlı-Kolay Temizlenir-Pembe-Deniz Kızı Temalı,Ayshpek,Ayshpek,1734.69,3043.32,-5,InStock,,,,,4.8,47,0,,"[""Kargo Bedava""]",3 saat 43 dakika içinde sipariş verirsen en geç yarın kargoda!,carried_forward,2,https://www.trendyol.com/ayshpek/cocuk-makyaj-seti-cantali-20-parca-surulebilir-su-bazli-kolay-temizlenir-pembe-deniz-kizi-temali-p-1048504028?boutiqueId=61&merchantId=778246
cocuk:cocuk-oyuncak,132,204,37,68.7,4.2,1231314,112826,1231314:112826,Diytoy Bebeğimin İlk Zeka Kartları Flash Kart,Diytoy,KÜME,157.05,275,,InStock,,,,,4.6202657807308976,1686,-1,174,"[""Sepette %6 İndirim"",""Sepette %5 İndirim"",""Sepette %7 İndirim"",""15 TL Kupon"",""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",3 saat 48 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/diytoy/bebegimin-ilk-zeka-kartlari-flash-kart-p-1231314?boutiqueId=61&merchantId=112826
cocuk:cocuk-oyuncak,187,259,-52,49.4,20.6,1182871494,517848,1182871494:517848,FBZhome 2 Adet Magnetic Cars Manyetik Araç Oyun Seti - Manyetik Yapı Blokları Araba Eklentisi,FBZhome,FBZHOME,299.9,499.9,0,InStock,,,,,4.24,14,0,4,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",3 saat 46 dakika içinde sipariş verirsen Yarın kargoda,refreshed,0,https://www.trendyol.com/fbzhome/2-adet-magnetic-cars-manyetik-arac-oyun-seti-manyetik-yapi-bloklari-araba-eklentisi-p-1182871494?boutiqueId=61&merchantId=517848
